llaqtam	Laqtam
Carlos	tsarlos
Musuq	musuq
México	meksitso
Puerto	puerto
University	university
Urin	urin
kanman	kanman
kaqqa	kaqqa
Aires	aires
Aswan	aswan
Buenos	buenos
Santiago	santiago
musuq	musuq
runam	runam
sapa	sapa
Pachantin	paCantin
Ediciones	editsiones
Francisco	frantsistso
Munisipyupiqa	munisipyupiqa
pusaq	pusaq
suyupiqa	suyupiqa
Kimsa	kimsa
kaqta	kaqta
karqa	karqa
parki	parki
qhipaq	qhipaq
sumaq	sumaq
Kupa	kupa
Luis	luis
Madrid	madrid
Piluta	piluta
kamayuq	kamayuq
runakunaqa	runakunaqa
Cultura	tsultura
II	ii
Tayta	tayta
indihina	indihina
lliw	Liw
Ankash	ankash
kawsay	kawsay
nisqapi	nisqapi
watakama	watakama
Binidiktu	binidiktu
anafilaxia	anafilaksia
nin	nin
sichus	siCus
and	and
distritunmi	distritunmi
killapi	kiLapi
kuti	kuti
syn	syn
Ñawpaq	5awpaq
Chayrayku	Cayrayku
Griguryu	griguryu
Quito	quito
Qusqu	qusqu
Umalliq	umaLiq
kaptin	kaptin
kaspa	kaspa
manchay	manCay
suqta	suqta
wamani	wamani
Chaymanta	Caymanta
Markus	markus
achkha	aCkha
hawa	hawa
mamallaqta	mamaLaqta
pachak	paCak
pichqa	piCqa
suyup	suyup
A	a
Liyun	liyun
Pampa	pampa
Pawlu	pawlu
amachaq	amaCaq
crup	tsrup
in	in
kamasqa	kamasqa
kapun	kapun
pachapi	paCapi
qhapaq	qhapaq
sutichasqa	sutiCasqa
yaqa	yaqa
California	tsalifornia
Llaqtap	Laqtap
Manuel	manuel
Miguel	miguel
Piruwpa	piruwpa
hampi	hampi
hinam	hinam
kikin	kikin
suyupi	suyupi
Achka	aCka
Chinchay	CinCay
Limaq	limaq
kanchu	kanCu
kitillipipas	kitiLipipas
runakunata	runakunata
simita	simita
Fondo	fondo
III	iii
Peruana	peruana
Pruwinsyapiqa	pruwinsyapiqa
Villa	viLa
ama	ama
llimphisqan	Limphisqan
los	los
rimay	rimay
wak	wak
Chawpi	Cawpi
Las	las
Wasi	wasi
karu	karu
kasqa	kasqa
kayta	kayta
nisqakunaqa	nisqakunaqa
qanchis	qanCis
qillqa	qiLqa
taripay	taripay
unquyta	unquyta
yawar	yawar
Biblioteca	bibliotetsa
Centro	tsentro
Nihun	nihun
Quechua	queCua
Santo	santo
Sociedad	sotsiedad
allpa	aLpa
isqun	isqun
kawsachkan	kawsaCkan
kunan	kunan
manañam	mana5am
pp	papa
pukllaykuna	pukLaykuna
qallarirqan	qaLarirqan
Guadalupe	guadalupe
Krus	krus
Rosa	rosa
Taytan	taytan
huklla	hukLa
llaqtakuna	Laqtakuna
m	ma
munan	munan
nisqap	nisqap
p	pa
pampa	pampa
runakunap	runakunap
waranqa	waranqa
Ñawpa	5awpa
ñiqi	5iqi
Ana	ana
Andrés	andres
Diccionario	ditstsionario
Editores	editores
Estudios	estudios
Maman	maman
Sebastián	sebastian
Wakin	wakin
el	el
hunu	hunu
imaraykuchus	imaraykuCus
llaqtanmi	Laqtanmi
rurasqa	rurasqa
tukurqan	tukurqan
unqusqa	unqusqa
unquyqa	unquyqa
urqu	urqu
virus	virus
yaku	yaku
Domingo	domingo
Hanan	hanan
I	i
Los	los
Tawa	tawa
iskayniyuq	iskayniyuq
quechua	queCua
raphi	raphi
runayuq	runayuq
sutin	sutin
tiyaq	tiyaq
Ancha	anCa
Barcelona	bartselona
Cambridge	tsambridge
Tukuy	tukuy
Warmi	warmi
atin	atin
awqaq	awqaq
hanaq	hanaq
hinallataq	hinaLataq
kamarisqa	kamarisqa
kaqkunaqa	kaqkunaqa
nisqam	nisqam
pi	pi
wayra	wayra
Apuwasinyuq	apuwasinyuq
Awya	awya
College	tsoLege
Económica	etsonomitsa
Edición	editsion
Jesús	hesus
Kathuliku	kathuliku
Linguistics	linguistitss
Pichqa	piCqa
Piruwpi	piruwpi
Puka	puka
Qanchis	qanCis
Rimana	rimana
Santu	santu
The	the
Tupaq	tupaq
chaypi	Caypi
ichataq	iCataq
kanmi	kanmi
kusa	kusa
marka	marka
ninchik	ninCik
runakunamanta	runakunamanta
runakunapaq	runakunapaq
simimanta	simimanta
the	the
umalliqnin	umaLiqnin
waq	waq
yupayninqa	yupayninqa
Díaz	diaz
Eccles	etstsles
Fernando	fernando
Instituto	instituto
Inti	inti
Javier	havier
Kayqa	kayqa
Kunanqa	kunanqa
Maria	maria
Piyu	piyu
Premio	premio
Pusaq	pusaq
Runa	runa
Río	rio
anchata	anCata
chakra	Cakra
kanqaku	kanqaku
kaqkuna	kaqkuna
kaqman	kaqman
manas	manas
pruwinsyanmi	pruwinsyanmi
qillqasqa	qiLqasqa
rikusqa	rikusqa
rimaqniyuq	rimaqniyuq
runakunapi	runakunapi
ruru	ruru
sunturnin	sunturnin
wiñan	wi5an
American	ameritsan
Artes	artes
Aymara	aymara
Bedoya	bedoya
Católica	tsatolitsa
Escuela	estsuela
General	general
Historia	historia
Ima	ima
Maypim	maypim
Pablo	pablo
Press	press
Urbanu	urbanu
Uru	uru
V	va
Wari	wari
al	al
alli	aLi
hamun	hamun
hinaspa	hinaspa
kaqhina	kaqhina
kaqlla	kaqLa
kaqrayku	kaqrayku
kikinpa	kikinpa
las	las
laya	laya
llaqtakunapi	Laqtakunapi
machu	maCu
nanay	nanay
ninku	ninku
nirqan	nirqan
piluta	piluta
qallarin	qaLarin
qallupi	qaLupi
qhaway	qhaway
rikhurin	rikhurin
rimaqnin	rimaqnin
rumi	rumi
sisa	sisa
wasikuna	wasikuna
watayuq	watayuq
wañurqan	wa5urqan
yachaq	yaCaq
yapasqa	yapasqa
Ñiqi	5iqi
ñawpagradupi	5awpagradupi
Agustín	agustin
Arte	arte
Bellas	beLas
Buliwya	buliwya
Concepción	tsontseptsion
Cristóbal	tsristobal
Cusco	tsustso
Gutiérrez	gutierrez
Imprenta	imprenta
John	hohn
Revista	revista
Suqta	suqta
VII	vii
XII	ksii
Yuraq	yuraq
a	a
allinta	aLinta
chawpi	Cawpi
chayqa	Cayqa
hukniyuq	hukniyuq
kachi	kaCi
kamachiy	kamaCiy
kawsaq	kawsaq
kaykuna	kaykuna
kaypi	kaypi
llapan	Lapan
ninchikmi	ninCikmi
nisqapas	nisqapas
niyta	niyta
qillqasqan	qiLqasqan
runap	runap
ruruchinapaqmi	ruruCinapaqmi
simiman	simiman
suti	suti
wiñay	wi5ay
yachachin	yaCaCin
Andina	andina
Dictionary	ditstionary
Hukllachasqa	hukLaCasqa
Isabel	isabel
Ispaña	ispa5a
Kawsay	kawsay
Librería	libreria
Lliw	Liw
Qullu	quLu
School	sCool
Sichus	siCus
Tampu	tampu
Tomo	tomo
Urqu	urqu
VIII	viii
Wak	wak
Yala	yala
hampikamayuq	hampikamayuq
hunumanta	hunumanta
kanqa	kanqa
llaqtamanta	Laqtamanta
mitrum	mitrum
munisipyunmi	munisipyunmi
musiku	musiku
nisqamanta	nisqamanta
nisqawan	nisqawan
qhipa	qhipa
qhipagradupi	qhipagradupi
qillqaq	qiLqaq
qillqayta	qiLqayta
quchamanta	quCamanta
rimaykunata	rimaykunata
wasipi	wasipi
yachachiq	yaCaCiq
ñan	5an
Andinos	andinos
Anti	anti
Awqaq	awqaq
Caracas	tsaratsas
Chaypi	Caypi
Chile	Cile
Chili	Cili
Cruz	tsruz
Cáceres	tsatseres
García	gartsia
Hawa	hawa
IV	iv
Ichaqa	iCaqa
Jorge	horge
Kuraq	kuraq
Ministru	ministru
Moreno	moreno
New	new
Nueva	nueva
Nuevo	nuevo
Pacha	paCa
Paykuna	paykuna
Seminario	seminario
Siglo	siglo
St	sata
São	sao
Tawantinsuyu	tawantinsuyu
Truhillu	truhiLu
Universitaria	universitaria
Valencia	valentsia
Walla	waLa
X	ksa
Yale	yale
akllasqa	akLasqa
amachasqa	amaCasqa
chantapas	Cantapas
epinefrina	epinefrina
faringitis	faringitis
imatapas	imatapas
kaqkama	kaqkama
kasqan	kasqan
kayqa	kayqa
kutiqa	kutiqa
llapa	Lapa
llaqtan	Laqtan
may	may
ministru	ministru
munisipyupi	munisipyupi
nisqata	nisqata
paqarin	paqarin
pichqayuq	piCqayuq
puka	puka
pukllaq	pukLaq
rimaq	rimaq
runakunapas	runakunapas
tukukun	tukukun
ukhu	ukhu
umalliqninmi	umaLiqninmi
willan	wiLan
yura	yura
Allin	aLin
Ama	ama
Amaru	amaru
Amirika	amirika
Bíblica	biblitsa
Carmen	tsarmen
Casa	tsasa
Dyus	dyus
Educación	edutsatsion
Fe	fe
Grammar	grammar
Husiy	husiy
Inca	intsa
Inka	inka
Jatun	hatun
Joseph	hoseph
Juana	huana
Kashamarka	kashamarka
Kichwa	kiCwa
Kunti	kunti
Lipis	lipis
Llaqta	Laqta
Machu	maCu
Marcos	martsos
Mariscal	maristsal
Matías	matias
Merced	mertsed
Mishiku	mishiku
Museo	museo
Obras	obras
Pampas	pampas
Pichqantin	piCqantin
Pidru	pidru
Pikchunqa	pikCunqa
Punta	punta
Qosqo	qosqo
Qullana	quLana
Ramón	ramon
Roberto	roberto
Unión	union
Wawakuna	wawakuna
Wayna	wayna
Wila	wila
ahinataq	ahinataq
antanka	antanka
atinchu	atinCu
chayta	Cayta
edición	editsion
hampikuna	hampikuna
hukkunataq	hukkunataq
huñusqam	hu5usqam
inti	inti
kachkanku	kaCkanku
kaqkunata	kaqkunata
kawsan	kawsan
kuyuy	kuyuy
llaqtachapiqa	LaqtaCapiqa
llaqtaman	Laqtaman
manaraq	manaraq
manaña	mana5a
maypi	maypi
nir	nir
niyan	niyan
pachan	paCan
para	para
pinchikilla	pinCikiLa
purin	purin
qallu	qaLu
quchap	quCap
qukun	qukun
respiratorias	respiratorias
rimachkanku	rimaCkanku
ruran	ruran
ruwakun	ruwakun
tarikun	tarikun
tuktu	tuktu
unqunayaq	unqunayaq
urin	urin
waranqachá	waranqaCa
yachaqkuna	yaCaqkuna
yachaywasikunapi	yaCaywasikunapi
yupay	yupay
