we	be
ýokarlandyrmak	yoqorlonnurmoq
başlygy	boSluXu
binalarda	binolordo
kanunçylygy	qonunCuluXu
Balkan	bolqon
ulanmak	ulonmoq
çap	Cop
edýärler	edyErler
ýetiriji	yetiriji
Şonuň	SonuN
gatnaşmak	gotnoSmoq
işlenip	iSlenip
döredýär	dErEdyEr
wezipesine	be8ipe8ine
öňde	ENNE
öňüni	ENene
gatnaşyklar	gotnoSuqlor
bütin	beten
maslahat	mo8loxot
Duşuşygyň	duSuSuXuN
şertnama	Sertnomo
wagt	boXt
üstünlikleri	e88enlekleri
Geçen	geCen
barha	borxo
meselelerine	me8elelerine
gatnaşýan	gotnoSyon
gülläp	gellEp
önümlerini	EnemlErene
önümleriň	EnemlEreN
ulgamda	ulXomno
pagta	poXto
ösüşiniň	E8eSeneN
desgalary	de8Xoloru
haryt	xorut
möçberde	mECbErdE
alýan	olyon
döwri	dEbre
köpsanly	kEp8onlu
aýdyp	oydup
düzümi	de8eme
eger	eXer
başlangyjy	boSlonXuju
ýazmaça	yo8moCo
bahasy	boxo8u
meseleler	me8eleler
töleg	tElEX
Şeýlelikde	Seylelikde
gatnaşdy	gotnoSdu
Aşgabadyň	oSXoboduN
döwletiniň	dEblEteneN
türgenleri	terXEnleri
döwletara	dEblEtoro
bilerler	bilerler
ady	odu
banky	bonqu
Ýurdumyzda	yurdumu88o
Her	her
ahalteke	oxolteke
geljekde	geljekde
söz	8E8
ýygyndy	yuXunnu
işewür	iSEber
maglumat	moXlumot
ähmiýete	Ehmiyete
azyk	o8uq
maşgala	moSXolo
sanly	8onlu
senagaty	8enoXotu
çykyşlary	CuquSloru
mähriban	mEhribon
ybaratdyr	uborotdur
ätiýaçlandyryş	EtiyoClonnuruS
beriji	beriji
derejesine	dereje8ine
edaralaryň	edoroloruN
jaý	joy
ýanynda	yonunno
bolmagy	bolmoXu
esasda	e8o88o
maslahaty	mo8loxotu
biridir	biridir
döwletleriň	dEblEtlEriN
ýolbaşçysy	yolboSSu8u
ediş	ediS
görmek	gErmEk
içine	iCine
çykan	Cuqon
Kabineti	qobineti
taslamalary	to8lomoloru
daşky	doSqu
alýar	olyor
kilograma	kiloXromo
ugurlar	uXurlor
ýakyn	yoqun
Yslam	u8lom
hoşallyk	xoSolluq
kemala	kemolo
oýunlarynyň	oyunlorunuN
ýaşaýan	yoSoyon
Hazar	xo8or
Oba	obo
at	ot
resminamalaryň	re8minomoloruN
eýýäm	eyyEm
ses	8e8
Beýik	beyik
el	el
wagtlaýyn	boXtloyun
badalga	bodolXo
girýär	giryEr
medala	medolo
ulgamyna	ulXomuno
barýar	boryor
jenaýat	jenoyot
syýasaty	8uyo8otu
Guramasynyň	guromo8unuN
bäri	bEri
etrabynyň	etrobunuN
Kazyýet	qo8uyet
derman	dermon
Ýapyk	yopuq
görkezildi	gErkE8elli
okgunly	oqXunlu
çekip	Cekip
adyndaky	odundoqu
görnüşlerini	gErneSlErene
güýje	geyje
waka	boqo
maslahatynyň	mo8loxotunuN
Awaza	obo8o
rugsat	ruX8ot
artdyrmak	ortdurmoq
düzümine	de8emenE
günki	genke
muňa	muNo
böleginiň	bElEXeniN
pudak	pudoq
ybarat	uborot
şahslar	Sox8lor
Bütindünýä	betennenyE
geçip	geCip
täsin	tE8in
birine	birine
bolmak	bolmoq
garamazdan	goromo88on
görkezilýär	gErkE8elyEr
ýyly	yulu
Salgyt	8olXut
açylyş	oCuluS
bildirdi	billirdi
taraplar	toroplor
sarp	8orp
ahyrynda	oxurunno
geçirdi	geCirdi
geçýän	geCyEn
goşant	goSont
hyzmatdaşlygynyň	xu8motdoSluXunuN
özgertmeler	E8XErtmeler
az	o8
gullugy	gulluXu
hökmany	hEkmonu
bagtyýar	boXtuyor
eksport	ek8port
maksatnamasynyň	moq8otnomo8unuN
ýok	yoq
ýyllyk	yulluq
Mejlisiniň	mejli8iniN
ugrady	uXrodu
adyndan	odunnon
gözegçiligi	gE8EXCeleXi
beýläk	beylEk
üstüne	e88enE
bermegiň	bermeXiN
desgalar	de8Xolor
geljekki	geljekki
ýöriteleşdirilen	yEretEleSdirilen
eýesi	eye8i
önümçiligi	EnemCeleXi
şahsyň	Sox8uN
aşyrýan	oSuryon
döredilýär	dErEdelyEr
raýat	royot
sungatynyň	8unXotunuN
ugrundaky	uXrundoqu
şikaýat	Sikoyot
agzalarynyň	oX8olorunuN
aýynyň	oyunuN
atçylyk	oCCuluq
awtomobil	obtomobil
guruldy	gurullu
kanuny	qonunu
hoşniýetli	xoSniyetli
jogap	joXop
dört	dErt
energiýa	enerXiyo
kadalary	qodoloru
kömegi	kEmEXe
Gümrük	gemrek
güýçli	geyCli
häkimi	hEkimi
ygtybarly	uXtuborlu
gurlan	gurlon
özbaşdak	E8boSdoq
abraýly	obroylu
emläk	emlEk
mejlisi	mejli8i
sebitiň	8ebitiN
wagyz	boXu8
özleriniň	E8lEreneN
kärhananyň	kErxononuN
Oňa	oNo
girizildi	giri8illi
hyzmatlaryň	xu8motloruN
subutnamasydyr	8ubutnomo8udur
çekýär	CekyEr
çözgüdi	CE8Xede
ýöne	yEnE
tonna	tonno
çözgüt	CE8Xet
goldaw	gollob
göreş	gErES
maddy	moddu
önüm	Enem
dabara	doboro
gymmatly	gummotlu
türgenleriň	terXEnleriN
ynam	unom
çekmek	Cekmek
baryp	borup
bildirip	billirip
enjamlary	enjomloru
welaýat	beloyot
gulluk	gulluq
gözden	gE88En
karar	qoror
kuwwatly	qubbotlu
ýaryşlar	yoruSlor
sagdyn	8oXdun
ýetirildi	yetirilli
berip	berip
guramak	guromoq
ýerden	yerden
dostluk	do88luq
komitetiniň	qomitetiniN
tehnologiýalary	tehnologiyoloru
welaýatynda	beloyotunno
köpugurly	kEpuXurlu
wajyp	bojup
hasabynda	xo8obunno
institutynyň	in88itutunuN
peýdaly	peydolu
teklip	teklip
guralan	gurolon
talaplaryna	toloploruno
taslamasy	to8lomo8u
geçdi	geCdi
kazyýete	qo8uyete
bugdaý	buXdoy
düzüminde	de8emennE
golaý	goloy
nusgasy	nu8Xo8u
ornuny	ornunu
pensiýa	pen8iyo
görülýän	gErelyEn
hojalygy	xojoluXu
ilatyň	ilotuN
wekilleriniň	bekilleriniN
ynamly	unomlu
ýyldan	yullon
adamlara	odomloro
derejesiniň	dereje8iniN
mümkin	memken
resminamalary	re8minomoloru
ynsanperwer	un8onperber
enjamlar	enjomlor
göni	gEne
Siziň	8i8iN
astynda	o88unno
birleşiginiň	birleSiXiniN
kiçi	kiCi
meseleleriň	me8eleleriN
şertnamasy	Sertnomo8u
aýyň	oyuN
görkezýär	gErkE8yEr
hyzmatlary	xu8motloru
milliard	milliord
paýtagtymyzda	poytoXtumu88o
taslama	to8lomo
ylym	ulum
desgalarynyň	de8XolorunuN
howpsuzlygy	xobp8u8luXu
hyzmatdaşlygyny	xu8motdoSluXunu
orunlyk	orunluq
tejribe	tejribe
wagtyň	boXtuN
Türkmenbaşy	terkmEnmoSu
döwletleriniň	dEblEtlEriniN
jan	jon
mejlisinde	mejli8inne
paýtagty	poytoXtu
binagärlik	binogErlik
guramasynyň	guromo8unuN
halkyň	xolquN
Senagatçylar	8enoXoCCulor
bolmalydyr	bolmoludur
bähbidine	bEhbidine
hukuklaryny	xuquqlorunu
türgenler	terXEnler
yzyna	u8uno
bildirilýän	billirilyEn
diplomatik	diplomotik
häkimiýet	hEkimiyet
käbir	kEbir
namalary	nomoloru
ösýän	E8yEn
geçýär	geCyEr
mukaddes	muqodde8
çig	CiX
ýaşyna	yoSuno
biriniň	biriniN
girew	girEb
toparyň	toporuN
ýene	yene
Şoňa	SoNo
harytlar	xorutlor
ykdysadyýetimiziň	uqdu8oduyetimi8iN
Bellenilişi	belleniliSi
Sport	8port
sözüni	8E8ene
mekdebiniň	mekdebiniN
mekdepleriniň	mekdepleriniN
tertibinde	tertibinne
howpsuzlygyny	xobp8u8luXunu
maddasynyň	moddo8unuN
oýunlaryna	oyunloruno
peýda	peydo
arassa	oro88o
başardy	boSordu
gazanylan	go8onulon
oňaýly	oNoylu
ösdürilmegine	E88erelmEXene
bardygyny	borduXunu
gatnaşmaga	gotnoSmoXo
gazandy	go8onnu
tutýan	tutyon
Prezident	pre8ident
guraldy	gurollu
resminamalar	re8minomolor
birleşmesiniň	birleSme8iniN
görnüşleriniň	gErneSlEreneN
maslahatlaşyldy	mo8loxotloSullu
çagalaryň	CoXoloruN
derejedäki	derejedEki
giňeltmek	giNeltmek
häsiýete	hE8iyete
kanun	qonun
nobatda	nobotdo
wezipeleriň	be8ipeleriN
Ýewropa	yEbropo
ýerleşýär	yerleSyEr
howpsuzlyk	xobp8u8luq
tutup	tutup
berilmeýär	berilmeyEr
görkezdi	gErkE88e
möhümdigini	mEhemneXeni
şahslaryň	Sox8loruN
ministri	mini88ri
sebitde	8ebitde
wagty	boXtu
baýramy	boyromu
düzümleriniň	de8emlEreneN
günüň	geneN
çykarmak	Cuqormoq
alynýan	olunyon
durmuşynyň	durmuSunuN
guramalary	guromoloru
görkezmek	gErkE8mEk
maksatnamasyna	moq8otnomo8uno
Iki	iki
Russiýa	ru88iyo
kärhanalary	kErxonoloru
Ýöne	yEnE
ýaşlar	yoSlor
gurulýan	gurulyon
raýatlaryň	royotloruN
topar	topor
duran	duron
geçirijisiniň	geCiriji8iniN
agram	oXrom
aýratynlyklary	oyrotunluqloru
gatly	gotlu
zat	8ot
ýaryşlarda	yoruSlordo
mälim	mElim
öndürýän	EnneryEn
gadagan	godoXon
hil	hil
syýasat	8uyo8ot
administratiw	odmini88rotib
mümkinçilikler	memkenCelikler
tassyklanylýar	to88uqlonulyor
ösen	E8En
eýeçilik	eyeCilik
garaldy	gorollu
işlere	iSlere
meýdany	meydonu
sarpa	8orpo
ussatlarynyň	u88otlorunuN
çuňňur	CuNNur
ýolbaşçylygynda	yolboSSuluXunno
döretmäge	dErEtmEge
goňşy	goNSu
halkyna	xolquno
hut	xut
ýerlerde	yerlerde
ýolunyň	yolunuN
karary	qororu
pudagynyň	pudoXunuN
ugurlaryny	uXurlorunu
ýaýbaňlandyrylan	yoyboNlonnurulon
ýüzünde	ye8ennE
hiç	hiC
medal	medol
serişdeler	8eriSdeler
tamamlanandan	tomomlononnon
utuk	utuq
ýaryşlaryň	yoruSloruN
edaralarynda	edorolorunno
owadan	obodon
özgertmeleriň	E8XErtmeleriN
üstünlikler	e88enlekler
däp	dEp
edilmegine	edilmeXine
myhman	muxmon
şäheriň	SEheriN
bolýan	bolyon
borçlary	borCloru
düzüm	de8em
tölemek	tElEmEk
erkin	erkin
gysga	gu8Xo
Şonda	Sonno
Magtymguly	moXtumXulu
galan	golon
peýdalanmaga	peydolonmoXo
çykarylan	Cuqorulon
öndürilen	EnnerelEn
öwezini	EbE8eni
alynýar	olunyor
möhlet	mEhlEt
öwrenmek	EbrEnmEk
özgertmek	E8XErtmek
ýyla	yulo
hatarda	xotordo
jemgyýetiň	jemXuyetiN
möçberini	mECbErene
üstünde	e88ennE
ýerleri	yerleri
şertnamasynyň	Sertnomo8unuN
berlip	berlip
gyzykly	gu8uqlu
zerurdygyny	8erurduXunu
düzümini	de8emene
garşyladylar	gorSulodulor
hereketleri	hereketleri
mümkinçiliklerini	memkenCeliklerini
nebitgaz	nebitXo8
wekili	bekili
gök	gEk
jemleri	jemleri
minnetdarlyk	minnetdorluq
ulanylýan	ulonulyon
ýaryşlary	yoruSloru
Karz	qor8
alynmagy	olunmoXu
gurluşygynyň	gurluSuXunuN
himiýa	himiyo
işinde	iSinne
nyşany	nuSonu
türgen	terXEn
üpjünçilik	epjenCelek
Altyn	oltun
elektron	elektron
sapary	8oporu
wajypdygyny	bojupduXunu
Halk	xolk
asylly	o8ullu
hili	hili
inedördül	inedErdel
Garaşsyzlyk	goroS8u8luq
binýadyny	binyodunu
dag	doX
emlägi	emlEXi
eýeleýär	eyeleyEr
geçirilip	geCirilip
ykdysadyýetiň	uqdu8oduyetiN
barşy	borSu
bermegi	bermeXi
giňeltmäge	giNeltmEge
giňişleýin	giNiSleyin
ýolagçy	yoloXCu
ýurtlarda	yurtlordo
dokma	doqmo
geçmek	geCmek
kuwwatyny	qubbotunu
meselelere	me8elelere
ulgamlarynda	ulXomlorunno
şonuň	SonuN
berdiler	berdiler
birnäçesi	birnECe8i
düzgünleri	de8XenlEre
esas	e8o8
gününiň	geneneN
mertebeli	mertebeli
peýdalanyp	peydolonup
sanawy	8onobu
tertibine	tertibine
kompaniýasynyň	qomponiyo8unuN
paýtagtynda	poytoXtunno
Eýran	eyron
arza	or8o
derejesindäki	dereje8indEki
jaýlarynyň	joylorunuN
taslamalaryň	to8lomoloruN
