a-vorto	avorto
akcenta	akcenta
akcenti	akcenti
akcentita	akcentita
akcento	akcento
akcentperdo	akcentperdo
akceptejo	akcepteio
akcepti	akcepti
akceptisto	akceptisto
akcepto	akcepto
akcesora	akcesora
akcia societo	akcia societo
akcidento	akcidento
akcio	akcio
akcipitredoj	akcipitredoi
akcipitro	akcipitro
akciulo	akciulo
akcizi	akcizi
akcizisto	akcizisto
akcizo	akcizo
akileo	akileo
akiri	akiri
aklami	aklami
akmeo	akmeo
aknero	aknero
akno	akno
akolito	akolito
akomodi	akomodi
akomodiĝi	akomodiji
akompanantaro	akompanantaro
akompananto	akompananto
akompanate de	akompanate de
akompane al	akompane al
akompani	akompani
akonito	akonito
akorda	akorda
akordi	akordi
akordigebla	akordigebla
akordigi	akordigi
akordiono	akordiono
akordiĝi	akordiji
akordo	akordo
akra	akra
akraĵo	akraZo
akrediti	akrediti
akreditivi	akreditivi
akreditivo	akreditivo
akreo	akreo
akridedoj	akridedoi
akrido	akrido
akrigi	akrigi
akrigilo	akrigilo
akro	akro
akrobataĵo	akrobataZo
akrobato	akrobato
akromata	akromata
akroniĉo	akroniCo
akropolo	akropolo
akrostiĥo	akrostixo
aksa	aksa
akselo	akselo
aksingo	aksingo
aksiomo	aksiomo
akso	akso
aksono	aksono
aktinio	aktinio
aktiniumo	aktiniumo
aktisto	aktisto
aktiva	aktiva
aktivo	aktivo
akto	akto
aktori	aktori
aktoro	aktoro
aktuala	aktuala
akumulatoro	akumulatoro
akumulejo	akumuleio
akumuli	akumuli
akumulilo	akumulilo
akumuliĝa	akumulija
akupunkturisto	akupunkturisto
akupunkturo	akupunkturo
akurata	akurata
akustiko	akustiko
akuta	akuta
akutangula	akutangula
akuzativo	akuzativo
akuzaĵo	akuzaZo
akuzi	akuzi
akuzo	akuzo
akuŝantino	akuSantino
akuŝarto	akuSarto
akuŝdoloro	akuSdoloro
akuŝi	akuSi
akuŝigi	akuSigi
akuŝigistino	akuSigistino
akuŝilo	akuSilo
akuŝintino	akuSintino
akuŝistino	akuSistino
akuŝpeno	akuSpeno
akva	akva
akvaforto	akvaforto
akvamarino	akvamarino
akvarelo	akvarelo
akvario	akvario
akvatinto	akvatinto
akvedukto	akvedukto
akvero	akvero
akvi	akvi
akvifoliacoj	akvifoliacoi
akvifolio	akvifolio
akvilegio	akvilegio
akvisto	akvisto
akvo	akvo
akvodislimo	akvodislimo
akvodukto	akvodukto
akvofalo	akvofalo
akvohorloĝo	akvohorlojo
akvokoko	akvokoko
akvokondukilo	akvokondukilo
akvokonduko	akvokonduko
akvolilio	akvolilio
akvomelono	akvomelono
akvopipo	akvopipo
akvosciencisto	akvosciencisto
akvoscienco	akvoscienco
akvostacio	akvostacio
akvoturno	akvoturno
akvujo	akvuio
akvumi	akvumi
akĉento	akCento
al	al
al antaŭ	al antau
al apud	al apud
al ekster	al ekster
al en	al en
al inter	al inter
al malantaŭ	al malantau
al post	al post
al sub	al sub
al super	al super
al sur	al sur
al trans	al trans
al ĉe	al Ce
al ĉirkaŭ	al Cirkau
alabastro	alabastro
alaho	alaho
alano	alano
alaranĝi	alaranji
alarma	alarma
alarmi	alarmi
alarmilo	alarmilo
alarmisto	alarmisto
alarmo	alarmo
alaska duoninsulo	alaska duoninsulo
alaska golfo	alaska golfo
alasko	alasko
alaĵo	alaZo
alaŭdedoj	alaudedoi
alaŭdo	alaudo
albana	albana
albanio	albanio
albano	albano
albanujo	albanuio
albatredoj	albatredoi
albatroso	albatroso
albergo	albergo
alberto	alberto
albino	albino
albizio	albizio
albo	albo
albordiĝejo	albordijeio
albordiĝi	albordiji
albruli	albruli
albumeno	albumeno
albumino	albumino
albuminurio	albuminurio
albumo	albumo
alburno	alburno
alcedo	alcedo
alcentrigi	alcentrigi
alceo	alceo
alcionedoj	alcionedoi
alciono	alciono
aldehido	aldehido
aldiri	aldiri
aldo	aldo
aldoni	aldoni
aldoniteco	aldoniteco
aldono	aldono
aldonvalora imposto	aldonvalora imposto
aldviolono	aldviolono
aleatora	aleatora
alegoria	alegoria
alegorio	alegorio
alegre	alegre
alegrete	alegrete
alegreto	alegreto
alegro	alegro
aleksandrio	aleksandrio
aleksandro	aleksandro
aleksandro la granda	aleksandro la granda
alelekti	alelekti
aleno	aleno
aleo	aleo
alergia	alergia
alergiiga	alergiiga
alergio	alergio
alerono	alerono
alesti	alesti
aleutaj insuloj	aleutai insuloi
aleuto	aleuto
alezi	alezi
alezilo	alezilo
alfabeta	alfabeta
alfabetigi	alfabetigi
alfabetigo	alfabetigo
alfabeto	alfabeto
alfabetumo	alfabetumo
alfari	alfari
alfaŭki	alfauki
alfenido	alfenido
alflui	alflui
alfluo	alfluo
alfluo kaj forfluo	alfluo kai forfluo
alfo	alfo
alfonso	alfonso
alfortikigi	alfortikigi
alforĝi	alforji
alfredo	alfredo
alfronti	alfronti
algebra	algebra
algebra dualo	algebra dualo
algebra frakcio	algebra frakcio
algebra strukturo	algebra strukturo
algebro	algebro
alglui	alglui
algluiĝi	algluiji
algoj	algoi
algoritmo	algoritmo
alia	alia
aliancano	aliancano
alianciĝi	alianciji
alianco	alianco
alibio	alibio
alie	alie
aliflanke	aliflanke
aliformi	aliformi
aliformigi	aliformigi
aliformiĝi	aliformiji
aligatoredoj	aligatoredoi
aligatoro	aligatoro
aligi	aligi
aliigi	aliigi
aliiĝi	aliiji
alikvanto	alikvanto
alikvoto	alikvoto
alilando	alilando
alilandulo	alilandulo
alimento	alimento
alineo	alineo
alinomo	alinomo
alio	alio
aliri	aliri
alispeca	alispeca
aliteracio	aliteracio
alivesti	alivesti
alivorte	alivorte
alizarbo	alizarbo
alizo	alizo
alizujo	alizuio
aliĝi	aliji
aliĝilo	alijilo
aljuĝi	alyuji
alkado	alkado
alkadrigi	alkadrigi
alkala	alkala
alkaleca	alkaleca
alkalkuli	alkalkuli
alkalo	alkalo
alkaloido	alkaloido
alkateni	alkateni
alkazaro	alkazaro
alklaki	alklaki
alklimatiĝi	alklimatiji
alko	alko
alkoholaĵo	alkoholaZo
alkoholigi	alkoholigi
alkoholismo	alkoholismo
alkoholo	alkoholo
alkonduki	alkonduki
alkonformigi	alkonformigi
alkonformiĝi	alkonformiji
alkonstrui	alkonstrui
alkovo	alkovo
alkroĉi	alkroCi
alkroĉiĝi	alkroCiji
allasi	allasi
alligi	alligi
almanako	almanako
almanaĥo	almanaxo
almatano	almatano
almato	almato
almenaŭ	almenau
almeti	almeti
almetkasedo	almetkasedo
almezuri	almezuri
almiksi	almiksi
almiliti	almiliti
almontri	almontri
almovi	almovi
almozdonema	almozdonema
almozdoni	almozdoni
almozi	almozi
almozisto	almozisto
almozkesto	almozkesto
almozo	almozo
almozpeti	almozpeti
almozsako	almozsako
almozulejo	almozuleio
almozulo	almozulo
alnajli	alnaili
alniveligi	alniveligi
alno	alno
alnomo	alnomo
alo	alo
aloaĵo	aloaZo
aloji	aloii
alojo	aloio
alonĝo	alonjo
aloo	aloo
alopatia	alopatia
alopatio	alopatio
alopecio	alopecio
alozo	alozo
alpa montaro	alpa montaro
alpago	alpago
alpako	alpako
alpare	alpare
alparo	alparo
alparoli	alparoli
alpaŝi	alpaSi
alpingli	alpingli
alpinismo	alpinismo
alpinisto	alpinisto
alpismo	alpismo
alpisto	alpisto
alpo	alpo
alpoj	alpoi
alporti	alporti
alpremi	alpremi
alpreni	alpreni
alprunti	alprunti
alrigidiĝi	alrigidiji
alsino	alsino
alta	alta
alta frekvenco	alta frekvenco
alta protektado	alta protektado
alta protektanto	alta protektanto
alta tajdo	alta taido
altairo	altairo
altaja lingvo	altaia lingvo
altaja lingvofamilio	altaia lingvofamilio
altajo	altaio
altano	altano
altarejo	altareio
altaro	altaro
altaĵo	altaZo
altebenaĵo	altebenaZo
alteco	alteco
altefluga	altefluga
alteni	alteni
alteniĝi	alteniji
alteno	alteno
alteo	alteo
alteriĝi	alteriji
alterna	alterna
alterna grupo	alterna grupo
alterna kurento	alterna kurento
alternanco	alternanco
alternativo	alternativo
alternatoro	alternatoro
alterni	alterni
altfluga	altfluga
altforno	altforno
altigi	altigi
altiri	altiri
altitudo	altitudo
altmaro	altmaro
alto	alto
altocentro	altocentro
altranga	altranga
altrangulo	altrangulo
altranĉi	altranCi
altreliefo	altreliefo
altrudi	altrudi
altruisma	altruisma
altruismo	altruismo
altruisto	altruisto
alttemperatura	alttemperatura
altvalora	altvalora
aludi	aludi
alumeto	alumeto
aluminio	aluminio
alumino	alumino
aluno	aluno
aluvio	aluvio
alveni	alveni
alveolo	alveolo
alviciĝi	alviciji
alvoki	alvoki
alvokiĝo	alvokijo
alvuso	alvuso
alĉemilo	alCemilo
alĝebro	aljebro
alĝerio	aljerio
alĝustigi	aljustigi
alĥemiisto	alxemiisto
alĥemio	alxemio
alŝtatigo	alStatigo
alŝuti	alSuti
amadeo	amadeo
amafero	amafero
amalgami	amalgami
amalgamo	amalgamo
amanito	amanito
amantino	amantino
amanto	amanto
amara	amara
amaranto	amaranto
amarilidacoj	amarilidacoi
amarilido	amarilido
amasbuĉi	amasbuCi
amasdetrua armilo	amasdetrua armilo
amasigi	amasigi
amasinformilo	amasinformilo
amaskomunikilo	amaskomunikilo
amaskomunikiloj	amaskomunikiloi
amasmurdi	amasmurdi
amasmurdisto	amasmurdisto
amasmurdo	amasmurdo
amaso	amaso
amataĵo	amataZo
amatoreca	amatoreca
amatoro	amatoro
amazono	amazono
amaĉi	amaCi
amaĵema	amaZema
amaĵi	amaZi
amaĵistino	amaZistino
amaĵisto	amaZisto
amaĵo	amaZo
ambasadejo	ambasadeio
ambasado	ambasado
ambasadorejo	ambasadoreio
ambasadoro	ambasadoro
ambaŭ	ambau
ambaŭdirekta implikacio	ambaudirekta implikacio
ambaŭseksa	ambauseksa
ambaŭseksulo	ambauseksulo
ambicia	ambicia
ambicii	ambicii
ambicio	ambicio
ambigua	ambigua
ambigueco	ambigueco
ambiguo	ambiguo
amblo	amblo
ambono	ambono
amboso	amboso
ambro	ambro
ambrozio	ambrozio
ambulanco	ambulanco
amdeklaro	amdeklaro
amebo	amebo
amegi	amegi
ameli	ameli
amelo	amelo
amen	amen
amendamento	amendamento
amendi	amendi
amendo	amendo
amento	amento
americio	americio
amerika	amerika
amerikano	amerikano
ameriko	ameriko
ameti	ameti
ametisto	ametisto
amfibioj	amfibioi
amfibrako	amfibrako
amfibraĥo	amfibraxo
amfiteatro	amfiteatro
amforo	amforo
ami	ami
amiantio	amiantio
amika	amika
amikaĵo	amikaZo
amikeco	amikeco
amiki	amiki
amikino	amikino
amikiĝi	amikiji
amiko	amiko
aminda	aminda
amindumi	amindumi
amintrigo	amintrigo
amnestio	amnestio
amnezio	amnezio
amo	amo
amoniako	amoniako
amonito	amonito
amorantino	amorantino
amoranto	amoranto
amorfa	amorfa
amori	amori
amoristino	amoristino
amoristo	amoristo
amoro	amoro
amortizi	amortizi
amortizilo	amortizilo
amovendistino	amovendistino
amovendisto	amovendisto
ampelopso	ampelopso
ampermetro	ampermetro
ampero	ampero
ampleksa	ampleksa
ampleksi	ampleksi
amplekso	amplekso
amplifi	amplifi
amplifikatoro	amplifikatoro
amplifiki	amplifiki
amplifikilo	amplifikilo
amplifilo	amplifilo
amplitudo	amplitudo
ampolingo	ampolingo
ampolo	ampolo
amputi	amputi
amsterdamo	amsterdamo
amudarjo	amudaryo
amuleto	amuleto
amuza	amuza
amuzi	amuzi
amuzilo	amuzilo
amuzisto	amuzisto
amuzparko	amuzparko
anabazo	anabazo
anagalo	anagalo
anagramo	anagramo
anakardiacoj	anakardiacoi
anakardio	anakardio
anakronismo	anakronismo
analekto	analekto
analfabeteco	analfabeteco
analfabeto	analfabeto
analgeziko	analgeziko
analgezio	analgezio
analitika	analitika
analitika funkcio	analitika funkcio
analitika geometrio	analitika geometrio
analitiko	analitiko
analiza	analiza
analizi	analizi
analizilo	analizilo
analizo	analizo
analo	analo
analoga	analoga
analogeco	analogeco
analogia	analogia
analogio	analogio
anamnezo	anamnezo
ananaso	ananaso
ananasujo	ananasuio
anapesto	anapesto
anarkia	anarkia
anarkiismo	anarkiismo
anarkiisto	anarkiisto
anarkio	anarkio
anarkismo	anarkismo
anarkisto	anarkisto
anarkiulo	anarkiulo
anaro	anaro
anarĥia	anarxia
anarĥiismo	anarxiismo
anarĥiisto	anarxiisto
anarĥio	anarxio
anarĥiulo	anarxiulo
anasedoj	anasedoi
anaso	anaso
anastigmata	anastigmata
anastigmato	anastigmato
anatemi	anatemi
anatemo	anatemo
anatolio	anatolio
anatolo	anatolo
anatomiisto	anatomiisto
anatomio	anatomio
anatomo	anatomo
andante	andante
andanto	andanto
andezito	andezito
andoro	andoro
andreo	andreo
androgina	androgina
androgino	androgino
andromedo	andromedo
andujo	anduio
anekdota	anekdota
anekdotaro	anekdotaro
anekdoto	anekdoto
aneksaĵo	aneksaZo
aneksi	aneksi
anelidoj	anelidoi
anemio	anemio
anemometro	anemometro
anemono	anemono
anestezi	anestezi
anestezilo	anestezilo
anestezo	anestezo
aneto	aneto
anfrakto	anfrakto
angaro	angaro
angeliko	angeliko
angiledoj	angiledoi
angilo	angilo
angiloformaj	angiloformai
angino	angino
angio	angio
angla	angla
anglo	anglo
anglosaksa	anglosaksa
anglosakso	anglosakso
anglujo	angluio
angolo	angolo
angora	angora
angori	angori
angoro	angoro
angula distanco	angula distanco
angula koeficiento	angula koeficiento
angula krampo	angula krampo
angulfidela	angulfidela
angulmezurilo	angulmezurilo
angulo	angulo
angvisedoj	angvisedoi
angviso	angviso
anheli	anheli
anhelo	anhelo
anhidra	anhidra
anihilacii	anihilacii
anihilacio	anihilacio
anilino	anilino
animacio	animacio
animala	animala
animalo	animalo
animaloj	animaloi
animeo	animeo
animi	animi
animismo	animismo
animkonflikto	animkonflikto
animo	animo
animstato	animstato
anizo	anizo
anizujo	anizuio
aniĝi	aniji
ankaŭ	ankau
ankilozigo	ankilozigo
ankiloziĝi	ankiloziji
ankilozo	ankilozo
ankoraŭ	ankorau
ankrejo	ankreio
ankri	ankri
ankro	ankro
anksia	anksia
anksie	anksie
anksio	anksio
ano	ano
anobiedoj	anobiedoi
anobio	anobio
anodo	anodo
anomalio	anomalio
anonarbo	anonarbo
anonci	anonci
anonco	anonco
anonctabulo	anonctabulo
anonima	anonima
anono	anono
anonujo	anonuio
anorako	anorako
anormala	anormala
anselmo	anselmo
ansero	ansero
anseroformaj	anseroformai
anservice	anservice
anso	anso
anstataŭ	anstatau
anstataŭa	anstataua
anstataŭaĵo	anstatauaZo
anstataŭe	anstataue
anstataŭi	anstataui
anstataŭigi	anstatauigi
anstataŭilo	anstatauilo
anstataŭo	anstatauo
anstataŭulo	anstatauulo
antagonismo	antagonismo
antagonisto	antagonisto
antarkta	antarkta
antarkta aŭroro	antarkta auroro
antarkta oceano	antarkta oceano
antarkto	antarkto
antaŭ	antau
antaŭ nelonge	antau nelonge
antaŭ ĉio	antau Cio
antaŭa	antaua
antaŭa grajpo	antaua graipo
antaŭa masto	antaua masto
antaŭa steveno	antaua steveno
antaŭa tago	antaua tago
antaŭanonci	antauanonci
antaŭanto	antauanto
antaŭaranĝi	antauaranji
antaŭaĵo	antauaZo
antaŭbrako	antaubrako
antaŭdecidi	antaudecidi
antaŭdestinismo	antaudestinismo
antaŭdestino	antaudestino
antaŭdifini	antaudifini
antaŭdiri	antaudiri
antaŭdiristo	antaudiristo
antaŭe	antaue
antaŭeco	antaueco
antaŭen	antauen
antaŭenema	antauenema
antaŭenigi	antauenigi
antaŭeniri	antaueniri
antaŭfari	antaufari
antaŭfiksi	antaufiksi
antaŭflari	antauflari
antaŭforigi	antauforigi
antaŭgarda	antaugarda
antaŭgardi	antaugardi
antaŭgusto	antaugusto
antaŭgvardio	antaugvardio
antaŭhaltigi	antauhaltigi
antaŭhieraŭ	antauhierau
antaŭhistorio	antauhistorio
antaŭi	antaui
antaŭigi	antauigi
antaŭiri	antauiri
antaŭiĝi	antauiji
antaŭjuĝi	antauyuji
antaŭjuĝo	antauyujo
antaŭkalkuli	antaukalkuli
antaŭkambrio	antaukambrio
antaŭkanti	antaukanti
antaŭkapablo	antaukapablo
antaŭkompakta	antaukompakta
antaŭkongreso	antaukongreso
antaŭkonsenti	antaukonsenti
antaŭkonstruaĵo	antaukonstruaZo
antaŭkorto	antaukorto
antaŭlasta	antaulasta
antaŭlegi	antaulegi
antaŭlonge	antaulonge
antaŭludi	antauludi
antaŭludo	antauludo
antaŭmalhelpi	antaumalhelpi
antaŭmanĝaĵo	antaumanjaZo
antaŭmasto	antaumasto
antaŭmeti	antaumeti
antaŭmilita	antaumilita
antaŭnelonge	antaunelonge
antaŭnomo	antaunomo
antaŭo	antauo
antaŭpagi	antaupagi
antaŭparoli	antauparoli
antaŭparolo	antauparolo
antaŭpensi	antaupensi
antaŭplado	antauplado
antaŭplenumi	antauplenumi
antaŭpremisi	antaupremisi
antaŭpripensi	antaupripensi
antaŭrajdanto	antauraidanto
antaŭrakonti	antaurakonti
antaŭrevolucia	antaurevolucia
antaŭrimedo	antaurimedo
antaŭripeti	antauripeti
antaŭsalono	antausalono
antaŭsavi	antausavi
antaŭscii	antauscii
antaŭsenti	antausenti
antaŭsigno	antausigno
antaŭstari	antaustari
antaŭtagmezo	antautagmezo
antaŭtago	antautago
antaŭtempa	antautempa
antaŭteni	antauteni
antaŭtimi	antautimi
antaŭtimo	antautimo
antaŭtraktado	antautraktado
antaŭtraktilo	antautraktilo
antaŭtuko	antautuko
antaŭulo	antauulo
antaŭurbo	antauurbo
antaŭvelo	antauvelo
antaŭveni	antauveni
antaŭvespero	antauvespero
antaŭvidi	antauvidi
antaŭzorgi	antauzorgi
antaŭĉambro	antauCambro
antecedento	antecedento
antemo	antemo
anteno	anteno
antero	antero
antibiotika	antibiotika
antibiotiko	antibiotiko
anticipi	anticipi
antidoto	antidoto
antifono	antifono
antifrazo	antifrazo
antigvo	antigvo
antigvo kaj barbudo	antigvo kai barbudo
antikrezo	antikrezo
antikristo	antikristo
antikva	antikva
antikvaĵisto	antikvaZisto
antikvaĵo	antikvaZo
antikveco	antikveco
antilopo	antilopo
antimono	antimono
antinomio	antinomio
antipartiklo	antipartiklo
antipatia	antipatia
antipatii	antipatii
antipatio	antipatio
antipirino	antipirino
antipoda	antipoda
antipodo	antipodo
antiprotono	antiprotono
antirino	antirino
antisemitismo	antisemitismo
antisemito	antisemito
antisepsa	antisepsa
antisepsi	antisepsi
antisepso	antisepso
antisimetria	antisimetria
antitezo	antitezo
antologio	antologio
antonimo	antonimo
antono	antono
antonomazio	antonomazio
antracito	antracito
antrakso	antrakso
antropoida	antropoida
antropologiisto	antropologiisto
antropologio	antropologio
antropologo	antropologo
antropometrio	antropometrio
antropomorfismo	antropomorfismo
antverpeno	antverpeno
anuitato	anuitato
anunciacio	anunciacio
anuroj	anuroi
anusa	anusa
anuso	anuso
anĉo	anCo
anĉovo	anCovo
anĝelo	anjelo
anĝeluso	anjeluso
aorto	aorto
apanaĝo	apanajo
aparataro	aparataro
aparato	aparato
aparta	aparta
aparta opinio	aparta opinio
apartamento	apartamento
apartaĵo	apartaZo
apartenaĵo	apartenaZo
aparteni	aparteni
apartiga	apartiga
apartigebla	apartigebla
apartigi	apartigi
apatio	apatio
apatito	apatito
apaĉa	apaCa
apaĉo	apaCo
apelaci	apelaci
apelacii	apelacii
apeli	apeli
apenaŭ	apenau
apendicito	apendicito
apendico	apendico
apepsio	apepsio
aperaĵo	aperaZo
aperi	aperi
aperigi	aperigi
aperitivo	aperitivo
apero	apero
aperta	aperta
apertaĵo	apertaZo
aperti	aperti
apertigi	apertigi
aperturo	aperturo
apetita	apetita
apetitiga	apetitiga
apetito	apetito
apetitveka	apetitveka
apetitvekilo	apetitvekilo
apiacoj	apiacoi
apika	apika
apio	apio
aplanata	aplanata
aplanateco	aplanateco
aplanatismo	aplanatismo
aplanato	aplanato
aplaŭdi	aplaudi
aplika programaro	aplika programaro
apliki	apliki
aplombo	aplombo
apocinacoj	apocinacoi
apofizo	apofizo
apogarko	apogarko
apogeo	apogeo
apogi	apogi
apogilo	apogilo
apogiĝi	apogiji
apogpilastro	apogpilastro
apogseĝo	apogsejo
apokalipsa	apokalipsa
apokalipso	apokalipso
apokopo	apokopo
apokrifa	apokrifa
apokrifo	apokrifo
apologio	apologio
apologo	apologo
apolono	apolono
apopleksio	apopleksio
apostato	apostato
aposteriora	aposteriora
apostolo	apostolo
apostrofi	apostrofi
apostrofo	apostrofo
apoteko	apoteko
apotemo	apotemo
apoteozi	apoteozi
apoteozo	apoteozo
apozicii	apozicii
apozicio	apozicio
apoĝaturo	apojaturo
apreci	apreci
apreturi	apreturi
apreturo	apreturo
aprezi	aprezi
aprilo	aprilo
apriora	apriora
apro	apro
aproba	aproba
aprobi	aprobi
aprobo	aprobo
aproksimi	aproksimi
apsaro	apsaro
apsido	apsido
apud	apud
apuda	apuda
apudesti	apudesti
apudi	apudi
apunto	apunto
araba	araba
araba duoninsulo	araba duoninsulo
araba maro	araba maro
arabeca	arabeca
arabesko	arabesko
