va	vE
togʻ	toX
foydalaniladi	foydElEnilEdi
qattiq	qEttiq
kun	kun
ishtirok	iStirok
ravishda	rEviSdE
qoladi	qolEdi
Davlat	dEvlEt
Har	hEr
bergan	bergEn
butun	butun
oliy	oliy
harakat	hErEkEt
Bir	bir
tarkibiga	tErkibigE
tarixiy	tEriXiy
berish	beriS
ajralib	EjrElib
boradi	borEdi
Yevropa	yevropE
boshladi	boSlEdi
neft	neft
ataladi	EtElEdi
davri	dEvri
siyosiy	siyosiy
yoʻli	yoli
kimyoviy	kimyoviy
savdo	sEvdo
arab	ErEb
moddalar	moddElEr
sababli	sEbEbli
ostida	ostidE
tarkibida	tErkibidE
etdi	etdi
keldi	keldi
lekin	lekin
Ozarbayjon	ozErbEyjon
qismida	qismidE
tuzilgan	tuzilgEn
Bunday	bundEy
ahamiyatga	EhEmiyEtgE
odam	odEm
avvalgi	EvvElgi
boʻlinadi	bolinEdi
tez	tez
ushbu	uSbu
haqidagi	hEqidEgi
Milliy	milliy
sabab	sEbEb
etiladi	etilEdi
farq	fErq
qurilgan	qurilgEn
Markaziy	mErkEziy
inson	inson
boshlab	boSlEb
maqsadida	mEqsEdidE
yordam	yordEm
faoliyati	fEoliyEti
koʻrsatadi	korsEtEdi
instituti	instituti
yuzaga	yuzEgE
hududida	hududidE
vaqtda	vEqtdE
aks	Eks
havo	hEvo
uzoq	uzoq
markaziy	mErkEziy
oldi	oldi
etildi	etildi
keyingi	keyiNi
oʻrtasida	ortEsidE
tarixi	tEriXi
aholi	Eholi
ijro	ijro
koʻplab	koplEb
qadar	qEdEr
mustaqil	mustEqil
oʻrin	orin
Samarqand	sEmErqEnd
tilida	tilidE
oʻzining	oziniN
yuz	yuz
qator	qEtor
Hozirgi	hozirgi
ishlash	iSlES
qoʻllaniladi	qollEnilEdi
qilindi	qilindi
mamlakat	mEmlEkEt
oʻquv	oquv
Buyuk	buyuk
yaratilgan	yErEtilgEn
aholisi	Eholisi
ammo	Emmo
turgan	turgEn
mahsulotlari	mEhsulotlEri
mansub	mEnsub
berdi	berdi
murakkab	murEkkEb
bolalar	bolElEr
teng	teN
miqdori	miqdori
aniq	Eniq
faol	fEol
koʻproq	koproq
Bunda	bundE
avtomobil	Evtomobil
balki	bElki
nomidagi	nomidEgi
qon	qon
deyiladi	deyilEdi
tizimi	tizimi
zarur	zErur
oʻzi	ozi
davr	dEvr
degan	degEn
deyarli	deyErli
mehnat	mehnEt
yozgan	yozgEn
yili	yili
asoslangan	EsoslENEn
Bundan	bundEn
Lekin	lekin
Sharq	SErq
Yangi	yENi
oʻtgan	otgEn
foydalanish	foydElEniS
Ammo	Emmo
madaniy	mEdEniy
himoya	himoyE
odatda	odEtdE
qurilish	quriliS
Navoiy	nEvoiy
oddiy	oddiy
paxta	pEXtE
sodir	sodir
mayda	mEydE
koʻrsatgan	korsEtgEn
bosib	bosib
tibbiyot	tibbiyot
boy	boy
boʻlmagan	bolmEgEn
unda	undE
shahrida	SEhridE
madaniyat	mEdEniyEt
oʻsimliklar	osimliklEr
Ularning	ulErniN
akademiyasi	EkEdemiyEsi
diniy	diniy
maktabi	mEktEbi
AQSH	EqS
hayvonlar	hEyvonlEr
teatr	teEtr
Asosiy	Esosiy
hamma	hEmmE
Muhammad	muhEmmEd
hayot	hEyot
kunda	kundE
lozim	lozim
qayd	qEyd
asarlar	EsErlEr
kimyo	kimyo
barpo	bErpo
oʻsimlik	osimlik
zamonaviy	zEmonEviy
kuni	kuni
qora	qorE
Xitoy	Xitoy
tegishli	tegiSli
Biroq	biroq
kurash	kurES
ketadi	ketEdi
yashaydi	yESEydi
joylarda	joylErdE
paytda	pEytdE
ishlar	iSlEr
Janubiy	jEnubiy
bunday	bundEy
oʻrganish	orgEniS
beriladi	berilEdi
yagona	yEgonE
yosh	yoS
atalgan	EtElgEn
joy	joy
oltin	oltin
sport	sport
jarayonida	jErEyonidE
osti	osti
boʻylab	boylEb
talab	tElEb
transport	trEnsport
erkin	erkin
shunday	SundEy
boshlagan	boSlEgEn
oʻrtasidagi	ortEsidEgi
kashf	kESf
ziyod	ziyod
metall	metEll
qismini	qismini
guruh	guruh
hal	hEl
atrofida	EtrofidE
darajada	dErEjEdE
maydoni	mEydoni
yengil	yeNil
Oliy	oliy
bevosita	bevositE
qisqa	qisqE
usuli	usuli
ketgan	ketgEn
nomli	nomli
Gʻarbiy	XErbiy
ijod	ijod
oʻtadi	otEdi
rivojlanishi	rivojlEniSi
keskin	keskin
borgan	borgEn
dastlab	dEstlEb
universiteti	universiteti
Shuning	SuniN
imkon	imkon
xususiy	Xususiy
Xalq	XElq
jamoa	jEmoE
moʻljallangan	moljEllENEn
Sharqiy	SErqiy
xom	Xom
biror	biror
maktab	mEktEb
namoyon	nEmoyon
amaliy	EmEliy
topilgan	topilgEn
yon	yon
adabiy	EdEbiy
past	pEst
shaklida	SEklidE
yaratgan	yErEtgEn
Agar	EgEr
Amir	Emir
faoliyatini	fEoliyEtini
tuzilishi	tuziliSi
oʻsha	oSE
baland	bElEnd
oz	oz
texnika	teXnikE
vaqtida	vEqtidE
yoʻq	yoq
qiladigan	qilEdigEn
yozilgan	yozilgEn
Xalqaro	XElqEro
oldin	oldin
yoʻllari	yollEri
Mas	mEs
Unda	undE
mamlakatlarda	mEmlEkEtlErdE
Hindiston	hindiston
toʻgʻrisida	toXrisidE
vakillari	vEkillEri
Amerika	EmerikE
Fransiya	frEnsiyE
Qishloq	qiSloq
boshlangan	boSlENEn
teatri	teEtri
ularga	ulErgE
Turkiston	turkiston
Quyosh	quyoS
boʻladigan	bolEdigEn
tarjima	tErjimE
asar	EsEr
hayoti	hEyoti
shakli	SEkli
oq	oq
til	til
rol	rol
Fanlar	fEnlEr
koʻpgina	kopginE
taklif	tEklif
Oʻzbek	ozbek
bilim	bilim
madaniyati	mEdEniyEti
nerv	nerv
urushi	uruSi
yillar	yillEr
Fargʻona	fErXonE
Osiyoda	osiyodE
kiritilgan	kiritilgEn
tayyorlash	tEyyorlES
Eron	eron
miloddan	miloddEn
sohasida	sohEsidE
viloyat	viloyEt
Bosh	boS
Xorazm	XorEzm
tuman	tumEn
birgalikda	birgElikdE
lot	lot
mineral	minerEl
pul	pul
Ilmiy	ilmiy
tuproq	tuproq
magnit	mEgnit
olim	olim
rangli	rENli
nazariyasi	nEzEriyEsi
mm	emem
organik	orgEnik
tarzda	tErzdE
turkiy	turkiy
bitta	bittE
tugatgan	tugEtgEn
doimiy	doimiy
ikkita	ikkitE
tadqiqot	tEdqiqot
bagʻishlangan	bEXiSlENEn
hollarda	hollErdE
dunyo	dunyo
Eng	eN
rasmiy	rEsmiy
tayyorlanadi	tEyyorlEnEdi
yuksak	yuksEk
Shahar	SEhEr
kirib	kirib
aloqa	EloqE
saqlanib	sEqlEnib
tarkibi	tErkibi
ulardan	ulErdEn
roʻy	roy
yetib	yetib
ogʻir	oXir
harakati	hErEkEti
uz	uz
arbobi	Erbobi
konlari	konlEri
asari	EsEri
muvofiq	muvofiq
ingliz	iNliz
koʻrsatish	korsEtiS
adabiyoti	EdEbiyoti
jarayoni	jErEyoni
daryo	dEryo
asr	Esr
ibn	ibn
taxminan	tEXminEn
tosh	toS
elektron	elektron
kelishi	keliSi
moddiy	moddiy
qoʻllanadi	qollEnEdi
yanada	yEnEdE
qisman	qismEn
boshlandi	boSlEndi
kasallik	kEsEllik
Temur	temur
ilgari	ilgEri
singari	siNEri
solingan	soliNEn
usullari	usullEri
fizik	fizik
oshirish	oSiriS
soʻz	soz
Abu	Ebu
guruhi	guruhi
Germaniya	germEniyE
hatto	hEtto
yun	yun
hisoblangan	hisoblENEn
sistemasi	sistemEsi
tillari	tillEri
ajratib	EjrEtib
hukumat	hukumEt
nazorat	nEzorEt
qilishga	qiliSgE
qoplangan	qoplENEn
Katta	kEttE
asarlarida	EsErlEridE
majbur	mEjbur
I	i
Shimoliy	Simoliy
boshqarish	boSqEriS
boʻlish	boliS
modda	moddE
ijodiy	ijodiy
orasidagi	orEsidEgi
qoʻyilgan	qoyilgEn
hissa	hissE
kirgan	kirgEn
oshiriladi	oSirilEdi
respublika	respublikE
lar	lEr
muzeyi	muzeyi
raisi	rEisi
vositalari	vositElEri
xususan	XususEn
adabiyot	EdEbiyot
beradigan	berEdigEn
energiya	energiyE
kitob	kitob
qazib	qEzib
sut	sut
ishga	iSgE
jamiyat	jEmiyEt
mexanik	meXEnik
oʻgʻli	oXli
qonun	qonun
saqlash	sEqlES
sharqiy	SErqiy
tomon	tomon
boriladi	borilEdi
issiqlik	issiqlik
joriy	joriy
binoan	binoEn
materiallari	mEteriEllEri
qarang	qErEN
sm	esem
zavodi	zEvodi
jinsiy	jinsiy
qaror	qEror
yuk	yuk
asrlarda	EsrlErdE
kislota	kislotE
odamlar	odEmlEr
teri	teri
xususiyatlari	XususiyEtlEri
Britaniya	britEniyE
aniqlash	EniqlES
belgilangan	belgilENEn
institutida	institutidE
daryosi	dEryosi
tadqiqotlar	tEdqiqotlEr
toʻliq	toliq
Moskva	moskvE
axborot	EXborot
ekiladi	ekilEdi
korxona	korXonE
oldini	oldini
borib	borib
ovoz	ovoz
Respublika	respublikE
davlati	dEvlEti
oʻta	otE
ustida	ustidE
buyumlar	buyumlEr
fransuz	frEnsuz
yashagan	yESEgEn
avval	EvvEl
shaxs	SEXs
Natijada	nEtijEdE
ishlangan	iSlENEn
oy	oy
Andijon	Endijon
mos	mos
q	qa
tan	tEn
urush	uruS
ijodi	ijodi
issiq	issiq
narsa	nErsE
shaxsiy	SEXsiy
yerga	yergE
Islom	islom
oʻrtalari	ortElEri
oʻzini	ozini
qoldi	qoldi
boshlarida	boSlEridE
islom	islom
saqlab	sEqlEb
yaratish	yErEtiS
Umumiy	umumiy
bayon	bEyon
ishlagan	iSlEgEn
ishlov	iSlov
ishlaydi	iSlEydi
mashinasozlik	mESinEsozlik
ommaviy	ommEviy
topdi	topdi
Keyingi	keyiNi
boʻlimi	bolimi
davolash	dEvolES
jamiyati	jEmiyEti
organlari	orgEnlEri
oʻtib	otib
professor	professor
qizil	qizil
Respublikasining	respublikEsiniN
mahsulot	mEhsulot
mingdan	miNdEn
oʻxshash	oXSES
baliq	bEliq
tutadi	tutEdi
bola	bolE
kuzatiladi	kuzEtilEdi
vafot	vEfot
Suv	suv
Tuman	tumEn
belgilanadi	belgilEnEdi
mamlakatlar	mEmlEkEtlEr
namoyish	nEmoyiS
foydali	foydEli
tadqiq	tEdqiq
temperatura	temperEturE
terma	termE
xoʻjalik	XojElik
Asosan	EsosEn
shoir	Soir
toʻla	tolE
xillari	XillEri
bogʻlangan	boXlENEn
hukumati	hukumEti
quyi	quyi
tayyorlangan	tEyyorlENEn
yorugʻlik	yoruXlik
Dastlab	dEstlEb
asarida	EsEridE
yozib	yozib
Ayrim	Eyrim
hajmi	hEjmi
hisobga	hisobgE
mudiri	mudiri
qilishda	qiliSdE
Jahon	jEhon
olimlar	olimlEr
qoʻl	qol
toʻgʻrisidagi	toXrisidEgi
Misr	misr
ekanligini	ekEnligini
gʻarbiy	XErbiy
tarkibidagi	tErkibidEgi
aylangan	EylENEn
haqiqiy	hEqiqiy
sud	sud
tiliga	tiligE
ustidan	ustidEn
uzunligi	uzunligi
million	million
nafas	nEfEs
qadimgi	qEdimgi
tibbiy	tibbiy
uzun	uzun
boʻlishiga	boliSigE
mashina	mESinE
metallurgiya	metEllurgiyE
qilishi	qiliSi
temperaturasi	temperEturEsi
egallaydi	egEllEydi
qismlari	qismlEri
shundan	SundEn
Odatda	odEtdE
boʻlmaydi	bolmEydi
janubiy	jEnubiy
soat	soEt
vazifasini	vEzifEsini
viloyatining	viloyEtiniN
Afrika	EfrikE
qulay	qulEy
mamlakatning	mEmlEkEtniN
mazkur	mEzkur
qadimdan	qEdimdEn
qaramay	qErEmEy
aylandi	EylEndi
darajasi	dErEjEsi
hayvon	hEyvon
jihatidan	jihEtidEn
nazariy	nEzEriy
xorijiy	Xorijiy
S	es
kishidan	kiSidEn
materiallar	mEteriEllEr
maydon	mEydon
yulduz	yulduz
bilish	biliS
mumtoz	mumtoz
yillarida	yillEridE
miqdorda	miqdordE
oʻrmon	ormon
oʻtkazish	otkEziS
paytida	pEytidE
rahbari	rEhbEri
xalqlar	XElqlEr
Rim	rim
bozor	bozor
bunda	bundE
hisobiga	hisobigE
joyi	joyi
qadimiy	qEdimiy
sazovor	sEzovor
bordi	bordi
fors	fors
hamkorlikda	hEmkorlikdE
t	te
Ibn	ibn
Ikki	ikki
kasalliklar	kEsElliklEr
nom	nom
oʻzida	ozidE
qoʻlga	qolgE
zamon	zEmon
orqa	orqE
oʻrniga	ornigE
turdagi	turdEgi
Mac	mEts
ishlatiladigan	iSlEtilEdigEn
nomlangan	nomlENEn
tarzida	tErzidE
II	ii
aylanadi	EylEnEdi
mamlakatlarida	mEmlEkEtlEridE
mis	mis
oʻtkaziladi	otkEzilEdi
oʻzgarishi	ozgEriSi
yaqinida	yEqinidE
Italiya	itEliyE
Yaponiya	yEponiyE
tovush	tovuS
berib	berib
butunlay	butunlEy
majmui	mEjmui
rivojlanish	rivojlEniS
saqlangan	sEqlENEn
shimoliy	Simoliy
Ayni	Eyni
Oʻsha	oSE
davlatlar	dEvlEtlEr
elementlar	elementlEr
fanlar	fEnlEr
huquq	huquq
muallifi	muEllifi
yadro	yEdro
Sovet	sovet
biologik	biologik
hamkorlik	hEmkorlik
jamoat	jEmoEt
miya	miyE
muntazam	muntEzEm
oxiri	oXiri
oyida	oyidE
oʻzgarishlar	ozgEriSlEr
soʻnggi	soNgi
suvda	suvdE
Shunday	SundEy
foydalanib	foydElEnib
oxirida	oXiridE
suyuq	suyuq
turibdi	turibdi
zarar	zErEr
egallagan	egEllEgEn
sovuq	sovuq
buyuk	buyuk
hududi	hududi
musulmon	musulmon
ixtisoslashgan	iXtisoslESgEn
joyda	joydE
qatorda	qEtordE
texnik	teXnik
ayol	Eyol
kishilar	kiSilEr
korxonalar	korXonElEr
muhit	muhit
oqibatida	oqibEtidE
tartibga	tErtibgE
jami	jEmi
qaratilgan	qErEtilgEn
quruq	quruq
tarmogʻi	tErmoXi
tushgan	tuSgEn
Yirik	yirik
ayni	Eyni
boʻlgani	bolgEni
direktori	direktori
fanlari	fEnlEri
li	li
tabiat	tEbiEt
universitet	universitet
yashab	yESEb
zavodlari	zEvodlEri
ва	vE
shakllangan	SEkllENEn
tarmoqlari	tErmoqlEri
uy	uy
asosini	Esosini
drama	drEmE
huquqiy	huquqiy
korxonasi	korXonEsi
mahsulotlar	mEhsulotlEr
oldingi	oldiNi
qoʻshma	qoSmE
bosim	bosim
ishlarini	iSlErini
mamlakatda	mEmlEkEtdE
millat	millEt
xoʻjaligida	XojEligidE
Buning	buniN
Yil	yil
ijodida	ijodidE
jamoasi	jEmoEsi
keladigan	kelEdigEn
tok	tok
yaratildi	yErEtildi
amal	EmEl
birikmalar	birikmElEr
jang	jEN
keltirilgan	keltirilgEn
muassasalari	muEssEsElEri
oʻrnatilgan	ornEtilgEn
oʻzgarib	ozgErib
shakllari	SEkllEri
shaxslar	SEXslEr
xalqlari	XElqlEri
Ayniqsa	EyniqsE
Toshkentda	toSkentdE
boshligʻi	boSliXi
samarali	sEmErEli
A	E
Mazkur	mEzkur
Qora	qorE
fikr	fikr
hokimiyat	hokimiyEt
toʻplami	toplEmi
Xiva	XivE
akademik	EkEdemik
boshlanadi	boSlEnEdi
holat	holEt
oʻralgan	orElgEn
tillarida	tillEridE
turk	turk
Boshqa	boSqE
dagi	dEgi
optik	optik
qaysi	qEysi
uyushmasi	uyuSmEsi
Qozogʻiston	qozoXiston
Turkiya	turkiyE
aholining	EholiniN
geografik	geogrEfik
kompaniyasi	kompEniyEsi
natijada	nEtijEdE
nemis	nemis
tasvirlangan	tEsvirlENEn
tovar	tovEr
vositasi	vositEsi
yashil	yESil
ahamiyati	EhEmiyEti
eksport	eksport
i	i
navbatida	nEvbEtidE
yaratdi	yErEtdi
Kavkaz	kEvkEz
Koʻp	kop
Namangan	nEmENEn
Tashqi	tESqi
ashyo	ESyo
bundan	bundEn
etilishi	etiliSi
geologik	geologik
jinslari	jinslEri
ozod	ozod
soʻngra	soNrE
turadigan	turEdigEn
xon	Xon
yozma	yozmE
yurti	yurti
aniqlanadi	EniqlEnEdi
balandligi	bElEndligi
ekinlari	ekinlEri
holati	holEti
kg	kage
usul	usul
Alisher	EliSer
masalalari	mEsElElEri
olishga	oliSgE
rahbarlik	rEhbErlik
tillar	tillEr
atom	Etom
bino	bino
doim	doim
iqlim	iqlim
jinslar	jinslEr
kumush	kumuS
manbai	mEnbEi
metallar	metEllEr
meva	mevE
mobaynida	mobEynidE
oʻtkir	otkir
tumanida	tumEnidE
tumanidagi	tumEnidEgi
ulushi	uluSi
xizmati	XizmEti
hukmronligi	hukmronligi
jarayonlar	jErEyonlEr
mukofoti	mukofoti
ona	onE
shakl	SEkl
tekshirish	tekSiriS
tilga	tilgE
usulda	usuldE
yoʻlga	yolgE
jarayon	jErEyon
kasb	kEsb
nafar	nEfEr
qoʻshib	qoSib
sotib	sotib
umuman	umumEn
viloyatida	viloyEtidE
Oʻzbekistonning	ozbekistonniN
Yerning	yerniN
boʻla	bolE
hokimiyatni	hokimiyEtni
musiqiy	musiqiy
qoʻshin	qoSin
qurilishi	quriliSi
sohasidagi	sohEsidEgi
tayyorlashda	tEyyorlESdE
Mehnat	mehnEt
Yuqori	yuqori
energiyasi	energiyEsi
holatda	holEtdE
ishi	iSi
jalb	jElb
mln	emelen
oshiradi	oSirEdi
tugʻilgan	tuXilgEn
beri	beri
ketishi	ketiSi
kosmik	kosmik
ot	ot
rivojlanishiga	rivojlEniSigE
ruhiy	ruhiy
taraqqiy	tErEqqiy
bemor	bemor
birligi	birligi
boshida	boSidE
kengashi	keNESi
sharoitida	SEroitidE
shugʻullanadi	SuXullEnEdi
turmush	turmuS
yunon	yunon
Miloddan	miloddEn
jismoniy	jismoniy
oʻtkazilgan	otkEzilgEn
qurish	quriS
sarfi	sErfi
suratga	surEtgE
tanilgan	tEnilgEn
tarkib	tErkib
boshlaydi	boSlEydi
koʻrish	koriS
ozodlik	ozodlik
oʻt	ot
qiymati	qiymEti
qoʻy	qoy
saqlanadi	sEqlEnEdi
xususiyati	XususiyEti
belgilari	belgilEri
ipak	ipEk
javob	jEvob
kutubxona	kutubXonE
olinadigan	olinEdigEn
taqdim	tEqdim
tarkibiy	tErkibiy
tasvir	tEsvir
yuzasi	yuzEsi
Turli	turli
asboblar	EsboblEr
belgilab	belgilEb
boʻyi	boyi
doktori	doktori
falsafiy	fElsEfiy
hikoya	hikoyE
mamlakatlari	mEmlEkEtlEri
oila	oilE
olindi	olindi
oqimi	oqimi
pastki	pEstki
qaraganda	qErEgEndE
rivojlandi	rivojlEndi
talqin	tElqin
yilning	yilniN
bunyod	bunyod
etishga	etiSgE
mustahkam	mustEhkEm
oqib	oqib
sabzavot	sEbzEvot
tomondan	tomondEn
tozalash	tozElES
tur	tur
ularda	ulErdE
vazifasi	vEzifEsi
yurak	yurEk
Avstraliya	EvstrEliyE
ana	EnE
ogʻzaki	oXzEki
oladigan	olEdigEn
opera	operE
oʻng	oN
poytaxti	poytEXti
vodorod	vodorod
yiliga	yiligE
ayollar	EyollEr
devor	devor
etishi	etiSi
koʻz	koz
murojaat	murojEEt
olishda	oliSdE
organizmlar	orgEnizmlEr
sanoatida	sEnoEtidE
tasviriy	tEsviriy
tushib	tuSib
tuxum	tuXum
ulkan	ulkEn
vaziri	vEziri
xalqining	XElqiniN
Qoraqalpogʻiston	qorEqElpoXiston
atrofidagi	EtrofidEgi
bekor	bekor
matematik	mEtemEtik
oʻn	on
oʻtish	otiS
rivojlantirish	rivojlEntiriS
shuning	SuniN
soʻzlar	sozlEr
tarixida	tEriXidE
uzluksiz	uzluksiz
xalqi	XElqi
yashash	yESES
yerlar	yerlEr
Hozir	hozir
Masalan	mEsElEn
jism	jism
namunalari	nEmunElEri
prezident	prezident
sohasi	sohEsi
tarix	tEriX
tomoni	tomoni
toʻrt	tort
ustiga	ustigE
yashaydigan	yESEydigEn
yerlarda	yerlErdE
yogʻ	yoX
Arab	ErEb
Tojikiston	tojikiston
ahamiyat	EhEmiyEt
dam	dEm
darajasiga	dErEjEsigE
hujayra	hujEyrE
jiddiy	jiddiy
kema	kemE
otasi	otEsi
raqs	rEqs
sobiq	sobiq
tajriba	tEjribE
topadi	topEdi
voqealar	voqeElEr
yakka	yEkkE
belgilar	belgilEr
boʻlganligi	bolgEnligi
boʻlsada	bolsEdE
oʻrnida	ornidE
partiyasi	pErtiyEsi
shaklda	SEkldE
tezligi	tezligi
tropik	tropik
yuritiladi	yuritilEdi
Elektr	elektr
amalda	EmEldE
avj	Evj
berildi	berildi
boshqaruv	boSqEruv
dengizi	deNizi
oson	oson
oʻsadi	osEdi
oʻtdi	otdi
qogʻoz	qoXoz
tomonlama	tomonlEmE
Dastlabki	dEstlEbki
asrning	EsrniN
el	el
ijobiy	ijobiy
qiyin	qiyin
qonuni	qonuni
qoʻshinlari	qoSinlEri
shaharlar	SEhErlEr
suvi	suvi
tirik	tirik
yakuniga	yEkunigE
bosimi	bosimi
hisoblash	hisoblES
qariyb	qEriyb
tahlil	tEhlil
turar	turEr
turib	turib
V	ve
ajratiladi	EjrEtilEdi
asarlarini	EsErlErini
ekinlar	ekinlEr
eski	eski
keltiradi	keltirEdi
olimi	olimi
oʻrnini	ornini
oʻtishi	otiSi
shisha	SiSE
turish	turiS
xodim	Xodim
yulduzlar	yulduzlEr
Ali	Eli
Tumanda	tumEndE
Yevropada	yevropEdE
kutubxonasi	kutubXonEsi
misol	misol
qishlogʻi	qiSloXi
qoʻyish	qoyiS
suyuqlik	suyuqlik
aynan	EynEn
dunyoda	dunyodE
munosabatlar	munosEbEtlEr
oziq	oziq
sement	sement
sof	sof
Boku	boku
Sulton	sulton
dafn	dEfn
foydalanilgan	foydElEnilgEn
km²	kaem ikki
muhofaza	muhofEzE
mukammal	mukEmmEl
munosabati	munosEbEti
okean	okeEn
oʻrganadi	orgEnEdi
qad	qEd
qamrab	qEmrEb
qoʻshiq	qoSiq
sari	sEri
Angliya	ENliyE
aylanib	EylEnib
hozir	hozir
ishtirokida	iStirokidE
maishiy	mEiSiy
topish	topiS
yurtlari	yurtlEri
Shim	Sim
Unga	uNE
borish	boriS
hasharotlar	hESErotlEr
markazida	mErkEzidE
omillar	omillEr
qilinishi	qiliniSi
qism	qism
qismidagi	qismidEgi
solgan	solgEn
tushadi	tuSEdi
Bunga	buNE
Undan	undEn
aralash	ErElES
asrda	EsrdE
atrofi	Etrofi
bajaradi	bEjErEdi
film	film
harakatlar	hErEkEtlEr
maktablari	mEktEblEri
masalalar	mEsElElEr
muddat	muddEt
mulk	mulk
nomini	nomini
qatnashgan	qEtnESgEn
vakili	vEkili
yetadi	yetEdi
yuridik	yuridik
zarralar	zErrElEr
Dengiz	deNiz
Mustaqillik	mustEqillik
Qoʻqon	qoqon
Uni	uni
asrlar	EsrlEr
bartaraf	bErtErEf
biridir	biridir
demokratik	demokrEtik
hokimiyati	hokimiyEti
markazlari	mErkEzlEri
ovqat	ovqEt
oʻzgaradi	ozgErEdi
taraqqiyot	tErEqqiyot
tekis	tekis
tor	tor
urugʻ	uruX
yetgan	yetgEn
yorqin	yorqin
FA	fE
Jan	jEn
Oʻz	oz
