a da mek	adamek
flai	flai
flieva	fliEva
flim	flim
flod	flod
flowa	flowa
fluor	fluor
fongkshan	foNkSan
foris	foris
form	form
fos	fos
foul	foul
fraag	frag
frahn	fra*
frai	frai
frai domplin	frai domplin
frai plaan	frai plan
fraitn	fraitn
frans	frans
frenship	frenSip
fruut	frut
fruut juus	frut dZus
fufu	fufu
ful	ful
fuo	fuo
fuokos	fuokos
fuos	fuos
fuot	fuot
fuotiin	fuotin
fut	fut
futbaal	futbal
fuud	fud
fyuil	fyuil
fyuu	fyu
galang	galaN
gens	gens
get apaint	get apaint
get bex	get beks
get hextingk	get hekstiNk
gien	giEn
giet	giEt
ginep	ginep
gluobal	gluobal
go a farin	goafarin
gobna	gobna
gobna-jinaral	gobnadZinaral
goli	goli
golibl	golibl
gon	gon
govament	govament
graasapa	grasapa
grampierans	grampiErans
griep	griEp
griet	griEt
grietis	griEtis
grii	gri
grii pahn	gripa*
grii se	grise
griin	grin
griis	gris
grinieda	griniEda
grong	groN
gruo	gruo
gruot	gruot
gud	gud
gudz	gudz
gunggu	guNgu
gunggu piiz	guNgu piz
guol	guol
guot	guot
guzu	guzu
gwaava	gwava
gwan	gwan
gyaad	Tad
gyaadn	Tadn
gyaalik	Talik
gyada	Tada
gyadarin	Tadarin
gyal	Tal
gyal pikni	Tal pikni
gyas	Tas
haakiek	hakiEk
haalzwie	halzwiE
haatagrafi	hatagrafi
haatikl	hatikl
haatis	hatis
habrij	habridZ
habvios	habvios
hada	hada
hadap	hadap
hadvenchara	hadventSara
hafi	hafi
haid	haid
hairish	hairiS
hairish pitieta	hairiS pitiEta
hambrela	hambrela
hanalisis	hanalisis
hanimal	hanimal
harijin	haridZin
hat	hat
hatityuud	hatityud
haxent	haksent
haxesobl	haksesobl
haxpek	hakspek
hayan	hayan
hayan-mekin	hayanmekin
haz	haz
hebini	hebini
hebm	hebm
hedituoryal	hedituoryal
heg	heg
hels	hels
hen	hen
hen a	hena
heni	heni
heni a	henia
heni a di abov	henia diabov
heniting	henitiN
heniting hels	henitiN hels
hexpand	hekspand
hexplien	hekspliEn
hexpreshan	hekspreSan
hexten	heksten
hextingk	hekstiNk
hidyam	hidyam
hieja	hiEdZa
hiem	hiEm
hiet	hiEt
hietiin	hiEtin
hifek	hifek
higla	higla
hiit	hit
hiiz	hiz
hilekchranik	hilektSranik
hilekchranik komiunikieshan	hilektSranik komyunikiESan
himpres	himpres
hinchradokshan	hintSradokSan
hinchrajuus	hintSradZus
hinchres	hintSres
hinfluens	hinfluens
hingglish	hiNgliS
hinishal	hiniSal
hinkluudn	hinkludn
hintanashinal	hintanaSinal
hintanashinal chrabl	hintanaSinal tSrabl
hofishal	hofiSal
hofishal langwij	hofiSal laNwidZ
honggl	hoNgl
honggri	hoNgri
honyan	ho5an
hopin-en	hopinen
horbanizieshan	horbaniziESan
hori	hori
hori op	hori op
horli	horli
howa	howa
hox	hoks
huobaluk	huobaluk
huol	huol
huol-taima	huoltaima
huoliip	huolip
huoral	huoral
huoral langwij	huoral laNwidZ
huovn	huovn
ie	iE
iebl	iEbl
ieda	iEda
iej	iEdZ
iejobl	iEdZobl
iel	iEl
iemi	iEmi
ienshent	iEnSent
iepril	iEpril
ier	iEr
ieria	iEria
ies	iEs
iet	iEt
ieti	iEti
ietiin	iEtin
iez	iez
iezha	iEZa
ifainali	ifainali
ifek	ifek
igwaana	igwana
ihn	i*
iibm	ibm
iibn	ibn
iihn	i*
iijip	idZip
iikwal	ikwal
iip	ip
iir	ir
iis	is
iistan	istan
iit	it
iit aaf	itaf
iivn	ivn
iivnin	ivnin
ikanami	ikanami
ikanamik	ikanamik
ikanamix	ikanamiks
ilek	ilek
iloschrieshan	ilostSriESan
im	im
impak	impak
impruuv	impruv
impuotant	impuotant
imuoshan	imuoSan
in fak	infak
ina	ina
ina di faam a	inadi fama
ina di wol	inadi wol
inaamos	inamos
inabit	inhabit
indipendans	indipendans
indischroktebl	indistSroktebl
indoschri	indostSri
indoschrial	indostSrial
indoschrializieshan	indostSrializiESan
infamieshan	infamiESan
influens	influens
inggiej	iNgiEdZ
ingglan	iNglan
ingkluudn	iNkludn
ingkorij	iNkoridZ
iniebl	iniEbl
injai	indZai
injinierin	indZiniErin
inkluud	inklud
inkriis	inkris
inruol	inruol
insaiklopiidya	insaiklopidya
inspaya	inspaia
intaikl	intaikl
intanashinal	intanaSinal
intanet	intanet
intatiena	intatiEna
invalv	invalv
inviejan	inviEdZan
ischri	istSri
ishu	iShu
istuorian	istuorian
it	it
itali	itali
ivalv	ivalv
ivenchuali	iventSuali
ivent	ivent
jaagrafi	dZagrafi
jaagrofi	dZagrofi
jaaj	dZadZ
jaaloji	dZalodZi
jain	dZain
jainop	dZainop
jakfruut	dZakfrut
jaloji	dZalodZi
jan	dZan
jangkro	dZaNkro
janiweri	dZaniweri
japan	dZapan
jeli	dZeli
jeliduo	dZeliduo
jiel	dZiEl
jiemz	dZiEmz
jien	dZiEn
jinaral	dZinaral
jinarasiti	dZinarasiti
jinarieshan	dZinariESan
jinja	dZindZa
joj	dZodZ
jomp	dZomp
jomp-up	dZompop
jonjo	dZondZo
jork	dZork
jork chikin	dZork tSikin
jork puok	dZork puok
jork siiznin	dZork siznin
jork spais	dZork spais
jormani	yormani
jornal	dZornal
jostis	dZostis
jraa	dZra
jraadong	dZradoN
jraaf	dZraf
jraafut	dZrafut
jraaz	dZraz
jragan	dZragan
jrai	dZrai
jramatik	dZramatik
jrap	dZrap
jred	dZred
jres	dZres
jresbak	dZresbak
jresdong	dZresdoN
jriepop	dZriEpop
jringk	dZriNk
jrog	dZrog
jrom	dZrom
juk	dZuk
juki-juki	dZukidZuki
julai	dZulai
jumieka	dZumiEka
jumieka lieba paati	yumiEka liEba pati
jumieka taak	dZumiEka tak
junjo	dZundZo
juo	dZuo
juok	dZuok
juu tu	dZutu
juun	dZun
juun plom	dZunplom
juurin	dZurin
juus	dZus
kaa	ka
kaal	kal
kaan	kan
kaanful	kanful
kaanwal kounti	kanwal kounti
kaaz	kaz
kaazn	kazn
kach banit pepa	katS banit pepa
kain	kain
kait	kait
kak	kak
kala	kala
kalalu	kalalu
kalani	kalani
kalanis	kalanis
kalek	kalek
kalekshan	kalekSan
kalij	kalidZ
kaman	kaman
kaman yuusij	kaman yusidZ
kamedi	kamedi
kanchosnis	kantSosnis
kanchrak	kantSrak
kanchuol	kantSuol
kanekshan	kanekSan
kanschrokshan	kanstSrokSan
kansda	kansda
kantent	kantent
kantinyu	kanti5u
kanvasieshan	kanvasiESan
karambuola	karambuola
kasaada	kasada
kasaava	kasava
kasta riika	kastarika
katn	katn
katn chrii	katn tSri
kazmopalitan	kazmopalitan
kech	ketS
kech di riek	ketS di riEk
kechop	ketSop
kelyan	kelyan
kenet	kenet
kianada	kyanada
kiaribiyan	kyaribiyan
kidni biin	kidni bin
kiedens	kiEdens
kieful	kiEful
kiek	kiEk
kien	kien
kies	kiEs
kiet	kiEt
kilomita	kilomita
kimischri	kimistSri
kin	kin
kindom	kindom
kinston	kinston
kisaada	kisada
klaat	klat
klaax tong	klakstoN
klarindan	klarindan
klasikal	klasikal
klie	kliE
klie pat	kliE pat
kliem	kliEm
klier	kliEr
kliermont	kliErmont
klifod	klifod
kliin	klin
kola	kola
kolcha	koltSa
kom	kom
kom iin laka	komin laka
kom ya	kom ya
komiunikieshan	komyunikiESan
kompail	kompail
kompyuuta	kompyuta
kompyuuta manita	kompyuta manita
konchri	kontSri
kongk	koNk
koni	koni
korant	korant
kori guot	kori guot
koril	koril
korl	korl
kos	kos
koskos	koskos
kostad apl	kostad apl
kot	kot
kot patwa	kot patwa
kot yai	kot yai
kotlis	kotlis
kou	kou
kounti	kounti
kowich	kowitS
kozn	kozn
kraani	krani
kraitiirya	kraitirya
krap	krap
krichoul	kritSoul
kriebn	kriEbn
kriep	kriEp
kriet	kriet
krietiv	kriEtiv
krietiv raitn	kriEtiv raitn
kriim	krim
krikit	krikit
kris	kris
kritikal akliem	kritikal akliEm
ku	ku
kudn	kudn
kuk	kuk
kukumba	kukumba
kunu	kunu
kuoknat	kuoknat
kuoknat chrii	kuoknat tSri
kuoknat milk	kuoknat milk
kuoknat waata	kuoknat wata
kuoko	kuoko
kuol	kuol
kuos	kuos
kuot	kuot
kuul	kul
kwaadinet	kwadinet
kwaat	kwat
kwait	kwait
kwaiyat	kwaiyat
kwestiyan	kwestiyan
kwiin	kwin
kwik	kwik
kwik-taim	kwiktaim
kwint	kwint
kyaa	kya
kyaahn	kya*
kyaar	kyar
kyaarat	kyarat
kyabij	kyabidZ
kyahn	kya*
kyaklik	kyaklik
kyamil	kyamil
kyanal	kyanal
kyanggl	kyaNgl
kyangkro	kyaNkro
kyapasiti	kyapasiti
kyapcha	kyaptSa
kyapital	kyapital
kyapitalis	kyapitalis
kyaptin	kyaptin
kyar	kyar
kyarakta	kyarakta
kyari	kyari
kyash	kyaS
kyash krap	kyaS krap
kyashu	kyaSu
kyata	kyata
kyatalis	kyatalis
kyatigari	kyatigari
kyuuba	kyuba
laa	la
laaf	laf
laaj	ladZ
laan	lan
labsta	labsta
lai	lai
laibri	laibri
laif	laif
laifstail	laifstail
laik	laik
lait	lait
laitous	laitous
laiyad	laiyad
laiyan	laiyan
laka	laka
laka se	lakase
lam	lam
lan	lan
landan	landan
lang	laN
langwij	laNwidZ
larans	larans
layad	layad
lebl	lebl
lebm	lebm
leda	leda
lef	lef
lego	lego
lego biis	lego bis
lejislieta	ledZisliEta
lent	lent
leta	leta
lib a farin	libafarin
libn	libn
libn langwij	libn laNwidZ
lichicha	litSitSa
lieba	liEba
liedi	liEdi
liet	liEt
lieta	liEta
lieya	liEya
lifop	lifop
liida	lida
liig	lig
liin	lin
lik	lik
likl	likl
likl muos	likl muos
lili	lili
lingguistik	liNguistik
linggwis	liNgwis
lis	lis
lis a	lisa
lisn	lisn
litosfier	litosfiEr
lizad	lizad
lob	lob
long	loN
lorn	lorn
lou	lou
luk	luk
luo	luo
luokal	luokal
luokalaiz	luokalaiz
luokiet	luokiEt
luokiet ina	luokiEt ina
luokiet nier	luokiEt niEr
luusi	lusi
luwi	luwi
luwiiz	luwiz
maach	matS
maaga	maga
maak	mak
maakit	makit
maakos	makos
maanin	manin
mada	mada
mada-tong	madatoN
madan	madan
madifai	madifai
madifikieshan	madifikiESan
magaziin	magazin
magij	magidZ
magl	magl
maigrieshan	maigriESan
maikal	maikal
main	main
mait	mait
maitbi	maitbi
majariti	madZariti
man	man
manatii	manati
manazebl	manazebl
manchesta	mantSesta
mandivl	mandivl
manggo	maNgo
mangguus	maNgus
manita	manita
mantiga bie	mantiga biE
manyufakcha	ma5ufaktSa
manyufakcharin	ma5ufaktSarin
maruun tong	maruntoN
mas	mas
mas komiunikieshan	mas komyunikiESan
mashet	maSet
mashiin	maSin
mashiin tuul	maSin tul
mashiinri	maSinri
matiirialis	matirialis
matimatix	matimatiks
matyu	matyu
medisn	medisn
meditieshan	meditiESan
meja	medZa
mejament	medZament
mek	mek
mekop	mekop
memba	memba
mexiko	meksiko
mi	mi
midiom	midiom
midya	midya
mie	miE
mie pen	miEpen
miebi	miEbi
mieja	miEdZa
miel	miEl
mien	miEn
mienli	miEnli
mieri	miEri
migl	migl
migl iis	migl is
migl-klaas	migl klas
miglsex kounti	miglseks kounti
miin	min
miinin	minin
miit	mit
miita	mita
miizolek	mizolek
milichri	militSri
miliyan	miliyan
mimuorial	mimuorial
minista	minista
mishaneri	miSaneri
misnuoma	misnuoma
mixcha	mikstSa
mixcho	mikstSo
mobie	mobiE
mongx	moNks
moni	moni
morant bie	morantbiE
mountn	mountn
mout	mout
muo	muo
muo dahn	muoda*
muobail	muobail
muor	muor
muos	muos
muosli	muosli
muotaim	muotaim
muuv	muv
muuv frahn	muvfra*
muuv gaa	muvga
myuuzik	myuzik
myuziom	myuziom
na	na
na fi	nafi
na kech di riek	na ketS di riEk
na onggl	na oNgl
naamali	namali
naaman	naman
naasi	nasi
naasti	nasti
naat	nat
naat afrika	nat afrika
naat amerika	nat amErika
naatiis	natis
naatwes	natwes
nadan	nadan
naijiiria	naidZirya
nain	nain
naint	naint
naintiin	naintin
nais	nais
nait	nait
naiz	naiz
nalij	nalidZ
nanfikshan	nanfikSan
nansi	nansi
naritiv	naritiv
navl	navl
neba	neba
nedalanz	nedalanz
nex	neks
nex ier	neks iEr
niecha	niEtSa
niel	niEl
niem	niEm
niernis	niErnis
nieshan	niESan
nieshan stiet	niESan stiEt
nietib	niEtib
nietib langwij	niEtib laNwidZ
nigril	nigril
niigl	nigl
niyilis	niyilis
no kja	nokya
no kja umoch	nokya umotS
no kwait	no kwait
no kya	no kya
no kya ou	no kiya ou
no riili	no rili
nof	nof
nof piipl	nof pipl
nof tangx	nof taNks
nof-nof	nofnof
noftaim	noftaim
nomba	nomba
non	non
nondiles	nondiles
notn	notn
notn na go so	notn nagoso
novemba	novemba
nuo	nuo
nuot	nuot
nuotobl	nuotobl
nuoz	nuoz
nyaamps	5amps
nyam	5am
nyam aaf	5amaf
nyami-nyami	5ami5ami
nyuu	5u
nyuu yaak	nyuyak
nyuu yaak siti	nyuyak siti
nyuuz	5uz
nyuuzpiepa	5uzpiEpa
ogli	ogli
okor	okor
okro	okro
olo	olo
ombl	ombl
onggl	oNgl
onggl wan	oNgl wan
onjrid	ondZrid
ont	ont
ontalaji	ontaladZi
ontin	ontin
ontruut	ontrut
op	op
op tu	optu
opdiet	opdiEt
opinyan	opi5an
opsaid dong	opsaid doN
orbort	orbort
ort	ort
ortkwiek	ortkwiEk
ou	ou
oun	oun
ous	ous
ousomeba	ousomeba
owad	owad
ozban	ozban
paadn	padn
paal	pal
paaliment	paliment
paarat	parat
paas	pas
paas dong	pasdoN
paas ischri	pas istSri
paasl	pasl
paasn	pasn
paasteriti	pasteriti
paat	paat
paat a	pata
paati	pati
pachrik	patSrik
pahn	pa*
pain	pain
paint	paint
paip	paip
pakistan	pakistan
pakit	pakit
paliis	palis
palisi	palisi
palitikal	palitikal
palitishan	palitiSan
palitix	palitiks
panish	panish
panish tong	paniStoN
papila	papila
papilieshan	papiliESan
papishuo	papiSuo
papyulieshan	papyuliESan
pashan fruut	paSan frut
pat	pat
pati	pati
patwa	patwa
pel	pel
pelin	pelin
pepa	pepa
picha	pitSa
picha buk	pitSa buk
pie	piE
pie fa	piEfa
piej	piEdZ
piepa	piEpa
pier	piEr
pierans	piErans
pieschri	piEstSri
pieshans	piESans
piich patan	pitS patan
piik	pik
piika	pika
piiki-puoki	pikipuoki
piil	pil
piini	pini
piini-waali	piniwali
piipl	pipl
piipl nashinal paati	pipl naSinal pati
piiriad	piriad
piis	pis
piita	pita
piiz	piz
pikni	pikni
pilikin	pilikin
pimenta	pimenta
pio	pio
pit	pit
pitieta	pitiEta
pitni	pitni
plaan	plan
plaant	plant
plaantin	plantin
pleja	pledZa
plie	pliE
plies	pliEs
pliet	pliEt
plit	plit
plom	plom
poblik	poblik
poblikieshan	poblikiESan
poblish	pobliS
poblisha	pobliSa
pofaam	pofam
poliis	polis
poliisman	polisman
politikal paati	politikal pati
pongkin	poNkin
ponish	poniS
ponishment	poniSment
por-kiapita	por kyapita
porl	porl
pormanent	pormanent
posnal	posnal
posnal infamieshan	posnal infamiESan
pospektiv	pospektiv
potenshal	potenSal
potienin	potiEnin
potikila	potikila
potikyula	potikyula
powa	powa
prablem	prablem
praim	praim
praim minista	praim minista
prais	prais
praivisi	praivisi
prajek	pradZek
pramis	pramis
pravins	pravins
pred	pred
preke	preke
priivos	privos
primenta	primenta
prizaab	prizab
prizn	prizn
prodok	prodok
prodokshan	prodokSan
profeshanal chrienin	profeSanal tSriEnin
pronongx	pronoNks
protek	protek
protekshan	protekSan
prumuot	prumuot
pruogram	pruogram
pruoses	pruoses
pudn	pudn
pumuot	pumuot
puo	puo
puohim	puohim
puok	puok
puos	puos
puosha	puoSa
puosi	puosi
puot	puot
puot antuoni	puot antuoni
puot maraya	puotmaraya
puotlan	puotlan
puotmuor	puotmuor
pupaa	pupa
pus	pus
pwail	pwail
pyaa-pyaa	pyapya
pyuuriti	pyuriti
raa	ra
raatid	ratid
raip	raip
rais	rais
rais ahn piiz	rais a* piz
rait	rait
raita	raita
raitn	raitn
raki paint	rakipaint
raktuon	raktuon
rang	raN
rang-said	raNsaid
raya byuuno	rayabyuno
reda	reda
redi	redi
refa	refa
refa tu	refatu
refa tu az	refatuaz
refarans	refarans
refarans buk	refarans buk
refrans	refrans
rekaad	rekad
rekanaiz	rekanaiz
rekanaiz se	rekanaizse
rekanishan	rekaniSan
respirieshan	respiriESan
revaluushan	revaluSan
revarii	revari
revinyuu	revi5u
riba	riba
ribelyan	ribelyan
ridim	ridim
ried	riEd
riedio	riEdio
riek	riEk
rielwie	riElwiE
rielwie stieshan	riElwiE stiESan
rien	riEn
rienj	riEndZ
ries	riEs
riesin	riEsin
riesizim	riEsizim
rieza	riEza
riezn	riEzn
rifaam	rifam
rifain	rifain
rigl	rigl
riid	rid
riida	rida
riijan	ridZan
riijanal	ridZanal
riili	rili
riisant	risant
riizn	rizn
rijais	riyais
rilaxieshan	rilaksiESan
rilieshanship	riliESanSip
rilietid	riliEtid
riliis	rilis
rilijan	rilidZan
rimien	rimiEn
ripoblik	ripoblik
ripoblik a airilan	ripoblik a airilan
ripoblik a chaina	ripoblik a tSaina
riprizent	riprizent
ris	ris
rispek	rispek
ritorn	ritorn
rivazdiel	rivazdiEl
rivuolt	rivuolt
rizaat	rizat
rizolt	rizolt
romantik	romantik
ron	ron
ronawe bie	ronawebiE
rosha	roSa
ruod	ruod
ruoman kyaklik	ruoman kyaklik
ruoman kyaklik choch	ruoman kyaklik tSotS
ruos	ruos
ruudnis	rudnis
ruul	rul
ruut	rut
saab	sab
saabis	sabis
saach	satS
saadi ariebia	sadi ariEbya
saaf	saf
saalfish	salfiS
saaya saas	saya sas
sai	sai
saiman	saiman
sait	sait
saiyans	saiyans
sakrifais	sakrifais
salaman	salaman
samyuel	samyuel
san	san
sang	saN
sanja	sandZa
santa kruuz	santakruz
santapii	santapi
sar	sar
saril	saril
sasayati	sasayati
sataya	sataya
savlamaar	savlamar
sayans	sayans
sayantis	sayantis
schraip	stSraip
schuu	stSu
se	se
sebm	sebm
sebmt	sebmt
sebmtiin	sebmtin
sebn	sebn
sebnt	sebnt
sebntiin	sebntin
sebral	sebral
sef	sef
sekan	sekan
sekl	sekl
