abdisere	obdiser3
avhengigst	ovhENikst
avhengigste	ovhENikst3
avholdt	ovholt
avhøre	ovher3
avis	ovis
aviskiosk	ovisSiosk
avkjøle	ovSel3
avkledd	ovklEd
avkrefte	ovkrEft3
avlang	ovloN
avle	ovl3
avlede	ovled3
avlegge	ovlEi3
avleire	ovlEir3
avlevere	ovl3ver3
avlive	ovliv3
avlyse	ovlis3
avløse	ovles3
avmålt	ovmolt
avreise	ovrEis3
avrunde	ovr3n3
avse	ovse
avsender	ovsEn3r
avsi	ovsi
avsides	ovsid3s
avsidesliggende	ovsid3slig3n3
avsindig	ovsini
avsindige	ovsini3
avsindigere	ovsinir3
avsindigst	ovsinikst
avsindigste	ovsinikst3
avskaffe	ovskof3
avskjedige	ovSedig3
avskjære	ovSEr3
avskrekke	ovskrEk3
avskrekkende	ovskrEk3n3
avskrive	ovskriv3
avsky	ovSi
avskyelig	ovSi3li
avskyelige	ovSi3li3
avskyeligere	ovSi3lir3
avskyeligst	ovSi3likst
avskyeligste	ovSi3likst3
avslappa	ovSLop3t
avslappet	ovSLop3t
avslutte	ovSL3t3
avslå	ovSLo
avsløre	ovSLer3
avstand	ovston
avstå	ovsto
avtale	ovtol3
avverge	ovErg3
avvikle	ovikl3
avvise	ovis3
avvisende	ovis3n3
avvæpne	ovepn3
ba	bo
baby	bEibi
bacon	bEik3n
bad	bod bo
bade	bod3
badehette	bod3hEt3
badekåpe	bod3kop3
badering	bod3riN
badevakt	bod3vokt
badminton	bEdmint3n
badstue	bost3
bagasje	bogoS3
bagasjeluke	bogoS3l3k3
bagasjerom	bogoS3rum
bagatellisere	bogot3liser3
bak	bok
bake	bok3
baker	bok3r
bakeri	bok3ri
bakk	bok
bakke	bok3
bakken	bokn
baklengs	boklENs
baklys	boklis
bakse	boks3
baksnakke	boksnok3
bakt	bokt
bakte	bokt3
bakteriell	bokt3riEl
bakvaske	bokvosk3
bakvendt	bokv3nt
bakverk	bokvErk
balansere	boloNser3
balansert	boloNset
bale	bol3
balkong	bolkoN
ball	bol
balle	bol3
ballett	bolEt
ballkjole	bolSul3
ballsal	bolsol
ballspill	bolspil
balltrening	boltreniN
balsamere	bolsomer3
banal	bonol
banan	bonon
band	bEn
bandasjere	bonoSer3
bande	bon3
bane	bon3
banebrytende	bon3brit3n3
bank	boNk
banke	boNk3
banne	bon3
banner	bon3r
bannlyse	bonlis3
bar	bor
barbarisk	borborisk
barbent	borbent
barberblad	borberblo
barbere	borber3
barbervann	borbervon
bardus	bod3s
bare	bor3
baren	bon
barer	bor3r
barn	bon
barna	bono
barnebarn	bon3bon
barnebasseng	bon3bosEN
barnebillett	bon3bilEt
barnehage	bon3hog3
barneheis	bon3hEis
barnelege	bon3leg3
barnemat	bon3mot
barnemoderasjon	bon3mud3roSun
barnepass	bon3pos
barneporsjon	bon3puSun
barneseng	bon3sEN
barnesete	bon3set3
barnesjukdom	bon3S3kdum
barnevakt	bon3vokt
barokk	borok
baron	borun
baroni	boruni
barrikadere	borikoder3
barsk	boSk
bart	bot
barten	botn
baryton	boriton
base	bos3
basehopping	bos3hopiN
basere	boser3
basilikum	bosilik3m
basun	boS3n
batalje	botoly3
batteri	bot3ri
be	be
be noen om noe	benu3numnu3
bearbeide	beorbEid3
bebo	bEbu
bebreide	bEbrEid3
bedagelig	b3dog3li
bedagelige	b3dog3li3
bedageligere	b3dog3lir3
bedageligst	b3dog3likst
bedageligste	b3dog3likst3
bederva	b3dErv3t
bedervet	b3dErv3t
bedra	b3dro
bedrag	b3drog
bedrageri	bEdrog3ri
bedre	bedr3
bedrive	b3driv3
bedrøvelig	b3drev3li
bedrøvelige	b3drev3li3
bedrøveligere	b3drev3lir3
bedrøveligst	b3drev3likst
bedrøveligste	b3drev3likst3
bedugga	b3d3g3t
bedugget	b3d3g3t
bedårende	b3dor3n3
bedømme	b3dEm3
bedøve	b3dev3
befale	b3fole
befaring	b3foriN
befinne	b3fin3
befinne seg	bEfin3sEi
befolke	b3folk3
befordre	b3fodr3
befri	b3fri
befrielse	b3friy3ls3
befrier	b3friy3r
befrukte	b3fr3kt3
begava	b3gov3t
begegnen	b3gegn3n
begeistret	bEgEistr3t
begeistret for	bEgEistr3tfor
begge	bEi3
begi	b3yi
begjære	b3yEr3
begjærlig	b3yELi
begjærlige	b3yELi3
begjærligere	b3yELir3
begjærligst	b3yELikst
begjærligste	b3yELikst3
begrave	b3grov3
begrensa	b3grEns3t
begrense	b3grEns3
begrenset	b3grEns3t
begrep	b3grep
begripe	b3grip3
begripelig	b3grip3li
begripelige	b3grip3li3
begripeligere	b3grip3lir3
begripeligst	b3grip3likst
begripeligste	b3grip3likst3
begrunne	b3gr3n3
begynne	bEyin3
begynnelse	bEyinEls3
begå	bEgo
behage	b3hog3
behagelig	b3hog3li
behagelige	b3hog3li3
behageligere	b3hog3lir3
behageligst	b3hog3likst
behageligste	b3hog3likst3
behandle	b3honl3
beherska	b3hESko
beherske	b3hESk3
behersket	b3hESk3t
beholde	b3hol3
beholder	bEhol3r
behørig	b3heri
behørige	b3heri3
behørigere	b3herir3
behørigst	b3herikst
behørigste	b3herikst3
behøve	b3hev3
beige	beS beZ3
bein	bEin
beinhard	bEinhor
beisk	bEisk
beist	bEist
beite	bEit3
bekjempe	b3SEmp3
bekjenne	b3SEn3
bekjent	b3SEnt
bekjente	bESEnt3
bekjentskap	bESEntskop
bekken	bEkn
bekkener	bEkn3r
bekkenet	bEkn3
beklage	b3klog3
beklage seg over	bEklog3sEiov3r
beklagelig	b3klog3li
beklagelige	b3klog3li3
beklageligere	b3klog3lir3
beklageligst	b3klog3likst
beklageligste	b3klog3likst3
beklager	b3klog3r
bekle	b3kle
beklemt	b3klEmt
bekmørk	bekmErk
bekrefte	b3krEft3
bekvem	b3kvEm
bekymre	b3Simr3
bekymre seg om	bESimr3sEium
beleilig	b3lEili
beleilige	b3lEili3
beleiligere	b3lEilir3
beleiligst	b3lEilikst
beleiligste	b3lEilikst3
beleire	b3lEir3
belest	b3lest
belgier	bElgi3r
belgisk	bElgisk
belje	bEly3
belme	bELm3
belte	bElt3
beltet	bElt3
belyse	b3lis3
belære	b3lEr3
belønne	b3lEn3
belønning	bElEniN
beløp	bElep
bemerke	b3mErk3
bemerkelsesverdig	b3mErk3ls3svEdi
bemerkelsesverdige	b3mErk3ls3svEdi3
bemerkelsesverdigere	b3mErk3ls3svEdir3
bemerkelsesverdigst	b3mErk3ls3svEdikst
bemerkelsesverdigste	b3mErk3ls3svEdikst3
bemyndige	b3minig3
ben	ben
bende	bEn3
benekte	b3nEkt3
benk	bENk
bensinkanne	bEnsinkon3
bensinpumpe	bEnsinpump3
benytte	b3nit3
benåde	b3nod3
benådning	b3nodniN
beordre	b3odr3
ber	ber
beredt	b3rEt
beregne	b3rEin3
beregning	b3rEiniN
berette	b3rEt3
berge	bErg3
bergningstjeneste	bErgiNstyEn3st3
bergta	bErkto
bero	b3ru
berolige	bEruli3
beroligende middel	bEruligEn3 mid3l
berusa	b3r3s3t
beruset	b3r3s3t
berykta	b3rikt3t
beryktet	b3rikt3t
berømme	b3rEm3
berømt	b3rEmt
berøre	b3rer3
besatt	b3sot
beseire	b3sEir3
besette	b3sEt3
besikte	b3sikt3
besiktigelse	b3siktigEls3
besinne	b3sin3
besitte	b3sit3
beskatte	b3skot3
beskjed	b3Se
beskjeden	b3Sed3n
beskjeftige	b3SEftig3
beskjære	b3SEr3
beskrive	b3skriv3
beskytte	b3Sit3
beskyttelsesfaktor	bESitEls3sfoktur
beslaglegge	b3SLogl3g3
beslekta	b3SLEkt3t
beslektet	b3SLEkt3t
beslutte	b3SL3t3
besluttsom	b3SL3tsom
best	best
bestandig	b3stoni
bestandige	b3stoni3
bestandigere	b3stonir3
bestandigst	b3stonikst
bestandigste	b3stonikst3
beste	bEst3
bestefar	bEst3for
bestemme	b3stEm3
bestemor	bEst3mur
bestemt	b3stEmt
bestialsk	b3stiolsk
bestige	b3stig3
bestikk	bestik
bestikke	b3stik3
bestille	b3stil3
bestilling	bEstiliN
bestimmt	b3Stimt
bestride	b3strid3
bestå	b3sto
bestå av	bEstoov
bestøve	b3stev3
besvare	b3svor3
besvime	b3svim3
besvimelse	bEsvimEls3
besværlig	b3svELi
besværlige	b3svELi3
besværligere	b3svELir3
besværligst	b3svELikst
besværligste	b3svELikst3
besynderlig	b3sin3Li
besynderlige	b3sin3Li3
besynderligere	b3sin3Lir3
besynderligst	b3sin3Likst
besynderligste	b3sin3Likst3
besøk	b3sek
besøke	b3sek3
besøke noen	b3sek3nu3n
besørge	b3sErg3
betale	b3tol3
betale kontant	bEtol3 kuntont
betale ut	bEtol3
betaling	bEtoliN
betatt	b3tot
betegne	b3tEin3
betenkelig	b3tENk3li
betenkelige	b3tENk3li3
betenkeligere	b3tENk3lir3
betenkeligst	b3tENk3likst
betenkeligste	b3tENk3likst3
betennelse	bEtEnEls3
betent	b3tEnt
betjene	b3tyen3
betjening	bEtyeniN
betlehem	betlEm
betone	b3tun3
betong	bEtoN
betrakte	b3trokt3
betraktelig	b3trokt3li
betraktelige	b3trokt3li3
betrakteligere	b3trokt3lir3
betrakteligst	b3trokt3likst
betrakteligste	b3trokt3likst3
betro	b3tru
betryggende	b3trig3n3
betvile	b3tvil3
bety	b3ti
betydelig	b3tid3li
betydelige	b3tid3li3
betydeligere	b3tid3lir3
betydeligst	b3tid3likst
betydeligste	b3tid3likst3
betydning	bEtidniN
betydningsfull	b3tidniNsf3l
beundre	b33ndr3
bevare	b3vor3
beve	bev3
bevege	b3veg3
bevegelig	b3veg3li
bevegelige	b3veg3li3
bevegeligere	b3veg3lir3
bevegeligst	b3veg3likst
bevegeligste	b3veg3likst3
bevegelse	b3veg3ls3
bevegelseshemmet	bEvegEls3shEm3t
bever	bEv3r
bevilge	b3vilg3
bevise	b3vis3
bevisst	b3vist
bevisstløs	b3vistles
bevitne	b3vitn3
bevokte	b3vokt3
bibel	bib3l
bibelen	bib3ln bibEn
bibler	bibl3r
bidra	bidro
bie	bi3
bifall	bifol
bifalle	bifol3
biff	bif
bifil	bifil
bihulebetennelse	bih3l3bEtEnEls3
bikini	bikini
bikkje	biS3
bil	bil
bilbelte	bilbElt3
bilde	bild3
bilene	biln3
biljekk	bilyEk
billede	bil3d3
billedhogger	bilEdhog3r
billedhugger	bil3dh3g3r
billedlig	bil3dli
billedlige	bil3dli3
billedligere	bil3dlir3
billedligst	bil3dlikst
billedligste	bil3dlikst3
billett	bilEt
billettluke	bilEtl3k3
billettmaskin	bilEtmoSin
billettpris	bilEtpris
billig	bili
billige	bili3
billigere	bilir3
billigst	bilikst
billigste	bilikst3
bilradio	bilrodiu
bilsete for baby	bilset3forbEibi
biltog	biltog
binde	bin3
biologisk	biulogisk
bis	bis
bisarr	bisor
bisette	bisEt3
bisk	bisk
bister	bist3r
bistå	bisto
bit	bit
bite	bit3
biter	bit3r
bitre	bitr3
bitrere	bitr3r3
bitrest	bitr3st
bitter	bit3r
bittert	bit3t
bivåne	bivon3
bjeffe	byEf3
bjørk	byErk
bla	blo
blad	blod blo
blafre	blofr3
blakk	blok
blande	blon3
blandet	blon3t
blank	bloNk
blankett	bloNkEt
blant	blont
blasfemisk	blosfemisk
blass	blos
bleie	blEi3r
blek	blek
bleke	blek3
blemme	blEm3
blende	blEn3
bli	bli
bli enige om	blieni3um
blid	bli
blikk	blik
blikkstille	blikstil3
blind	blin
blinde	blin3
blindehund	blin3h3n
blindeskrift	blin3skrift
blindestokk	blin3stok
blinke	bliNk3
blinklys	bliNklis
blod	blu
blodig	bludi
blodige	bludi3
blodigere	bludir3
blodigst	bludikst
blodigste	bludikst3
blodtype	blutip3
blodåre	bluor3
blogg	blog
blokk	blok
blokkere	bloker3
blomkål	blumkol
blomst	blomst
blomster	blomst3r
blomsterbutikk	blumst3rb3tik
blomstre	blomstr3
blomstrende	blomstr3n3
blond	blon
blote	blut3
blott	blot
blotte	blot3
blues	bl3s
blunde	bl3n3
blunke	bluNk3
bluse	bl3s3
blusse	bl3s3
blyg	blig
blygsel	bliks3l
blå	blo
blåbær	blobEr
blåfrossen	blofros3n
blåne	blon3
blåse	blos3
blåser	blos3r
blåveis	blovEis
blåøyd	bloEyd
blære	blEr3
blærete	blEr3t3
blø	ble
blødning	bledniN
bløffe	blEf3
bløt	blet
bløtgjøre	bletyer3
bløtlegge	bletlEi3
bo	bu
bobil	bubil
boble	bobl3
body	bodi
boikotte	boykot3
bok	buk
bokhandel	bukhon3l
boks	boks
bokser	boksEr
boksing	boksiN
bokstav	bukstov
bokstavelig	bukstov3li
bokstavelige	bukstov3li3
bokstaveligere	bukstov3lir3
bokstaveligst	bukstov3likst
bokstaveligste	bukstov3likst3
boksåpner	boksopn3r
bolig	buli
bolige	buli3
boligere	bulir3
boligst	bulikst
boligste	bulikst3
bolte	bolt3
bombardere	bumboder3
bombe	bumb3
bomme	bum3
bompenger	bumpEng3r
bondegård	bun3gor
bone	bun3
bord	bod bur
bordtennis	butEnis
bore	bor3
borg	borg
borgerlig	borg3li
borgerlige	borg3li3
borgerligere	borg3lir3
borgerligst	borg3likst
borgerligste	borg3likst3
bort	but
borte	but3
bortføre	butfer3
bortimot	butimut
bortimot klokka tolv	butimut kloko tol
bortkasta	butkosto
bortkastet	butkosto
bortreist	butrEist
bortskjemt	butS3mt
bosette	busEt3
bosse	bEs3
bosted	busted
bot	but
botanisk	butonisk
bote	bet3
botsøvelse	butsev3ls3
bowling	bouliN
bra	bro
bragd	brogd
brake	brok3
brakke	brok3
brann	bron
brannfarlig	bronfoLi
brannmann	bronmon
brannsalve	bronsolv3
brannslokker	bronSLok3r
brannvesen	bronves3n
brasiliansk	brosilionsk
bratt	brot
braute	brE3t3
bre	bre
bred	bre
bredd	brEd
bredde	brEd3
breddeformat	brEd3fumot
bredt	brEt
breer	bre3r
brei	brEi
breke	brek3
brekke	brEk3
brems	brEms
bremse	brEms3
brenne	brEn3
brer	brer
brette	brEt3
brev	brev
bringe	briN3
bringe tilbake	briN3tilbok3
bringen	briN3n
bris	bris
briste	brist3
britisk	britisk
bro	bru
brodere	bruder3
broderi	brodEri
broen	bruun bruwn
broer	bruw3r bruur
broket	bruk3t
bronkitt	bruNkit
bronse	broNs3
bror	brur
brors	bruS
brosjyre	bruSir3
brosme	brosm3
bru	br3
brudd	br3d
brukbar	br3kbor
bruke	br3k3
brukket	bruk3t
brukthandel	br3kthon3l
brumme	brum3
brun	br3n
brune	br3n3
brus	br3s
bruse	br3s3
brutal	br3tol
bry	bri
brygge	brig3
bryllup	bril3p
brysk	brisk
brysom	brisom
bryst	brist
brystvorte	bristvut3
bryte opp	brit3op
brå	bro
bråk	brok
bråke	brok3
bråkete	brok3t3
bråkjekk	broSEk
brød	bre
brødrister	brerist3r
brøle	brel3
brønn	brEn
brøyte	brEyt3
bu	b3
bud	b3d
buddhistisk	b3distisk
budsjett	b3dSEt
budsjettere	b3dS3ter3
bue	b33
bugne	buNn3
bukett	b3kEt
bukke	buk3
bukse	buks3
bukt	b3kt
bukte	bukt3
buldre	b3ldr3
bule	b3l3
bulgarsk	b3lgoSk
bulke	b3lk3
bunad	b3nod
bunke	buNk3
bunn	b3n
bunt	bont
bunte	b3nt3
burde	b3d3
buss	b3s
bustete	b3st3t3
butt	b3t
by	bi
bybuss	bib3s
bydel	bidel
byer	biy3r
bygd	bigd
byge	big3 bi3
bygg	big
bygge	big3
byggeplass	big3plos
byggverk	bigvErk
bygning	bigniN
bykart	bikot
bykse	biks3
byll	bil
bymur	bim3r
bypass	boipos
byr	bir
byrundtur	r3nt3r
byråkratisk	birokrotisk
bysentrum	bisEntr3m
bytte	bit3
både	bod3
båe	bo3
bål	bol
båre	bor3
båt	bot
båtene	botn3
bærbar	bErbor
bærbar cd-spiller	bErboTedespil3r
bære	bEr3
bøker	bek3r
bølge	bElg3
bøllete	bEl3t3
bønder	bEn3r
bønn	bEn
bønne	bEn3
bønnene	bEn3n3
bønnfalle	bEnfol3
børse	bES3
børste	bESt3
bøte	bet3
bøtelegge	bet3lEi3
bøter	bet3r
bøye	bEy3
ca.	sirko
campe	kEmp3
camping	kEmpiN
canada	konodo
canadisk	konodisk
catering	kEitEriN
cd	Tede
cd-spiller	Tedespil3r
cent	sEnt
centimeter	sEntimet3r
champagne	Sompony3
choke	Sok
cirka	sirko
crawle	krol3
cruise	kr3s
curling	TELiN
cyanid	siyonid
da	do
dabbe	dob3
dag	dog
dagdrøm	dogdrEm
dagdrømme	dogdrEm3
dagens rett	dog3nsrEt
daggry	dogri
daglig	dogli
dagligdags	doglidoks
daglige	dogli3
dagligere	doglir3
dagligst	doglikst
dagligste	doglikst3
dagligvareforretning	doglivor3forEtniN
dagligvarehandel	doglivor3hon3l
dagskort	dokskot
dagslys	dokslis
dagsorden	doksod3n
dagstur	dokst3r
dal	dol
dale	dol3
dalen	don
dam	dom
dame	dom3
dampe	domp3
dandere	donder3
danne	don3
dannet	don3t
dans	dons
danse	dons3
danseorkester	dons3orkEst3r
danser	dons3r
danserinne	dons3rin3
danseteater	donsEteot3r
dansk	donsk
danske	donsk3
datere	doter3
dato	dotu
datter	dot3r
david	dovid
de	di
de beste	dibEst3
debattere	d3boter3
debutere	d3b3ter3
dedisere	d3diser3
defekt	dEfEkt
defensiv	dEfoNsiv
defilere	d3filer3
definere	d3finer3
definitiv	dEfinitiv
deg	dEi
degenerere	deg3n3rer3
degradere	degroder3
deilig	dEili
deilige	dEili3
deiligere	dEilir3
deiligst	dEilikst
deiligste	dEilikst3
deise	dEis3
dekadent	d3kodEnt
dekk	dEk
dekke	dEk3
deklamere	d3klomer3
deklarere	d3klorer3
dekorere	d3kurer3
dekret	d3kret dEkret
dekretere	dEkr3ter3
del	del
delaktig	delokti
delaktige	delokti3
delaktigere	deloktir3
delaktigst	deloktikst
delaktigste	deloktikst3
dele	del3
delegere	d3l3ger3
delikat	d3likot
delikatesseforretning	dElikotEs3forEtniN
delirisk	d3lirisk
delkasko	delkosku
delta	dElto
delvis	delvis
dem	dEm
dement	d3mEnt
dementere	d3moNter3
demokratisk	d3mukrotisk
demonstrativ	domonstrotiv
demonstrere	d3munstrer3
demontere	demunter3
dempe	dEmp3
dempet	dEmp3t
demre	dEmr3
den	dEn
den bekjente	dEnbESEnt3
den beste	dEnbEst3
den gangen	dEngoN3n
den skadede	dEnskod3d3
denge	dEN3
denn	dEn
denne	dEn3
deodorant	dEuduront
deponere	d3puner3
deportere	d3puter3
deprimert	d3primet
der	dEr
dere	der3
deres	der3s
deretter	dErEt3r
derfor	dErfor
dersom	dESom
desember	d3sEmb3r
desertere	d3sEter3
desidert	d3sidet
designe	disEin3
desimal	d3simol
desinfisere	dEsinfiser3
desorientert	dEsori3ntet
desperat	d3sp3rot
despot	dEsput
despotisme	dEsputism3
dessert	dEsEr
dessuten	dEs3t3n
dessverre	dEsvEr3
destruere	d3str3er3
destruktiv	dEstr3ktiv
det	dE
det beste	dEbEst3
det er	dEEr
det finnes	dEfin3s
det fins	dEfins
det samme	dEsom3
detaljert	d3tolyet
detektiv	dEt3ktiv
dette	dEt3
diabetiker	diobetik3r
diagnose	diognus3
diagonal	diogunol
dialyse	diyolis3
diare	diore
die	di3
diett	diEt
differensiere	dif3roNsiyer3
diffus	dif3s
difteri	dift3ri
diftong	diftoN
diftongere	diftoNger3
diger	dig3r
digital	digitol
dike	dik3
dikt	dikt
dikte	dikt3
diktere	dikter3
dikterisk	dikt3risk
dilte	dilt3
dim	dim
dimme	dim3
din	din
dine	dine
dingle	diNl3
dings	diNs
diplomatisk	diplumotisk
direkt	dirEkt
direkte	dirEkt3
direkte fly	dirEkt3fli
direktiv	dir3ktiv
dirigent	dirigEnt
dirigere	diriger3
dirke	dirk3
dirre	dir3
disig	disi
disige	disi3
disigere	disir3
disigst	disikst
disigste	disikst3
disiplinere	disipliner3
disiplinær	disiplinEr
diske	disk3
diskotek	diskutek
diskre	diskre
diskriminere	diskriminer3
diskré	diskre
diskutabel	disk3tob3l
diskutere	disk3ter3
diskvalifisere	diskvolifiser3
dispensere	dispoNser3
disponere	dispuner3
disponibel	dispunib3l
disputere	disp3ter3
disse	dis3
dissekere	dis3ker3
distansere	distonser3
distingvert	distiNvet
distrahere	distroher3
distre	distre
distribuere	distrib3er3
distré	distre
ditt	dit
diverse	divES3
dividere	divider3
djerv	dyErv
djevel	dyev3l
djevelsk	dyev3lsk
dobbel	dob3l
doble	dobl3
dog	dog
dogme	dogm3
doktrinær	dotrinEr
dokumentere	duk3m3nter3
dom	dum dom
dominant	duminont
dominere	duminer3
domkirke	dumSirk3
dommer	dom3r
donere	duner3
dope	dup3
doppelt	doplt
dorme	dorm3
dorsk	doSk
dort	dot
dosere	duser3
dossere	doser3
dov	dev
doven	dov3n
dra	dro
drakt	drokt
drama	dromo
dramatikk	dromotik
dramatisk	dromotisk
drap	drop
drasse	dros3
drastisk	drostisk
dreie	drEi3
drektig	drEkti
drektige	drEkti3
drektigere	drEktir3
