eta	e t a
dagoen	d a  e n
ari	a r i
nagusia	n a g u s i a
dituen	d i t u 7 3 n
erabili	e r a b i l i
gaur	g a u r
Bigarren	i N a r
aldiz	a l d i z
joan	j o a n
arren	a r
dio	d i o
bai	b a i
horren	h o r
Gaur	a u r
ohi	h i
aurrera	a u r e r a
agertzen	a g e r c e n
utzi	u c
talde	t a l d e
haren	h a r e
horrek	h o r k
sortzen	s o r c e n
zeuden	z e u d e n
familiak	f a m i l i a k
bada	b a d a
hala	h a l
inguruan	i N u r u a n
urtean	u r t e a n
ahal	a h a l
Baina	a i n a
bigarren	b i g a r
bera	b E r a
dena	d e n a
ezin	n k a
bihurtu	b i s t u
Bi	i
zioten	z i o t e n
zein	z e i n
nahiz	n o
batzuetan	b a c 3 t a n
lau	l a u
berri	b E r i
jaso	y a s o
Gainera	a i n e r a
idatzi	i d a c
mota	m o t a
eragin	e r a g i n
bitartean	b i t a r
izeneko	i z e n e k o
izateko	i r a t e k o
buruzko	b u r u z k o
sartu	s i t u
lehenengo	l e h i n i N g o
egindako	g i d a k o
jarri	y a r m i
Beste	e s t e
beraz	b E r i
nola	n o l a
emakumeak	e m a k u m e a k
osatzen	o s a c e n
bakarra	b a k a r a
duena	d u e n a
haien	h a i e n
aukera	a u k e r a
ezagutzen	d a g u c e n
modu	m o d u
sistema	s i s t e m a
esker	e s k a r
San	a n
ugari	t u g a r i
bikoteak	b i k o t e a k
aurkitu	a u r k i t u
batetik	b a t e t i k
Familiak	a m i l i a k
dauden	d a u d e n
egoera	e g o E r a
bakarrekoak	b a k a r Nw~ 3 a k
ordea	u r b a
gutxi	g u 5 i
zuela	z u e l a
inguruko	i N u r u k o
gizonak	g i z o n a k
moduan	m o d u a n
non	n o n
hain	h a i n
gainean	g a i n e
duela	d u e l a
izatea	i r a t e a
batekin	b a t e k i N
aurretik	a u r e t i k
Hezkuntzako	d k u n c a k o
irabazi	i r a b a z i
hartan	h a r t a n
argitaratu	a r g i t a r a t u
garai	g a r a i
askotan	a s k o t a n
eraiki	e r a i k i
aurka	a u r
direla	d i r e l a
lana	l a n a
Azken	z k e n
gai	g a i
esaten	e s a t e n
zati	z a t i
gertatzen	g e r t a c e n
kilometro	k i l 3
iritsi	i r i s i
ia	i a
maximoa	m a x i m o a
Estatu	s t a t u
berak	b E r a
zaio	z a i o
oraindik	o r a i d i k
denbora	d e n b o r a
hitz	h i c
Bertan	e r t a n
beti	b e t i
erabaki	e r a b a k i
adierazten	a d i e r a z t e n
euren	u
zitzaion	z i c a i o n
distantziara	d i s t a n t a a r a
hizkuntza	h i z k u n c a
adibidez	a d i b i d e z
beren	b E r E n
Izan	z a n
mendean	m e n d e
Lehen	e h e n
urteetan	u r t i 3 t a n
handiak	h a n d i a k
handi	h a n d i
gainera	g a i n e r a
uste	u s t e
herri	h e r i
zuzen	z u z e n
berriak	b E r i a k
Espainiako	s p a i a k o
zenean	z e n e
ikusi	i w o i
handiagoa	h a n d i a g o a
Hau	a u
maila	m a i l a
aurrean	a u r
buruz	b u r u
jarraitu	y a r m a i t u
inguru	i N u r u
zirela	z i r e l a
Urte	r t e
udalerrian	u d a l e r i a n
The	e
behin	b e h i n
Hori	o r i
atera	a t e r a
itzuli	i c
hauen	h a u e n
soilik	s o i l i k
aldatu	a l d a t u
barruan	b a r u a n
jakin	k i n
bizitza	b i s i c a
zena	z e n a
osoan	o s o a n
agertu	a g e r t u
besteak	b e s t e a k
musika	s i k a
denean	d e n e
Ondoren	d o r e n
dugu	d u g u 7
dauka	d a u k a
egitea	g i t e a
lanak	l a n a k
gehienak	g e h i e n a k
egitura	g i t u r a
izendatu	i z e n d a t u
izen	i z a n
euskal	u s k a l
ezaguna	d a g u n a
aurkako	a u r m a k o k
Horrela	u r e l a
horrela	h o r e l a
milioi	m i l i o i
batzuek	b a c k i k "
ikastetxe	i k a s t a C e
era	e r a
Bestalde	e s t a l d e
hasieran	h a s i e r i
ikusten	i k u s t e i n
ezaugarri	d a u N a r i
zuena	z u e n a
ezarri	d a r i
aurreko	a u r e k o
handiena	h a n d i e n a
bati	b a t i
guztiz	g u z t i z
beharko	b e h a r X u
bost	s
nagusiak	n a g u s i a k
geratu	g e r a t u
balio	b a l i o
batzuen	b a c e n
nagusi	n a g u s i
egungo	e g u n g o
egingo	g i Ng~ o
orduan	u r d u a n
ikus	i k u s
erakusten	e r a k u s t e i n
burua	b u r u a
La	a
edota	e d o t a
kide	k i d e
gertatu	g e r t a t u
aritu	a r i t u
txiki	T i k i
Garai	a r a i
eraman	e r a m a n
eremu	e r e m u
Beraz	e r a z
izanik	i r o n i k
berriro	b E r o
galdu	g a l d u
ostean	o s t e a n
edozein	e d o z e i n
mundu	m u n d u
berria	b E r i a
taldea	t a l d e a
bitartez	b i t a r t e z
urteko	u r t e k o
bereziki	b e r e z i k i
eragiten	e r a g i t e n
jasotzen	y a s o c e n
geroago	g e r o a g o
hiri	h i r i
Hasiera	a s i e r a
jo	h o
baizik	b a i
lortzen	l o r c e n
familia	f a m i l i a
osoa	o s o a
metro	m e t r o
lortzeko	l o r c e k o
jaio	y a i o
har	h a r
aldaketa	a l d a k e t a
bakoitzak	b a k o i c a k
emakume	e m a k u
Eta	t a
Europako	u r o p a k o
dagokionez	d a  i o n e z
handiko	h a n d i k o
deitzen	d e i c e n
barne	b a r n
kasu	k a s u
lanean	l a n e
zien	z i e n
onartu	o i t u
kontuan	k o nt~ u a n
energia	e n e r g i a
jartzen	h a r c e n
munduko	m u n d u k o
garrantzitsua	g a r a n t a c u a
aldi	a l d i
ondo	o n d o
bertako	b E d a t a k o
aurre	a u r
herrialde	h e r a l d e
hurrengo	h u r
forma	f o r m a
jotzen	j o c e n
Herriko	e r k o
argi	a r g i
barnean	b a r S
taldeak	t a l d e a k
ekarri	e k a r i
Hurrengo	u r
bateko	b a t e k o
hura	h u r a
erabat	e r a b a t
aita	a y t a
sartzen	s a r c e n
aldeko	a l d e k o
garaian	g a r a i a n
jarraitzen	y a r m a i c e n
gehien	g e h i e n
amaitu	a m a i t u
mendearen	m e n d e a r e
hezkuntza	h e z k u n c a
ikaslekin	i k a l e k i N
eragina	e r a g i n a
gerra	g e r a
arrakasta	a r k a s t a
ikasi	i k a s i
azaltzen	t r o l c e n
luze	% l u z i
helburu	h e l b u r u
diote	d i o t e
nahiko	n a i k o
Horregatik	u r e g a t i k
bide	b i d e
bilakatu	b i l a k a t u
zabaldu	z a b a l d u
eskaintzen	p i p 3 l 3 m i nt~ z a n
denez	d e n e z
behera	b e h e r a
Honek	o i k
ur	u r
Hainbat	a i n a m b b a t
leku	l E k E 7
baitzen	b a i c e n
zituela	z i t u 7 e l a
biltzen	b i l c e n
koadro	k o a d r o
helburua	h e l a
mailako	m a i l a k o
erabilera	e r a b i l e r a
metroko	m e t r o k o
ikasle	i k a l e
guztia	g u z t i a
kopurua	k o p u r u a
Hiru	i r u
hasten	h a s t e i n
itxura	C u r a
elementu	l E l E m E n t u
la	l a
garatu	g a r a t u
liburu	l i b u r u
adierazi	a d i e r a z i
dentsitatea	d e n c i t a t e a
sortutako	s o r t u t a k o
horietan	h o r i 3 t a n
badira	b a d i r a
dezake	d e z a k e
guztien	g u z t i 3 n
gune	g u n e
besterik	b e s t E r i k
askok	a s k o k
kanpo	k a n p o
biztanle	b i z t a n l e
direnak	d i r e n a k
Haren	a r e
hirugarren	h i r u g a r
lagun	l a g u n
mendeko	m e n d e k o
omen	e n
gora	g o r a
aurkitzen	a u r k i c e n
hiria	h i r i a
bete	b e t e
indar	i n d a r
kokatzen	k o k a c e n
Dena	e n a
aldetik	a l d e t i k
Egun	g u n
Frantziako	r a n t a a k o
ezagutu	d a g u t u
desberdinak	d e s k d i n a k
laguntza	l a g u n c a
eskatu	e s k a t u
kolore	k o l o r e
txikia	C q i a
ezkondu	d k o n d u
inoiz	o ndw$ i z
arazo	a r a z o
tenperatura	t e n p e r a t u r a
alderdi	a l d e r d i
erabiliz	e r a b i l i z
beharra	b e h a r a
zutela	z u t e l a
guztietan	g u z t i 3 t a n
Era	r a
zientifikoa	z i e n t i f i k a
Lehenengo	e h i n i N g o
honetako	h o n e t a k o
askoz	a s k o
gure	g u r e
kultura	k u l t u r a
alaba	a l a b a
jokatu	j o k a t u
Horren	u r
izendapen	i z e n d a p e n
ustez	u s t e z
ihes	i h e s
eraikin	e r a i k i n
jatorrizko	h a t o r i z k o
litzateke	l i c a t e k e
teoria	t e o r i a
badu	b a d u
eginez	g i n e z
esku	e s k u
ikasketak	i k a s k e t a k
sei	s e i
gizon	g i z o n
espezie	e s p e z i e
baterako	b a t e r a k o
mende	m e n d e
Oso	s o
eskuratu	e s k u r a t u
konderriak	q o n d e r a k
ama	a m a
Biztanleria	i r t a n l e r i a
ideia	d e i a
puntu	p u n t u
sortzeko	s o r c e k o
beraien	b E r a i e n
giza	g i z a
antzinako	a n c  k o
prozesu	p r o z e s u
ezik	d i k
orokorreko	o r o k o r r e k o
izaera	i r o e r a
zeraman	z e r a m a n
aurkeztu	a u r k e z t u
normalean	n o r m a l e
ezberdinak	d k d i n a k
emateko	e m a t e k o
dutenak	d u t e n a k
horietako	h o r i e t a k o
gizarte	g i z i t e
kasuan	k a s u a n
aldean	a l d e
garrantzi	g a r a c
guztiek	g u z  k
enpresa	e n p r e s a
lotuta	l o t u t a
emaitza	l e m a l i c a
jarduera	h a r d u e r a
gelditu	g e l d i t u
informazioa	i n h L o a
ondoan	d o a n
Hurbilketa	u r i k a l k e t a
kontra	k o nt~ r a
gehienetan	g e h i e n e t a n
heldu	h e l d u
Horrez	u r m u
azkenean	a z k 3 n 3 q
aldatzen	a l d a c e n
geratzen	g e r a c e n
garaiko	g a r a i k o
horregatik	h o r e g a t i k
delako	d e l a k o
hurruntze	h u r a n c e
saiatu	s e i a t u
gauza	g a u z a
lotura	l o t u r a
mailan	m a i l a n
horri	h o r i
obra	o b r a
ikerketa	i k e r  e t a
eliza	e l i c a
historia	h i s t o r i a
Gerra	e r a
benetako	b e n e t a k o
eskatzen	p i p 3 l 3 m c e n
semea	s e m i a
zegoela	z e g o e l a
lanetan	l a n e t a n
ona	o n a
urtez	u r t e z
iraun	i r a u n
bildu	b i l d u
banatzen	b a n a c e n
Lan	a n
alegia	a l e 7 i a
Horrek	u r k
berehala	b e r e h a l a
deitu	d e i t u
nazioarteko	n a z i o i t e k o
bezalako	b e z a l a k o
hamar	h a m a r
osatu	o s a t u
irakasle	i r a k a l e
zuenean	z i i n i
buru	b u r u
lurralde	l u r a l d e
ageri	a g e r i
eduki	e d u k i
ekin	e k i N
erakutsi	e r a k u c i
taldearen	t a l d e a r e
Adibidez	d i b i d e z
han	h a n
txikiak	T i k i a k
biak	b i a k
hasiera	h a s i e r a
asteroideak	a s t E r o i d e a k
betetzen	b e t e c e n
dagoela	d a  e l a
informazio	i n h a o
tamaina	t a m a i n a
Honen	n e n
Nahiz	a h i z
uzten	u z t e n
kopuru	k o p i r
eraso	e r a s o
ekintza	r c a
amaieran	a m a i e r i
honi	h o n i
irudi	i r u d i
politiko	p o l i t i k o
igaro	i N a r o
Herrian	E r i a n
etxe	e 5 e
pasa	p a s a
saria	s a r i a
Juan	u a n
garrantzia	g a r a n t a a
bakar	b a k a r
luzera	% l u z i r a
azaldu	t r o l d u
bidea	b i d e a
gutxiago	g u c a
hauetan	h a u 3 t a n
kanpoko	k a n p o k o
abiadura	a b i a d u r a
Azkenik	z k 3 n i k
joera	j o E r a
Maria	a r i a
izatera	i r o t E r a
lehenago	l e h e n a g o
eskola	e s k i
jasan	y a s a n
esaterako	e s a t e r a k o
estatu	e s t a t u
idazten	i d a z t e n
antzeko	a n c  e k o
erakunde	e r a k u n d e
mugimendu	m u g i m e n d u
Ondorioz	d o r i o n s
arazoak	a r a z o a k
bidali	b i d a l i
herriko	h e r k o
jokatzen	j o k a c e n
orain	o r a i n
ura	u r a
Orduan	r d u a n
dator	d a t o r
dutela	d u t e l a
oro	o r o
oinarritzen	o i N r i c e n
armada	a r m a d a
baitzuen	b a i c e n
die	d i e
izandako	i r o n d a k o
antolatu	a n t o l a t u
hasierako	h a s i e r a k o
jada	y a d a
ateratzen	a t e r a c e n
gertu	g e r t u
munduan	m u n d u a n
bereko	b e r e k o
bakoitzean	b a k o i c e
dezakete	d e z a k e t e
hiriko	h i r i k o
zer	8 e
bihurtzen	b i s c e n
iristen	i r i s t e i n
mantendu	m a n t e n d u
gazte	g a z t e
ibili	i b i l i
zuzenean	z u z i n i
dituena	d i t u 7 e n a
Nafarroako	a f a r u a k o
pertsonaia	p e r c o n a i a
horretako	h o r  k o
Guztira	u z t i r a
del	d e l
errege	E r e
hartzeko	h a r c e k o
lur	l u r
Mundu	u n d u
borroka	b o r o k a
oinarrizko	o i N r i z k o
Alderdi	l d e r d i
bakoitza	b a k o i c a
mantentzen	m a n t e n c e n
Hauek	a u e k
egoitza	i g o nh~ c a
sarrera	s a r e r a
jatorria	h a t o r i a
aipatzen	i p a c e n
euskaraz	u s k a r a z
egongo	e m a
Ipar	p a r
material	m a t e r i a l
bazen	b a z a n
asmoz	a s m o
zaie	z a i e
aipatu	i p a t u
lotzen	l o c e n
berezia	b e r a  a
kontrako	k o nt~ r a k o
Kasu	a s u
gorabehera	g o r a b e h e r a
hitza	h i c a
harreman	h a r 3 m a n
industria	i d u s t r e
izenak	i z e n a k
toki	t o k i
lagundu	l a g u n d u
teknika	t a k n i k a
erdian	e r dy~ a n
multzo	l c o
neurri	n e u r i
Handik	a n d i k
ahala	a h a l a
ordez	u r d e z
zazpi	z a z p i
Halaber	a l a b e r
film	b i l m
Horretarako	u r  a r a k o
baitira	b a i t i r a
beharrezkoa	b e h a r d k a
ireki	i r e k i
baitu	b a i t u
ohiko	h i k o
ondorengo	d o r e n g o
erreferentzia	E r e f e r e n c i a
bila	b i l a
hartako	h a r d a t a k o
iturri	i t u r i
ibaiaren	i b a i a r e
Nazioarteko	a z i o i t e k o
direnean	d i r e n e
gaineko	g a i n e k o
Hasieran	a s i e r i
irudia	i r u d i a
agindu	y i n d u
euskara	u s k a r a
New	e w a
tresna	t r e s n a
gainerako	g a i n e r a k o
altuera	a l t u e r a
bestetik	b e s t e t i k
bezain	b e z a i n
the	th~ e
izenarekin	i z e n a r e k i N
onartzen	o n a r c e n
heriotza	h e r i o c a
zaila	z a i l a
Gero	e r o
beranduago	b E r a d u a g o
muga	m u g a
seme	s e m e
emandako	e m a n k o
eredu	e r e d u
eskualde	p i p 3 l 3 w E l d a N e
liburua	l i b u r u a
bestelako	b e s t e l a k o
Aita	i t a
burutu	b u r u t u
joaten	j o a t e n
bereizten	b e r a i z t e n
disko	d i s k o
hitzak	h i c a k
eratu	e r a t u
etxean	e t " e a
ohikoa	o i k o
ondorio	d o r i o
Munduko	u n d u k o
lizeo	l i 8 o
Han	a n
aurki	a u r k i
gorputz	g o r p u c
hamarkadan	h a m a r k a d a n
horretarako	h o r  a r a k o
Arte	r t e
Herri	e r i
indarra	i n r a
adibide	a d i b i d e
badaude	b a d a u d e
diru	d i r u
antolatzen	a n t o l a c e n
datu	d a t u
kendu	k e n d u
kontatzen	k o nt~ a c e n
aukeratu	a u k e r a t u
jarrera	y a r m e r a
desagertu	d e s a g a t u
eratzen	e r a c e n
itsas	t i 3 s
Zenbait	e n b a i t
abesti	a b e s t i
handitu	h a n d i t u
mendebaldeko	m e n d e b a l d e k o
estilo	e s t i l o
handik	h a n d i k
Santa	a n t a
ala	a l a
baldintza	b a l d i n c a
bizirik	b i s i r i k
hilabete	h i l a b e t e
igo	i g o
zuzendari	z u z e n d a r i
badago	b a d a
taldeko	t a l d e k o
Unibertsitatean	n i b e r c i t a t e a n
gutxira	g u 5 i* r a
egunean	e g u n e
historian	h i s t o r i a n
Hezkuntza	d k u n c a
eramaten	e r a m a t e n
erantzun	e r a nt~ z u n
atal	a t a l
bukatu	b u k a t u
ditzake	d i c a k e
ditugu	d i t u x u
garatzen	g a r a c e n
irudikatzen	i r u d i k a c e n
azpian	a z p i a n
aztertu	a z t E r t u
aztertzen	a z t E r c e n
proposatu	p r o p o s a t u
taldean	t a l d e
zizkion	z i z k i o n
sare	s a r e
besteko	b e s t a k o
herria	h e r i a
ordu	u r d u
oinarri	o i N r i
ahalbidetzen	a h a l b i d e c e n
eraginez	e r a g i n e z
eskaini	p i p 3 l 3 m i n i
txikiagoa	T i k i a g o a
Batuetako	a t u e t a k o
ekonomiko	e k o n o m i k o
hartuta	h a r t u t a
azalera	l a u k a l e r a
bakoitzaren	b a k o i w i
langile	l a N i l e
politika	p o l i t i k a
banaketa	b a n a k e t a
bultzatu	l c a t u
kaleratu	k a l e r a t u
landu	l a n d u
and	a n d
gehienek	g e h i e i k
Hego	e g o
ezartzen	d a r c e n
Azkenean	z k 3 n 3 q
batzuekin	b a c e k i N
ekonomia	e k o n o m i a
osoko	o s o k o
garapen	g a r a p e n
ikuspegi	i k u 8 p e n e g i
bata	b a t a
egokia	e g o k i a
zelako	z e l a k o
a	a
funtzio	f u n t a o
metodo	m e t o t o
Erdi	r d i
bota	b o t a
osatutako	o s a t u t a k o
etorri	e t o r i
une	u n e
John	o h E 5
baldin	b a l d i n
delarik	d e l a r i k
animalia	a n i m a l i a
gutxienez	g u 5 i* i n i
luzea	% l u z i a
eginiko	g i n i k o
laguntzen	l a g u n t z a n
elkarrekin	e l u l r e k i N
Geroago	e r o a g o
balioa	b a l i o a
garrantzitsuena	g a r a n t a c u e n a
politikoa	p o l i t i k a
eraikuntza	e r a i k u n c a
m	m
Honela	n e l a
beheko	b e h e k o
ezaugarriak	d a u N a r a k
honela	h o n e l a
zerbitzu	z e r b i E c u
berezi	b e r e z i
emango	e m a n g o
haiek	h a k
hiriaren	h i r i a r e
jende	h e n d e
ibilbide	i b i l b i d e
idazle	i d a z l e
zuzena	z u z e n a
Aldi	l d i
erabil	e r a b i l
ezer	e 8 e
amaiera	a m a i e r a
datuak	d a t u a k
zelula	z e l u l a
zortzi	z o r c
anaia	a n a i a
bakoitzeko	b a k o i c e k o
idatzia	i d a c i a
tartean	t a l
urtero	u r t e r o
azkar	a z k a r
ikastetxeetan	i k a s t a C i 3 t a n
maiz	m a i z
osatuta	o s a t u t a
zieten	z i e t e n
dirua	d i r u a
erdialdean	e r dy~ a l d e
gordetzen	g o r b c e n
horrekin	h o r r e k i N
sarritan	s a r i t a n
bilduma	b i l d u m a
deritzo	d e r i c o
emakumeen	e m a k u m e n
literatura	t E r a t u r a
egoten	e g o t e n
orokorrean	o r o k o r d i
bidezko	b i d d k o
produktu	p r o C u k t u
Erresuma	r e s u m a
diseinatu	d i s e i n a t u
erdiko	e r d i k o
hartzea	h a r c e a
honekin	h o n e k i N
programa	p r o g r a m a
guztira	g u z t i r a
haur	h a u r
erabiltzeko	e r a b i l c e k o
hazi	h a z i
botere	b o t e r e
nabarmen	n a b a s a y m 3 n
zelarik	z e l a r i k
zenbaki	z e n b a k i
bestea	b e s t e a
goiko	g o i k o
atzean	a t 8
horretatik	h o r  a t i k
zuzendu	z u z e n d u
askoren	a s k o r e n
garrantzitsu	g a r a n t a c u
zabala	z a b a l a
objektu	o by~ E u
guzti	g u z t i
uko	u k o
zerbait	z e r b a i t
dezakegu	d e z a k e x u
etxea	e 5 e a
erdi	e r d i
berdina	b E w
gaitasuna	g a i t a s u n a
Lau	a u
ospatzen	o s p a c e n
aldaketak	a l d a k e t a k
argia	a r N i
daitekeen	d a i t e k e n
gainetik	g a i n e t i k
iparraldean	i p a r a l d e
kirol	l o l
prozesua	p r o z e s u a
erraz	e r a z
Europan	u r o mb~ e
gehitu	g e h i t u
duenean	d u i n i
dugun	d u g u n
iparraldeko	i p a r a l d e k o
jardun	h a r d u n
Batzuetan	a c 3 t a n
geroztik	g e r o z t i k
harremanak	h a r e m a n a k
laster	l a s t e r e n
pertsonak	p e r c o n a k
titulua	t i t u l u a
urterekin	u r t e r e k i N
azkenik	a z k 3 n i k
zirenak	z i r e n a k
ezagutza	d a g u c a
hegoaldean	h e g o a l d e
boterea	b o t e r e a
herrian	h e r i a n
saldu	s a l d u
osatua	o s a t u a
zitzaien	z i c a i e n
aldera	a l d e r a
grabatu	g r a b a t u
hegoaldeko	h e g o a l d e k o
eraikina	e r a i n a 7 i n a
osagai	o s a g a i
erabiltzea	e r a b i l c e a
nabarmentzen	n a b a s a y m 3 n c e n
Behin	e h i n
hartuz	h a r t u s
irudiak	i r u d i a k
eztabaida	d t a b a i d a
beharreko	b e h a r r e k o
Talde	a l d e
egina	g i n a
bazuen	b a z u e n
oinarrituta	o i N r i t u t a
neska	n e s k a
Normalean	o r m a l e
ardura	a r d u r a
doa	d o a
gobernuak	g o b E a n u a k
nabarmendu	n a b a r m e n d u
idatzitako	i d a c i t a k o
Jose	o s e
banatu	b a n a t u
dituela	d i t u 7 e l a
mila	m i l a
Errege	r r e
abar	a b a r
izenekoa	i r Nw~ 3
posible	p o s i b l e
Donostiako	n o s t i a k o
distantzia	d i s t a n t a a
gorde	g o r d e
emanez	e m a n e z
buruan	b u r u a n
espazio	e s p a L o
hirian	h i r i a n
inolako	i n o l a k o
baliabide	b a l i a b i d e
en	e n
horietatik	h o r i e t a t i k
ikasten	i k a s t e i n
kokatuta	k o k a t u t a
liburuan	l i b u r u a n
Hortaz	u r t a z
arrazoi	a r a z o i
begira	b e g i r a
zeharkatzen	z e h a r k a c e n
berarekin	b E r a r e k i N
bidean	b i d e
dagoena	d a  e n a
nahikoa	n a i k o
pasatzen	p a s a c e n
zerrenda	z e r  nd ~ a
zuzendaria	z u z e n d a r i a
Alde	l d e
beharrean	b e h a r d i
datza	d a c a
etxeko	e 5 e k o
izana	i r a n a
nabarmena	n a b a r m e n a
zenez	z e n e z
zuenez	z i i n i
zutenean	z u t e n e
ekialdeko	r a l d e k o
Bizkaiko	i r  i k o
Sistema	i s t e m a
bertsio	b E c i o
garrantzitsuak	g a r a n t a c u a k
proiektu	p r o k u
urtetik	u r t e t i k
baitan	b a i t a n
dituztenak	d i t u z t e n a k
erromatar	e r u m a t a r
gobernu	g o b e r tn~ a
kidea	k i d e a
aritzen	a ry~ c e n
ditzakete	d i c a k e t e
azterketa	a z t E r k e t a
diskoa	d i s k a
doan	d o a n
sortzea	s o r c e a
hautatu	h a u t a t u
ongi	o N i
sartzeko	s a r c e k o
sortuz	s o r t u s
existitzen	" i s t i c e n
handirik	h a n d i r i k
hazten	t r o n d t e n
txapelketa	T a p e l k e t a
ezta	d t a
harremana	h a r e m a n a
igarotzen	i N a r o c e n
dantza	d a c a
hark	h a r
lege	l e g e
atxilotu	a 5 i* l o t u
zabaltzen	u ndr$ u C i C c e n
aurkezten	a u r k e z t e n
ematea	e m a t e a
Luis	k i s
babesteko	b a b e s t a k o
barneko	b a r n e k o
milaka	l a k a
oinarritua	o i N r i t u a
onena	n e n a
jendea	h e n d e a
arduratzen	a r d u r a c e n
bilatzen	b i l a c e n
mugitzen	m u g i c e n
baditu	b a d i t u
lanaren	l a n a r e
zirenean	z i r e n e
gainontzeko	g a o ndw$ a c e k o
hartuko	h a r n a
asmoa	a s m o a
eremua	e r e m u a
daitezkeen	d a i t e z k e n
hortik	h o r t i k
jarraituz	y a r m a i t u s
etxera	e 5 e r a
luke	l u k e
zeukan	z e u k a n
Italiako	t a l i a k o
eskubidea	e s k u b i d e a
interes	i n t e r e
izar	i s a r
lekua	l E k E 7 a
aipatutako	i p a t u t a k o
familiaren	f a m i l i a r e
zehatz	z e h a c
zientzia	z i e n c i a
egotea	e g o t e a
ibilbidea	i b i l b i d e a
bereziak	b e r a  a k
izaki	i r a k i
lotutako	l o t u t a k o
sari	s a r i
zuelako	z u e l a k o
erosi	e r o s i
militar	m i l i t a r
saiatzen	s e i a c e n
zabal	z a b a l
adierazteko	a d i e r a z t e k o
bitarteko	b i t a r t e k o
masa	s m a s a
onak	o n a k
Gipuzkoako	C u z * a w a k o
Hirugarren	i r u g a r
elkarren	e l  r
etab	e t a b "
kritika	k r i t i k a
soldadu	s o l d a d u
artista	i t i s t a
gaiak	g a i a k
itxi	C i
arreta	m a n e t a
etengabe	e t e N a b e
hurbil	h u r b i l
Ama	m a
aitaren	i t a r e
babesa	b a b a 3 s a
oinarritutako	o i N r i t u t a k o
ospea	o 8 p e n e a
falta	f a l t a
gela	g e l a
handiagoak	h a n d i a g o a k
galtzen	g a l c e n
berezko	b e r e z k o
ikusita	i k u s i t a
izenez	i r i n i
piztu	p i z t u
Europa	u r o p a
dauzka	d a u z
klima	k l i m a
ordena	u r d e n a
betiko	b e t i k o
hots	h o c 3
liburuak	l i b u r u a k
lizeoetan	l i 8 u 3 t a n
preso	p r e s o
berez	b e r a
Esan	s a n
berdinak	b E r d i n a k
duelako	d u e l a k o
halaber	h a l a b e r
ren	r e n
jasaten	y a s a t e n
kale	k a l e
solairuan	s o l a i r u a n
testu	t e s t u
baitziren	b a i c i r
lantzen	l a n t z a n
atzetik	a c e t i k
balitz	b a l i c
direlako	d i r e l a k o
egitera	g i t E r a
genero	g e n e r o
gertaera	g e r t a e r a
proiektua	p r o k b t u a
Egoera	g o E r a
elkar	e l k a r
gehienbat	g e h i e n b a t
oinarria	o i N r i a
tokiko	t u 7 i k o
Pedro	p i e d r o
antzekoa	a n c  Nw~ 3
dagoenean	d o g o N u
telebista	t e l e  s t a
herriaren	h e r a r e
Antonio	t o o
Orokorrean	r o k o r d i
abiatu	a b i a t u
emaztea	e m a z t e a
heltzen	h e l c e n
Mendebaldeko	e n d e b a l d e k o
funtzioa	f u n t a o a
goi	g o i
kokatu	k o k a t u
mendi	m e n d i
urtetan	u r t 3 t a n
Aurreko	u r e k o
bidaia	b i d a i a
Hain	i m
bizitzaren	b i s i m w i
