an	a n
Do	o
mengen	e n g 3 n
drop	d r o p
dëse	d e s e
gesot	g e s o t o
natierlech	n a t a o r l E C
Enn	n n
tëscht	t e s t
manner	n n 3 q
mécht	m u t
gin	g i n
Numm	u m m
En	n
ka	r o x
hire	h i r
éischt	e i s t
Deel	e k "
Dës	e s
méiglech	m u i l E C
éischter	e i S t E r
wierklech	v i  k l E C
dobäi	d o b 3 i
vir	k w 3 L i
kënne	k 3 n n e
neie	n e
Projet	t o n o x e t
Regierung	g i e r u N
grad	g r a d
dësen	d e s e n
Moment	e n t
gudd	g u d
Fro	r o
des	d e
kloer	k l o e r
eraus	e r a u s
flott	f l o t
Europa	u r o p a
ënner	3 n n 3 q
komm	k o m m
haten	h a t e n
leschte	l e S t e
anere	a n e r e
No	o
kleng	k l 3 N
Film	i l m
wei	w e i
huelen	h u i e l e n
Euro	u r o
wa	w a
kucken	k u k k e n
Esou	s o u
Auer	i a
gesäit	g e s i t
séier	s e i e r
President	r e s i d e n t
hirem	h i r E m o
immens	i m k a
Um	m
sollen	s o l l e n
Deeg	e
eiser	e z o l
éischte	e i S t e
loossen	l o s e n
zwar	z w a r
Well	E l o
grousse	g r o u s s e
Dofir	o f i r
eise	e i s e
Länner	a* d n 3 q
wieren	w i e r e n
wär	w 3 r
Kader	a d e r
säin	s i n
besonnesch	b e s o n i S
nëmme	d e* b m e
Welt	e l
musse	s s e
wëllen	w e l l e n
nämlech	n 3 m l E C
hirer	h i r e r
zwou	z w o u
ewéi	e wy~ i
neien	n e e n
Säit	3 i t
zesummen	z e s u m e n
hiren	h i r
schaffen	S f e n
Gemeng	E m E n
geholl	g e h o l o
Hien	i e n
All	l o
Owend	w e n
schon	S o n
Här	3 r
wollt	w o L
him	h i m
dräi	d r 3 i
Staat	t a t
bleiwen	b l s e n
Zukunft	o v a s a f
zesumme	z e s u m
Problem	r o b l 3 m
Rei	e i
aneren	a n e r e n
gaangen	g a n g 3 n
domat	b a t
Aarbecht	a r k t
eisem	e z o m
wuel	w
staark	t a
bal	b a l
Ufank	f a n
Stad	t a d
genee	g e n i
lo	l o
mei	m e i
guer	g e r
ma	m a
Méint	e i nt~
eigentlech	e i g 3 n
stellen	s t e l a
hues	h u i e
sot	s o t
bleift	b l e i f
verschidde	e r S i d e
Minister	i n i s t e r e n
dozou	d o z o u
hier	h i e r
Beruff	e r u w f
Jo	o
nom	n o m
wéinst	wy~ nsw$ i
Fotoen	k o t o 7 o n
Ma	a
géifen	g e i f e n
iech	i n
Dëst	e s
weess	w e e s
schwéier	S wy~ i e r
wäit	w 3 i t
kennen	k e n n e n
Adress	d r e s
läit	l 3 i t
dacks	d a k k
koum	k o u m
Meenung	e n u N
ronn	r o n n
ni	n i
groussen	g r o u s e n
Mann	a n n
dunn	d u n n
sécher	s e E r
Zu	u
anerem	a n e r a m
viru	v i r u
vläicht	e l i 3 i t
eisen	e i s e n
géing	g e i N
meng	e N
gewiescht	g e w e s t
soss	s o s
Hie	i e
Bild	i l 7
fonnt	f o n a 5 a
Also	l s o
benotzt	b e n o c
allerdéngs	a l l e r d 3 7 N
hinnen	h i n n e n
Elo	l o
Mënsch	3 n S
weisen	w e i s e n
Auto	u t o
Liewen	i e u e n
alle	a l
zanter	z a n t e r
halen	h a l e n
bréngen	b r e n g 3 n
krut	k r u t
Joren	o r e n
erkläert	e r k l 3 e r
fënnt	f 3 n a 5 a
Situatioun	i t u a t i o u n
Du	u
schwätzen	S w 3 c e n
Dem	e m
anescht	a n e s t
héich	h e i C
lescht	l e s t
hätten	h 3 t
doheem	d o h e m
Luxembourg	u " e a m b o u r
kennt	k e n a 5 a
Problemer	r o b l E m E r
gestallt	g e s t a ly~
Politik	o l i t i k
Samschdeg	a m S b
hutt	h u t
geschitt	g e s C i
Programm	r o g r a m 3 n
Oktober	k t o b e r e
wëssen	w e s e n
Sou	o u
Telefonsnummer	e l e f o s S E w e r
Informatiounen	n f o r m a t i o u n e n
ville	v i l l e
Vun	u n
stellt	s t e l a
Als	d
Ament	m E n t
wëllt	w e L
schlecht	S l e t
Musek	u s a q
Geschicht	e s C i t
bëssen	b e s e n
sidd	s i d a
virum	v i r u m
duerno	d u E a n o
waat	w a t
setzen	s e c e n
kuerz	k u e r
Famill	a m i l
oft	o f
weist	w e i s
firwat	f E i r w a t
Froen	r o e n
Freideg	r e i d e
aktuell	a k t u e l o
stinn	s t i n n
d	d
Sënn	3 n n
Ass	s
geschwat	g e S  w a t
gespillt	g e s p i l l
Privatkontakter	r i v a k o nt~ a k t e r e n
get	g e t
September	a p t e mb~ e r
Mënschen	3 n S E N
éischten	e i S t E n
Haus	a u s
Däitschland	3 t i C a nz~ i
Bierger	i e r g e r
Haut	a u t
drun	d r u n
eben	e b e n
leider	L e i d e r
Thema	h e m a
spillen	s p i l l e n
em	e m
Sonndeg	o nd~ e n
Album	l b u m
eleng	e l e
Milliounen	i ly~ i o u n e n
Site	i t e
Service	e r v i k e
verschidden	e r S i d a e n
Dobäi	o b 3 i
bekannt	b e k a n a 5 a
bruecht	b r u e t
Gesellschaft	e s m u S S a f
gehéiert	g e h e i e r
klenge	k l 3 N a
wäerten	w 3 e r t e n
Prozent	r o z e n t
ronderëm	r o n d e r e m
Chamber	h a m b e r e
lues	l u e
iwwerhaapt	i w a C a i n  a p
Gesetz	e s a i c
Persoun	e r s o u n
senge	s 3 N a
Juni	u n i
anerer	a n e r a r
Beräich	e r 3 i C
organiséiert	u r g a n i S e i e r
al	a l
jonk	j o n
gelooss	g e l o s
Budget	u d k
politesch	p o l i t e S
Schoul	C o u l
Hëllef	3 L e f
emmer	e m e r
Match	a S o
bréngt	b r e n g
fueren	f u e r e n
néideg	n 3 bw~ i d e
Bis	i s
Ee	e
Partei	i t e i
gesat	g e s a t
schéin	S e i n
Kontext	o t "
Fra	r a
la	l a
deng	i s u r
Richtung	i C t u N
tëschent	t e s t a C e n
Mäerz	3 e r
souguer	s o u g u e r
Schüler	C k e l e r
gären	g 3 r e n
konnten	q o n i k n t e n
verbesseren	e r % s a m a s E r E n
stoung	s t o u N
solle	s o l l e
eemol	e m o l
nächste	n 3 C s t e
bësse	b e s s e
komplett	m i p l e t
gefällt	g e f 3 L
Juli	u l i
Frënn	r 3 n n
Marc	a r
Artikel	r t i k e l
Claude	l a u d e
Waasser	a s e r
Eis	i s
Säiten	3 i t e n
Roll	o l o
dovunner	d o b u n n 3 q
Frankräich	r a n k r 3 i C
nächst	n 3 C s d a
Net	e t
Vill	i l
ware	w a r e
Duerch	u o mb~ o
zou	z o u
Niveau	Ng~ e r e a u
hiert	hy~ e r
ganze	g a n z e
ewech	a w e
ganzen	g a n z a n
hëllefen	e L e f e n
Är	r
Jean	e
Deen	e n
genau	g e n a u
Januar	a n u a r
Datt	a t
leschten	l e S t E n
hannert	h a n n e r
dinn	d i n n
wéineg	wy~ i n e
dech	d e
géife	g e i f e
liicht	l i i t
Dee	e
Grupp	n i n p
doriwwer	d o r i w w e r
Dezember	d e mb~ e r
Chalet	h a l e t
Grond	r o n d i
Juncker	u n C i k a r
Méindeg	e i d e g
wëlle	w e L e
Premier	r E m i e r
Recht	e t
hin	h i n
Esch	S
Fong	o N
geschafft	g e s C a f
verluer	e r k i a
duer	d u e r
missen	s e n
gëllt	g 3 L
Kand	a n d
Donneschdeg	o n i S  b
schéngt	S e N
November	o p e m u mb~ e r
Tour	o u r
spillt	s p i l l
verschiddene	e r S i d a e n e
Kapp	a p p
interessant	i n t e r e s
Da	a
liewen	l i e u e n
Kris	r i s
dran	d r i
frou	f u
gefrot	g e f r o t
Virun	i r u n
gesin	g e s i n
sozial	S o z i a l
bessen	b e s e n
respektiv	r E 8 p e n e k t
gudde	g u d e
eréischt	e r e i s t
Dëse	e s e
zeréck	z e r e k
Weekend	e k "
neier	n e e r
aktiv	a k t
während	w 3 r e n d
denken	d e Nkw$ e n
Moien	o i e n
missten	m i s s t e i n
Daat	a t
Kontakt	o* t a k
fäerdeg	f 3 e r b
Serie	r i e
Persounen	e r s o u n e n
Trump	r u m p a
freet	f h r e
super	s u p e r
fest	f e S
klengen	k l 3 N 3 n
Punkt	u n k
Wien	i e n
relativ	r e l a t i
ugeet	t u g o t a x a
spéit	s p e i t
jiddereen	h i d a e r e n
Beim	3 i m a
Abrëll	b r e l o
domadder	b a d a r
Minutten	i n u t
haat	h a t
deemools	d e e m o l
gewisen	g e w i e n
wor	w o r
besteet	b e s t a
mengt	e n g
dovun	d o b u n
Aus	u s
positiv	p o s i t i
Police	o l i k e
léisst	l e i 7
virdrun	v i r d r u n
ganzer	g a n 8 e
leeft	l E l o f
probéiert	p r o b i e r
deemno	d e e m
dierf	d i e r f
Accord	kh~  o r d
System	y s t e m
ewell	a w e l o
leien	L e i e n
Stéck	t e k
Terrain	e r a i n
zimlech	z i N l E C
esouguer	e s o u g u e r
Hand	a n d
The	e
geluecht	g e l u e t
Schluss	C l u s
Form	u r m
setzt	s e c
Saison	a i s o n
gefall	g e f o l
geschriwwen	g e S  ry~ u w e n
wärend	w 3 r e n d
Spiller	p i l l e r
Internetsite	t E r n  i t e
Fraen	r a e n
Zum	u m
Wa	a
Ganz	nz~ i
decidéiert	d e 7 i d e i e r
Mount	o u n t
meeschtens	m e k 3 S t o n
zréck	z r e k
allen	a l l e n
bewosst	b e o S s d a
Partie	i t i e
Kierch	i e dy~ o
Titel	i t e l
pro	p r o
zënter	z 3 n t e r
matt	m a t
Dënschdeg	3 n S b
Wuert	u e r
dierft	d i e r f
sengen	s 3 N 3 n
Text	"
Formatioun	o r m a t i o u n
beschten	b e S t E n
neit	n e i t
presentéiert	p r o w o n i e r
Biller	i l l e r
Diddeleng	d d o l o N
Wieder	i e d e r
fréier	f r e i e r
eist	e i s
hate	h a t e
Punkten	u n
gär	g 3 r
Summer	l u m m e r
menger	e n g e r
stoen	s t o 7 o n
véier	v e i e r
Een	e n
Méi	e i
perséinlech	p e r s e i n l E C
endlech	e nd~ l E C
Mam	a m
geduecht	g e d u e t
August	t u g u s
Member	e m b a e r
effektiv	e f Nw~ t i
Betriber	a t 3 r i b e r e
ons	o* s
selwecht	s e l w e t
Präis	r 3 i s
nieft	n i e f
villen	v i l l e n
Februar	e b r u a r
Lëtzebuergesch	3 c o bw~ a  g e S
fier	f i e r
komme	k o m
Stonnen	t o n n e n
Wou	o u
Di	i
kéinten	k e i n t e n
doduerch	t o t u o mb~ o
goung	g o u N
laanscht	l a N s t
däitlech	d 3 i L n
Chance	h a n C i e
héieren	h e i e r e n
wéilt	wy~ i l
Gemengen	E m E N E n
Bléck	l e k
äert	3 e r
gefuer	g e pw~ e r
Angscht	N s t
Fernand	E a n a
Plang	l a N
genannt	g e n a a 5 a
Äntwert	t w e r
Dann	a n n
Asaz	s a z
Cookien	o k i e n
zweete	z u a
uewen	u e u e n
Krich	r i C
Saz	a z
Transport	r a s p o r
egal	g a l
Suen	u e n
zweet	z w e t
goufe	g o u f e
gemengt	b i g o i Ng~
gudden	g u d e n
Papp	a p p
gekuckt	g e k u k k
wien	w i e n
extrem	e S a m
gréng	g r e n
beschte	b e S t e
Scouten	k o e r o k
Sécherheet	e S e r S i
eventuell	p i r 3 n t u e l o
falsch	f a l S
wäerte	w 3 e r t e
Rapport	a p p o r
froen	f r o e n
Unioun	n i o u n
Entwécklung	nt~ wy~ S k l u N
erlaabt	e r l a b
eenzel	e n z e l
fannt	f a a 5 a
Nieft	i e f
Statistik	t a t i s t i k
heiansdo	h e i a s d o
Memberen	e m b e r e n
ganzt	g a nz~
erstellen	e r s t e l l l e n
féieren	o f o k i e r e n
schwätzt	S w 3 c
Aktivitéiten	k t i b i t e i t e n
Awer	w e r
léieren	l e i e r e n
schreiwen	S r s e n
Meter	e t e r
ugefaangen	t u g e f a r a n g 3 n
gratis	g r a t i s
Iddi	d i
Weis	e i s
nemmen	n e m e n
kuckt	k u k k
Firwat	i r w a t
meescht	m e k 3 n C t
Radio	a d i o
Nodeems	o d e m
Ministère	i n i S th~ e
Direkter	i r e k t e r e n
Hannergrond	a n n e r g r o n d i
Bréissel	r e s e l
Nom	i r
gewonnen	g e w o n n e n
lass	l a s
kanns	k a n a
Verfügung	e r u g u N
hoffen	h o f e n
Zanter	a n t e r
à	7
Oder	d e r
Fäll	3 l o
schonns	S o* a
Plazen	l a z a n
Elteren	l t E r E n
hält	h 3 t a s
Ausland	u s l a n d
Raum	a u m
schafft	S f
ënnerwee	3 n n e r a C a
säit	s i t
eens	e n
Internet	t E r n
Strooss	t r o s
hëlt	h E ly~
Awunner	w u l i n 3 q
fräi	f r 3 i
bezuelen	b d u e l e n
voll	v o l o
Jore	u r e
Partner	i t n e r
Buedem	k i k " b
Aart	a r
Bettel	e t
Mol	o l
Politiker	o l i t i k a r
Surfe	u r f e
Gespréich	e s p r e i C
wees	w e n
sichen	s i E N
probéieren	p r o b i e r e n
Paul	a u l
ënnerstëtzt	3 n n e r s y c
gëschter	g 3 S t E r
Alter	l t e r
François	r a n o i s
Mëtt	3
national	n a t i o n a l
konkret	k o nk ~ r e t
Centre	e n t r e
Zil	i l
praktesch	p r a k t e S
onbedéngt	o b e d e N
ëffentlechen	3 f L e C e i n
dono	d o n o
virgesinn	v i r g 3 s i n n
wiere	w i e r e
Natur	a t u r
Dossier	o s s i e r
Himmel	i m y
Der	e r
Léisung	e i s u N
gelongen	g e l o n g 3 n
Buergermeeschter	u e r g e r m e S t E r
iwwerall	i w w e r o l
Coronavirus	o r o n a b i r u s
dowéinst	d o wy~ nsw$ i
Sujet	u h e t
Xavier	a v i e r
erënnert	e r 3 n n e r
Schneider	C n e i d e r
eriwwer	r i w w e r
gebaut	g e b a t u
Museker	u s e k a r
mengem	e n g e m
nodeems	n o d e m
offiziell	o f t e  e l o
europäesch	u o p 3 i S
Donieft	q o n i e f
gefouert	g e f o u e r
Guiden	k i d e n
Video	d e o
normal	n o r m a l
Kilometer	i l o m e t e r
absolut	a b " s o l u t
grousser	g r o u s e r
Virus	i r u s
bedeit	b e d e i t
quasi	k a s i
Grad	r a d
Kritik	r i t i k
bestëmmt	b e s t b r o u
ab	a b "
riets	r i e c
Pierre	i e r
Drock	r o k
sollten	s o l l t e n
Donald	o n a l
europäesche	u o p 3 e s C e
Stonn	t o n n
international	i n t E r n a t i o n a l
jonke	j i m a e
Liewe	i e w e
Sport	p o r
Comité	a
passt	p a s s d a
diskutéiert	d i s k u t e i e r
liesen	l i e s e n
speziell	s p a  e l o
Nee	e
Nuecht	k i k " t
Succès	a kh~  e
alleguer	a ly~ g i a
Press	r e s
finanziell	f i n a n c~ i "
fréiere	f r e i e r e
geplangt	g E p o l a N
däerf	d 3 e r f
hinne	h i n n e
betount	t a u n t
misse	m i s s e
Zesummenaarbecht	e s u m e n a r G t
Choix	h o i S
Wierder	i e r d e r
Projeten	t o n o x e t e n
Äre	r e
Seng	i N
gewielt	g e w k u
Alles	L m 3 s
entwéckelt	e n t wy~ k n z a g u r
änneren	a* d n e r e n
eege	e x e
Natierlech	a t a o r l E C
opgeholl	o p g e h o l o
Filmer	i l a m e
Millioune	i ly~ i o u n e
Faarwen	a r w e n
gesi	g e s i
Männer	a* d n 3 q
ale	a l e
Prozess	r o z e s
gewannen	g e w a n e n
erof	e r
verstoen	e r s t o 7 o n
Band	a n d
Grënn	r 3 n n
driwwer	d ry~ u w e r
Vum	u m
derbäi	d e r b 3 i
erzielt	e r
interesséiert	i n t e r e s  i e r
Kommissioun	o m m i s s i o u n
hätte	h 3 t t e
bereet	b e r a
mëttlerweil	m E t L e r w e i l
Reform	e h m
dogéint	d u g u e i nt~
weiderhin	w e i d e r i a n
konnte	q o n i k nt~ e
kucke	k u k k e
proposéiert	p r o p o s e i e r
fënnef	f 3 n S f
eenzeg	e n z e
kafen	k a f e n
féiert	o f o k i e r
iwwregens	i w r e  a
schnell	S n "
gefält	g e f 3 t a s
Equipe	k i p e
ënnerstëtzen	3 n n e r s y c e n
Concert	o z i r
Dësch	3 S
ugeholl	t u g e h o l o
gett	g e t
Freed	r E 3 d
Tram	r a m
Chef	h e f
trotz	t r o c
die	d i e
Festival	e s t i w a l
Kënschtler	3 n S t l e r
villes	v i l l e
Michel	i C
Club	l u b "
Se	e
bessi	b e s
Minutte	i n u t t e
bidden	b i d a e n
ersat	e r s a t
eegene	e x e n e
gehat	g e h a n
matgedeelt	m a tw~ g e d e l
haaptsächlech	h a s u b e t a C l E C
definitiv	d e f i n i t i
schéi	S e i
Direkt	i r e k
ëffentlech	3 f e n
verschiddenen	e r S i d a n e n
bäi	b 3 i
mäi	m a g i
wahrscheinlech	w a h r s 5  l E C
Parteien	i t e i e n
är	3 r
Mesuren	e s u r e n
kascht	k a s t
Ënnerstëtzung	a n n e r s y c u N
Bausch	a u S
kaum	k a u m
Flott	l o t
Kartheiser	a r t u z o l
ukomm	u k o m m
benotzen	b e n o c e n
owes	o w e
gesuergt	g e s u a rx~
kruten	k r e r o k
alt	a l t a s
Diskussioun	i s k u s s i o u n
Mamm	a m m
Laf	a f
handelt	h a n d e l
Respekt	e s p e k
gewuer	g e w i a
Prinzip	r i n z i p
eran	e r i
Kierper	i e r p e r
Paus	a u s
ausser	a u s e r
getraff	g e t r a f
suergen	s u e r g 3 n
Kommunikatioun	o m u n i k a t i o u n
Jesus	e s u s
souwuel	s o u w
Personal	e r s o n a l
agesat	a g 3 s a t
Schrëtt	C r 3
dierfen	d i e r f e n
Editioun	d i t i o u n
Belsch	e l S
Vakanz	a k a n c i
Ganzt	a n z
Referendum	e f e r e n d u m
Joeren	o e r e n
leschter	l e S t E r
Robert	o b e r
Mataarbechter	a t a  k t E r
zielt	z i e l
Jonk	n
zousätzlech	z o u s c l E C
Vu	u
Wäert	3 e r
kréie	k r e i e
Facebook	a k r o k
Spill	p i l
gehéieren	g e h e i e r e n
gewosst	g e o S s d a
fuerdert	f u e r d e r
Joerhonnert	o a i o* n e r
fréi	f r e i
ët	3
Interview	t E r v i e w
Resultat	e s u l t 3 t
virstellen	v i r s t e l l l e n
Contenu	o t e n u
Lidder	i d a r
Paräis	a r 3 i s
geännert	g e a* d n e r
roueg	r o u e
Detailer	e t a i l e r
hatt	h a t
Gare	a r e
Rescht	e s t
Leider	e i d e r
däitsch	d 3 t i C
erreecht	e r e t
iwwerzeegt	i w w e L a g
nächsten	n 3 C s t e i n
Mënsche	3 n s C e
fort	f o r
Regioun	g i o u n
Secteur	e T u r
Entreprisen	t r e p r i s e n
Spaass	p a s o
gefuerdert	g e pw~ e r d e r
virgestallt	v i r g 3 s t a ly~
sie	s i e
deier	d e i e r
invitéiert	i n i n i e r
Servicer	e r v i C E r
Auteur	u t e u r
Domat	t a t
Geld	e l d
lafen	l a f e n
erwaart	e r w a i t
Iwwer	w w e r
Resultater	e s u l t a t e r
verwalt	e r w a l
nationale	n a t i o n a l e
informéiert	i n h p a u i e r
Stroossen	t r o s e n
betraff	b e t r a f
eent	e n t
misste	m i s s t e
Kultur	u l t u r
Lëscht	e s t
weidere	w e i d e r e
Froe	r o e
Gedanken	e d a n k e n
in	i n
fänkt	f a* d
schafen	S a f e n
Alternativ	l t E r n a t i
Milliarden	i ly~ i a r d e n
woubäi	w o u b 3 i
Lycée	y k a j
Beräicher	e r 3 i C e r
Ried	i e d
Woche	n o C e
China	h i n a
profitéieren	p r o f i t e i e r e n
zevill	z e v i l
Ënnert	a n n e r
Kaart	a r
sief	s i e f
weltwäit	w e l t w 3 i t
online	o n l i n e
Aen	e n
Duerno	u E a n o
Majoritéit	a x o r e  i t
Medien	e d i e n
Linn	i n n
Material	a t e r i a l
Just	u s
erop	e r o p
schreift	S r e i f
Allerdéngs	l l e r d 3 7 N
Ekipp	k i p p
Zäiten	3 i t e n
Decisioun	e T i s i o u n
ier	i e r
soe	s o e
Dësen	e s e n
dréit	d r e i t
lëtzebuerger	l 3 c o bw~ a  g e r
zweeten	z u a
Bësch	3 S
Manéier	a n e i e r
zéien	z E i e n
Ronn	o n
soziale	S o z i a l e
béid	b e i d
Weider	e i d e r
schwiereg	S % e r a
Déifferdanger	e i f e r d a N e r
Invité	n v i t e 7
bitt	b i t
obwuel	m o w e
Basis	a s i s
flotten	f l o t
annoncéiert	a n ndw$ a k e i e r
mais	m a i s
weder	w e d e r
Honsbësch	o* s b e S
Public	u b l i k
knapp	k a pw~ p
gehalen	g e h a l e n
Betrib	a t 3 r i b a
Kraaft	r a f
Vertrieder	e r t r i e d e r
Moie	o i e
meeschte	m e k 3 S t e
Minutt	j i t t a
sougenannte	s o u g e n a nt~ e
Des	m 3 s
Energie	n e r g i e
gerecht	g e r a t
deels	d e
Italien	t a l i e n
léiwer	l e w e r
erem	e r a m
wollekeg	w o l l E k E m E
wéini	wy~ i n i
dru	d r u
gréissten	g r e i s s t e i n
ongeféier	o N e o f o k i e r
Groussbritannien	r o u s o* i t a n n i e n
äis	3 i s
rem	r E m o
andeems	a n d e e m
fält	f 3 t a s
verhënneren	e r 3 n n e r e n
Kino	i n o
drëms	d r b
waarden	w a i d e n
Besonnesch	e s  n i S
dohinner	d u h i n n 3 q
freeën	f h r e a n
sicht	s i t
Georges	e o r g e
Versioun	e r S i o u n
Bus	u s
the	th~ e
gestëmmt	g e s t b r o u
Stand	t a n d
bauen	b a u e n
Schmit	C m i t
aaner	a n 3 q
bezuelt	b e z
Feeler	e l e r
Impakt	p a k
muer	m u e r
politesche	p o l i t e s C e
mäin	m a g i n
nawell	n a u E l o
Duerf	u e r f
betrëfft	b e t r e f
enorm	e n o r m
gemeinsam	g e m  s a m
fiert	f i e r
souwisou	s o u w s o u
bass	b a s
gët	g 3
zweeter	z u a  e r
beschäftegt	b e S  3 f t e g
droen	d r o e n
richtege	r i t E k E
Hun	u n
diskutéieren	d i s k u t e i e r e n
Guy	u y
kéinte	k e i nt~ e
Ettelbréck	t t e l o* e k
geschéckt	g e S  e S k
par	p a r
Veräin	e r 3 i n
Walfer	a l f e r
bléist	b l e i s
Zentrum	e n t r u m
drëm	d r e m
iwwerdeems	i w w e r b e m
Par	a r
Tom	i r
Loscht	o s t
bliwwen	b l i p w e n
versicht	e r s i t
Detail	e t a i l
Nummer	l u m m e r
gegrënnt	g e g r 3 n a 5 a
Déieren	e i e r e n
Lidd	i d
falen	f a l e n
Dokter	o k t e r e n
Uni	n i
Emissioun	m i s s i o u n
deelweis	d e e l w e i s
Luc	u C
Parlament	a r l a m E n t
Bicher	i C e r
Gréng	r e n
wësse	w e s s e
Engagement	N a g E m E n t
Romain	t a i n
wunnen	w u l i n e n
Verantwortung	e r a nt~ e* t u N
feelt	f e l
wichtege	w i t E k E
Dei	e i
Gebai	e b a i
spannend	s p a n
Zort	u r
bescht	b e s t
Sekonnen	e k o n e n
Véierel	e i e r e l
Telefon	e l e f o n
gudder	g u d a r
hëlleft	e L e f
perfekt	p e r f e k
Gefor	i f o r
beispillsweis	b e i s p i l l sw~ e i s
kritiséiert	k r i t i s e i e r
riicht	i C
schaffe	S f e
Wuesstem	u e s s t e m
Dikrech	i k r E C
Conseil	o* s e i l
Asselborn	s s l 3 b o r n
Message	e s  g e
eegen	e x e n
Konscht	o* s t
Mëtteg	3
gréisste	g r e i s s t e
sechs	s e C
Russland	u s r a n d i g
ëmgesat	m g 3 s a t
per	p e r
Positioun	o s i t i o u n
wënschen	w e N S E N
Dammen	a m e n
Iessen	e s e n
Single	i N l e
Victoire	i k t o i r
und	u n d
vergiessen	v e r g i e s e n
Europäescher	r u a z 3 e S E r
ugekënnegt	u g u d o l o 3 n g
Modell	o d e l o
Persoune	e r s o u n e
Wéinst	e nsw$ i
anert	a n e r
sougenannten	s o u g e n a n t e n
Stater	t a t e r
Iddien	d i e n
Aktioun	k t o u n
allgemeng	a ly~ b i g o e N
haart	h a r
Gemengerot	E m E N E r o t
Themen	h e m e n
erklären	e r k l 3 r e n
gäre	g r i e a
Erfolleg	r f o l l a
klengt	k l 3 N
publizéiert	p u b l i z E i e r
Gaart	a r
Weenchen	e n C i h e n
Afloss	f l o s
Loft	o f
engagéiert	g a g e i e r
produzéiert	p r o C u z E i e r
Henri	e n r i
herno	h E a n o
Aktivitéite	k t i b i t e i t e
Schued	C o 3 d
gehollef	g e h o l l e f
Gutt	u t
Häerz	3 e r
rëm	r 3 m
dra	d r a
Zënter	3 n t e r
verléieren	e r l e i e r e n
Gott	o t
iwwerhuelen	i w w e r w e l e n
opmierksam	o p m i e r s a b a m
schons	S o* s
Gilles	i l l e
jidderee	h i d a e r a
wollten	w o l l t e n
Dan	a n
Affer	f e r
