on	o n
veelgi	v e r e l g i
kirikus	k i r i k u s
võtnud	v n a k n u d
kohal	k o h a l
maksab	k a b a
käis	k a i s
mil	m i l
Pole	o l e
aastaid	a s t a i d
kodus	k o t u s
mehe	m e e
teist	t e i s
kuidagi	k u i d a g i
kindel	k i n y
järele	E n e l e
tegu	t e x u
Rakvere	a k e r e
väike	v 3 i k e
Lehte	e h t e
peaksid	p e a k S i d
vist	v i s
näeb	n 3 e
käigus	k a i g u s
Edgar	d g a r
Ilves	l i N m 3 s
jääda	h 3 d a
piisavalt	p i i s a b a l t a s
saama	s a m a
aastaga	a s t a g a
mööda	m o  d a
lõpus	l o p u s
eelkõige	e l k o i k g e
milles	m i l l e
paar	p a r
oodata	d a t a
minema	m i n i m a
tänaval	t 3 n a b a l
Meil	e i l
võitis	v o i t i s
üha	3 a
heaks	h e a k
samal	s a m a l
jõudis	h o u d i s
maksta	k s t a
koht	k o h
terve	t E r v e
teel	t e
eesmärk	e s m 3 r
maa	m a 7 a
Reformierakonna	i f o r m i e r a k o* n a
kust	k u s
riigis	r i i g i s
järgmisel	E n g C u w e l
mehed	m e h e d
nimel	n i m e l
inimestele	i n i m e s t e a
lugeda	g e d a
pakkuda	p a k d a
siia	s i a
Nõustun	n a u s t u n
avaldan	a b a l d a n
Või	o i k
kommenteerimistingimustega	k o m e n t e l i m i s t i N i m u s t e g a
käinud	k a i n u d
tundub	t i
hakkas	h a k
otsuse	c u s e
suvel	s u b e l
peaaegu	p e a e x u
esimehe	e s i * e
tunnistas	t u n n i s t a s
võimalust	v o i m a l u s
Kõige	n a i g e
vahendab	v a h e n d a b
muutunud	m u t u n u d
süüdi	s 3 3 d i
andmetel	a nd~ m e t e l
riikide	r i T i d e
Nagu	a g u
Vabariigi	a b a r i i g i
kõike	k o i k k e
seega	s e x a
Jumala	u m a l a
lapse	l a p s e
viimasel	v i i m a s
seaduse	s e a d u s e
elus	e l u s
meelde	m e e l d e
aitab	a y t a b "
hakkavad	h a k a v a d
kirjutas	l w a t t o s
kellele	k e l l e l e
suutnud	s u t t n u d
suuda	s u d a
Eks	k
ringi	r i N i
soovib	s o v i
asjad	a s a q
Urmas	r m a s
avatud	a b a t u d
otsus	c u s
nõus	n u u s
kellel	k e ly~
noorte	n o r t e
järjest	E n h s d a
aastaks	a s t a k
tulevikus	t u l e v i k u s
ühel	3 h e l
peal	p e a l
Pärast	r i e s d a
teed	t i 3 d
elada	e l a d a
kümme	k 3 m
riiki	r i i k i
silma	s i l m a
võetud	v o e t u d
seoses	s e o e
uuesti	u e s t i
muu	m u
linnas	l i n t 3 s
saame	s a m e
oluliselt	o l u l a s l 3
vajab	v a a b "
juhi	x u h i
sinu	s i n u
võis	v o i s
alusel	a l u s
endiselt	e nd~ a s l 3
jäävad	h 3 v a d
ajaks	s u
peame	p e a m e
pidevalt	a t p i r a l
eelnõu	e l n o* u
vara	v a r a
lapsi	l a p s i
Oma	m a
Tiit	i
mõttes	m o t t e
rahvast	r a h v s d a
pressiesindaja	p r e s  e s i n d a h a
Eile	a l
saadud	s a a d u d
teab	t e a b "
uued	u 3 d
Kärdla	r i e d l a
põhjust	p o xy~ s d a
soovi	s o w i
pidas	p i d 3 s
jätta	x o t t a
vahele	v a h e l e
algab	a l g a b "
ühtegi	3 nth$ e g i
oska	o s k a
laupäeval	l a u p 3 7 p i r a l
kuud	k u u d
Nad	a d
projekti	p t o n o x e k t i
teema	% t e m a
võimalusi	v o i m a l u s i
reedel	r e n d
nime	n i m e
linn	l i n t
sõitis	s o i t i s
tahavad	t a h a v a d
esimest	e s i S
selgub	s e l g u b
Res	m 3 s
tehti	t e h t i
näinud	n 3 i n u d
probleem	p l o b l a e m
probleeme	p l o b l a e m e
pealt	p e a l t a s
aastast	a s t s d a
otsa	c a
Soomes	o 8 i m 3 s
aastas	a s t o s
eestlased	E k 3 n C a s 3 d
muidu	m u i d u
korras	k o r a s
liikmed	l i i k m e d
nelja	n e l j a
tunne	t u n n e
laps	l a p
leidnud	L e i d n u d
külas	k 3 l a
toetust	t o e t u s
isa	i s a
ammu	a m m u
uute	u t e
käes	k a m 3 s
Tegelikult	e g e l i k r u
Mul	u l
mõtet	m o e th~
viie	v i i e
parim	p a r i m
mõelda	m o e l d a
Jaan	a n
nemad	n e m a d
puudub	p u d u b
algusesse	a l k i k 3 s a
esitatud	e s i t a t u d
selliseid	s e m u S z o i d
pakub	p a k u b
kaua	k a u a
valimistel	v a l i m i s t e l
viimane	v i i m a n e
lähevad	l E h t i p i r a d
teatud	t e a t u d
nentis	n e n t i s
pere	p e r e
Eestit	e s t i
kirja	l j a
aastatel	a s t a t e l
jõuab	h o u a b "
kuulub	k u l u b
sees	s e s
paneb	p a n e
olukorda	o l u k o r d a
kõrvale	k o i r v a l e
kedagi	k e d a g i
sageli	s a g e l i
võimaluse	v o i m a l u s e
tekkinud	t a k i n u d
avaldas	a b a l d 3 s
luua	l u a
rahul	y a w a
Küll	l
Reformierakond	i f o r m i e r a k o n d i
eestlaste	E k 3 n C a s t e
peetud	p e e t u d
ühes	3 h e s
mõista	m o i s t a
Siin	i n
Ukraina	k r a i n a
koostööd	k o s u k h a t 3 d
lihtne	l i nth$ n e
selgus	s e l g u s
tegid	t e g i d
valida	v a l i d a
juttu	x u t t u
Juba	u b a
lastele	l a s t e a
järgmise	E n k i m i s e
võtma	v n a k m a
suured	s u r e d
toime	t o i m e
jätkub	x o t k u b
näe	n 3 e
hulk	h u l
pani	p a n i
tundi	t u nd~ i
Eestile	e s t a l
kaheksa	k a h e k s a
tõdes	t e m b
kodu	k o d u
ettevõte	e t u s n a k e
pandud	p a nd~ u d
Leedu	e n d u
kinnitusel	k i n a n i t u s
käest	k a a* 7
pühapäeval	p 3 a p 3 7 p i r a l
keelt	k e
viga	v i g a
pärit	p 3 7 r e
endine	e nd~ i n e
miljardit	l gy~ o n
sügisel	s 3 Ng~ i S
Viljandi	i l y a nd~ i
nõuab	n u u a b "
Jõgeva	o* N g e v a
kasvanud	k a s v a n u d
koostöö	k o s u k o
tuntud	t u n t u d
Sest	e s t
oleksid	o l e k s i d
koolis	o l i s
Publica	u b l i k a
vaba	v a b a
öelnud	o  n u d
kahjuks	k a h b a l
Peeter	e th~ E r
tahaks	t a h a k
meest	m e k 3 n C
sõita	s o n e n
käia	k a i a
ükski	3 k u r
President	r e s i d e n t
olin	o l i n
juhtus	x u h t u s
meelest	m e e l e s
edaspidi	e d a s p i d i
homme	h o m
vastavalt	v a s t a v a l
Selleks	e l l e k
olete	o l e t e
Euroopas	u r o p a s
kinnitab	k i n a n i t a b "
hoone	h o
aastate	a s t a t e
hulka	h u l
riigile	r i g  l
tõsta	t e m s t a
teatel	t e a t e l
teisi	t e i s i
tihti	t i e n t i
Venemaal	i n i m a l
vastas	v a s t o s
Indrek	ndr$ e k
mõeldud	m o e l d u d
Jumal	u m a l
kohus	k o h u s
Möödunud	o  d u n u d
müüa	m 3 3 a
üksnes	3 k s n i
ellu	i L u
omanik	o m a n i k
esindaja	e s i n d a h a
rahvale	r a h v a l e
elab	e l a b
Äripäev	r i p 3 7 e v
aidata	a i d a t a
alkoholi	a l k o h o l i
Sellest	i L a* 7
seekord	s e Nw~ 3 i n
otse	c
punkti	p u n k t i
sellised	s e m u S z o
tänava	t 3 n a v a
mõte	m o t e
põhjal	p o q
abil	a b i l
kevadel	k e v a d
hakanud	h a k a n u d
Saaremaa	a r e m a
usu	u s u
mängu	m a g 3 l
Andrus	n d r u s
ELi	i
kirik	k i r i k
eelarve	e k "  v e
suunas	s u n 3 s
võimalikult	v o i m a l i k r u
tõenäoliselt	t e m e n 3 o l a s l 3
Tallinn	a ly~ i n n
Ega	g a
teisel	t e i s
justkui	x u s t k u i
kohalike	k o h a l i k e
meeste	m e k 3 n C
seisab	s e i a b a
Ehk	h
selgeks	s e l g e k
tunda	t u n d a
lubas	l u b a s
Kindlasti	i n d l a s t i
ühte	3 nth$ e
neljapäeval	n e l gy~ p 3 7 p i r a l
suurema	s u r E m a
jätkab	x o t k " a b "
Iga	g a
ettepaneku	e t p a n e k u
kümne	k 3 m n e
tekib	t a k i
jäid	x o i d
siiani	s i a n i
pisut	p i s u t
summa	s u m a
esimesel	e s i S e l
lasta	l a s t a
ometi	e t i
partei	p e r t e i
paari	p a m i
Muidugi	k i d u g i
arvan	a r w a n
kohtus	k o h t u s
loomulikult	l o l i k r u
omavalitsuste	t a v a l i c u s t e
tasub	t a s u b
Hiina	i i n a
Jaak	a k
esitas	e s i t a s
lubatud	l u b a t u d
muutub	m u t u b
saata	s a a t a
käivad	k a i v a d
tõsiselt	t e m n C a s l 3
tohiks	t o h i k
kõigil	k o i k g i l
Rein	e i n
Nende	e n d e
Liit	i
No	o
meeldib	m e e l d i
vajalik	v a q
arvata	a r v a t a
tasu	t a s u
Ent	nt~ a
peeti	p e e t i
direktor	d i r e k t o r
milline	m i l l i n e
Oleme	l E m e
kavatseb	a v a c e
meedia	m e n d i a
kasu	k a s u
korra	k o r a
esitada	e s i t a d a
tasemel	t a s e m e l
Kallas	a ly~ a
Veel	e k "
kel	k e l
teatati	t e a t a t i
keele	k e l e
selgelt	s e l g e l
varastati	v a r a s t a t i
mõju	m o C u
omal	t a l
palka	p a l
küsida	k 3 s i d a
korraldada	k o r a l d a d a
esindajad	e s i n d a q d
kohaliku	k o h a l i k u
võimu	v o i m u
last	l s d a
naiste	n a i s t e
Väga	3 g a
näidata	n 3 i d a t a
nendega	n e n d e g a
Siim	i m
arvab	a r v a b
jätkuvalt	x o t k u b a l t a s
valitud	v a l i t u d
Isegi	s e N i
mistõttu	m i s t n a k t u
saatis	s a t i s
kadunud	k a d u n u d
algul	a l g u l
Kuressaare	u r e s  a r e
igati	i g a t i
Paraku	a r a k u
võeti	v o e t i
lepingu	l e p i Ng~ u
töötajate	h a t 3 t a j a t e
näitas	n 3 i t a s
juhid	x u h i d
Energia	n e r g i a
aprill	a p r i l
suurim	s u r i m
hiljuti	h i l h u t i
andma	a nd~ m a
naised	n a z o
jättis	x o t i s
Ansip	s i p
Postimehe	o s t i * e
Moskva	o s k v a
jõuda	h o d a
kohtu	k o h t u
loodab	l o d a b
õppida	n a p a t e
edu	n d u
ettevõtete	e t u s n a k e t e
seadus	s e a d u s
võiksid	v o i k s i d
raames	r a 8 i m 3 s
lõpuni	l o p u n i
Saksamaa	a k sw~ a
Ning	i N
töötab	h a t 3 t a b "
jutt	w a t t a
praegune	p r a e g u n e
asub	a s u b
rõhutas	3 w t o s
hinnad	h i n t i
millele	m i l l e l e
teises	t e z o s
jää	x o
esmaspäeval	e s s p 3 7 p i r a l
Kahjuks	a h b a l
tarvis	t a l v i s
Enne	a n n e
Priit	r i i t
mitmeid	m i t m e i d
protsendi	p r o c e n d i
Hea	e a
lubab	l u b a b "
elavad	e l a v a d
kaotas	k a o t o s
endast	e n s d a
sain	s e i n
tegevust	t e g u s i k
töötajad	h a t 3 t a q d
Tänavu	3 n a b u
Seetõttu	e th~ n a k t u
pannud	p a n n u d
Eriti	r i t i
Taavi	a v i
idee	d E r e
kommentaare	k o m e n t a r e
toetab	t o e t a b "
piiri	p i i r i
öösel	o  e l
Just	u s
mingeid	m i N e i d
arvu	a r b u
hinna	h i n n a
linnavalitsus	l i n t a v a l i C u s
mõlemad	m o l 3 m a d
kõrge	k o i r g e
tegevus	t e  b u s
poliitika	p o l i i t i k a
Loomulikult	o l i k r u
algas	a l x a s
majanduse	C i d u s e
olgu	o l g u
info	i n f o
Saksa	a k s a
kasuks	k a s u k
teemal	% t e m a l
avaliku	a b a l i k u
paremat	p a r e m a t
mujal	m u h a l
tegevuse	t e  b u s e
Ameerika	m e e r i k a
kolmapäeval	k o l m o p 3 7 p i r a l
majas	C i
kutsus	k u c u s
suuri	s u r i
Kahju	a h C u
dollarit	d o l l a r i t
sellepärast	s e l l e p r i e s d a
töötaja	h a t 3 t a h a
Eelmisel	e l C u w e l
suhteliselt	s o k i a l a s l 3
Mitte	i t t e
kavas	a v a s
peetakse	p a  k s e
ehitada	e h i t a d a
tõepoolest	t e m e p o l e s
tähtis	t E h t i
ainus	a i n u s
sõltub	s o l t u b
suudab	s u d a b
Sa	a
linnavalitsuse	l i n t a v a l i c u s e
leiti	L e i t i
vaatamata	v a t a m a t a
ühiskonna	3 i s k o* n a
kirjas	l j a s
teistele	t e i s t e a
jätkata	x o t k a t a
millal	m i l l a l
alustas	a l u s t o s
Kogu	o g i u
omavahel	t a v a h e l
suuremat	s u r E m a t
tulid	t u l i d
asuva	a s u b a
ülikooli	l i k o l i
antakse	a n t a k s e
sugugi	s u g u g i
võetakse	v o  k s e
enamik	e n a m i k
Margus	a r g u s
olukorras	o l u k o r a s
põhjus	p o h u s
soov	s o N
nädalavahetusel	n 3 d a l a v a h e t u s
Kalev	l E f
paiku	p a i k u
ulatuses	u l a t u e
kirjutada	l xy~ d a 7 t a d a
seitse	s e i 5 u
toonud	o u d
aktsia	a k c i a
viimastel	v i i m a s t e l
teile	t e i l e
praeguse	p r a e g u s e
kasvas	k a s v a s
kasvab	k a s v a b
Teie	e i e
kanda	k a n d a
aastapäeva	a s t a p 3 7 e v a
Mulle	u l
inimestel	i n i m a* 7
toetada	t o e t a d a
hoolimata	h o l i m a t a
tavaliselt	t a v a l a s l 3
vald	v a l
vastust	v a s t u s
saan	s a n a
Kommentaarid	o m e n t a  i d
eks	e k
valimisi	v a l i m i
minister	m i n i s t e r e n
elama	e l a m a
laenu	f e n u
Tarmo	a r m o
Jaanus	a n u s
endise	e nd~ i s e
koguni	k o g u n i
polegi	p o l e g i
probleemi	p l o b l a e m i
paika	p a i k a
keeles	k e e l e
tugev	t u x e v
Seal	e a l
anti	a n t i
inimesele	i n i S e l e
eraldi	e r a l d i
paljude	p a l b u d e
ühiskonnas	3 i s k o
teisipäeval	t e i s i p 3 7 p i r a l
tore	t o r e
võidu	v o i d u
alustada	a l u s t a d a
esialgu	e s i a l g u
vaatama	v a t a m a
Sama	a m a
klassi	k l a s s i
Ilmselt	l m s l 3
kellegi	k e l l e g i
lähe	l 3 e
tõusis	t e m u s i s
lähedal	l E h t i e d a l
naise	n a i s e
Jõhvi	n a h v i
liikme	l i i k m e
paraku	p a r a k u
plaanis	p l a y i a n i s
ilus	i l u s
sul	s u l
hukkus	h u k k u s
saaksid	s a k s i d
infot	i n f o t
sisuliselt	s i s u l a s l 3
anna	a n n a
välismaalt	v 3 C i w a l t a s
mail	m a i l
LehtTeisipäev	e h t e i s i p 3 7 e v
käima	k a i m a
Martin	i t i n
Narvas	a r v a s
mitmed	m i t y m 3 d
arvestada	a r b e s t a d a
pruugi	p r u g i
alt	a l t a s
huvitav	h u b i t a
sõitnud	s o i t n u d
Meri	e r i
tekkis	t a k i s
Viru	i r u
esile	l
peamiselt	p e a b e * a s l 3
otsib	c i
Pärnus	r i e nd~ u t i a
noori	n o r i
poliitikud	p o l i i t i k u d
olles	o l l e
kontrolli	k o nt~ r o l l i
siit	s i i t
tulema	t u l 3 m a
linnavolikogu	l i n t a v o l i k o x u
soovivad	s o v i v a d
Hendrik	e n d r i k
kuulda	k u l d a
noor	n o r
kellega	k e l l e g a
mingil	m i N i l
mulje	l e
eel	e k "
üheksa	3 h e k s a
erinevate	r i n e b E t e
märtsil	m a g r c i l
Tõnis	n o* n i s
hakatakse	h a k a t a k s e
veebruaril	v e r e b r u a r i l
varsti	v a r S t i
ülejäänud	u l e y 3 n u d
osanud	o s a n u d
Valitsus	a l i C u s
arvamust	a r v a m u s
miljardi	m e L m a x d i
pean	p e a n
millised	m i l l i s 3 d
Nimelt	i m e l
enamasti	e n a m a s t i
seejärel	s e E n
sulle	s u l
mõtlema	m o L e m a
nähtud	n E h t i m a u d
Uus	u s
kutsub	k u c u b
maakonna	m a k o* n a
keeruline	k e e r u w l i n e
peagi	p e a g i
annavad	a n n a b a d
osaleda	o s a l e d a
vanemad	v a n i m a d
alguse	a l k i s e
temaga	t e m a g a
Lääne	3 n e
Juhan	a a n
olukorra	o l u k o r a
tulemus	t u l e m u s
väikese	v 3 i k e s e
üheks	3 h e k
aina	a i n a
küsimusele	k 3 b u p u s e l e
viib	v i
võime	v o i m e
haiglasse	h a i g l a s s e
poolest	p o l e s
tõusnud	t e m u s n u d
töötanud	h a t 3 t a n u d
võimalused	v o i m a l u s 3 d
maal	m a l
korraldatud	k o r a l d a t u d
korraga	k o r a g a
loodud	l o d u d
luba	l u b a
hakka	h a k
Mati	a t i
arvas	a r v a s
surma	s u r m a
eesmärgiks	e s m 3 r g i k
tulu	t u l u
silmas	s i l m o s
Ligi	i g i
Vaata	a t a
riigid	r i i g i d
eri	e r i
igaüks	i g a 3 k
hooaja	h o a h a
lõpetada	l o p e t a d a
pead	p e a d
