të	t 3
parlamentare	p a l a m e n t a r e
Presidentit	r e s i d e n t i
dije	d i j e
shtetet	S e th~ e th~
kete	k e t e
grup	g r u p
burg	b u r
rritet	r i t e
ngjarje	N m a x e
Vetëvendosje	e y f e n d o s e
mënyrën	m E 5 r e n
armë	a r m 3
bëni	b 3 n i
gjendjen	gy~ e n d h e n
Haradinaj	a r a d i n a x
Maqedoninë	a q o " w i
dhjetor	dh~ E t o r
kane	k a n e
mbahet	b a h e t
thekson	th~ e k o*
fëmijëve	f b i T a v e
Europian	u r o p i a n
pret	p r e t
Amerikës	m e r i k 3
emër	e m E r
fushën	f u S a n
përhapjen	a p i n  ph~ i
sukses	s u k e
del	d e l
ime	i m e
caktuar	k a k t u a r
asnjëherë	a s T a i* 3
quajtur	k a h t u r
nivel	n i v e l
Bashkimit	a S i k i m i t
shëndetin	S 3 n d e t i n
Covid	o v i d
ditësh	d i y S
Këshillit	e s i l l i t
Pasi	a s i
Avdullah	v d u y a h
pushtet	p u S e th~
takimit	t a k i m i t
politikë	p o l i t i k 3
zonën	z o n a n
kthehet	k th~ e h e t
tash	t a S
pune	p u n e
Madje	i j e
djeshme	a j i  m e
qoftë	q o f t 3
çuar	a r i
Pse	s e
doli	t o r i
virus	v i r u s
duhen	d u h e n
luftë	l u f t 3
besoj	b e s o x
dyja	o j a
plotësisht	p l a l i y s i sC~ t i
familjen	b o m e L i
lokale	l o k a l e
cilëve	i l 3 v e
kërkoi	k 3 r k o i
përfunduar	a p i r f u n d u N a r
shtëpinë	S t 3 p i
filloi	b i l l o i
organizuar	u r g a n i z u a r
shkurt	S  r
personale	p e r s o n a l e
historinë	h i s t o r i
Jemi	e m i
gjendja	gy~ a j a
gjërat	gy~ 3 n a
realizuar	r e a l i z u a r
dyshuar	o 3 r
mbrojtur	mb~ r o h t u r
private	p r i v a t e
pandeminë	p a n d e m i
patur	p a t u r
ekonomisë	e k o n o m i s 3
larguar	l a r g u a r
ish	i S
zgjedhore	z gy~ e d o r e
histori	h i s t o r i
Kina	i n a
Komisionit	o m i s i o n i t
megjithatë	a w a n b 8 a t 3
aktuale	a k t u a l e
muajit	m u a j i t
italiane	i t a l i a n e
plot	p l o t
parti	p e r t i
tregoi	t r e g o n
Biden	d e n
lumtur	l u m r u t a
Prishtinës	r i S t i
dëshiron	d e s i l u n
cilit	i l i t
im	i m
mbështetjen	b e s th~ i
rëndësi	r 3 n d e s i
huaj	w a x
mbajnë	b a x n E
Shkodër	h o d 3 r
mban	b a n
krizës	k r i z 3
përcjell	a p i r Sx~ "
vrarë	v r a r 3
javën	y a v E n i
pacientëve	p a k y v e
shtesë	S t e s 3
nëntor	n 3 n t o r
rritjen	r th~ i
shumica	S u m i k a
tërë	y r 3
tuaja	t u a h a
fillimisht	b i l l i m i sC~ t i
Instituti	s t i t u t i
emisionin	e m i s i o n i n
vendosi	f e n d o s i
Turqia	u r q i a
partisë	p e r t i s 3
Mustafa	u s t a f a n a
shpallur	S p a L u r
datë	d a t 3
shtëpia	S t 3 p i a
sistemin	s i s t e m i n
qëndrojnë	q 3 n c
maska	s m a s k a
përballë	a p i r b a ly~ 3
shifrat	S i f n a
mijëra	m i T a r a
evropiane	p i r a z e n u
dikush	d i w o i
rënda	r 3 n d a
aspak	a s p a k
shtetin	S t e t i n
mjekët	m h k 3
rajon	r a h o n
luajtur	l u a h t u r
marrëveshjes	m a* r 3 e S i
miratuar	m i r a t u a r
bënte	b 3 n t e
lojtarët	l o h t a r e
dita	d i t a
serb	s e r
ujë	u s 3
japë	y a p e
frikë	f r i k 3
ndryshuar	ndr$ 3 r
Telegrafi	E l E g r a f i
Shkup	h k u p
periudhën	p e r i u d a n
fat	f a t
postimi	p o s t i m i
qendër	E nd~ 3 r
Perëndimor	e r 3 n d i m o r
ekonominë	e k o n o m i
faktin	f a k t n
prandaj	p r a n
hënën	h 3 n 3 n
fushë	f u e
shtetërore	S y r o r e
Madhe	a d e
gusht	g u sC~ t i
mbrojtëse	mb~ r o h y s e
vendos	f e n d o s
jetojnë	h e t o x n E
rregullat	r e g u y a t
formë	f o r m 3
sistemit	s i s t e r e p e
thjeshtë	th~ h S t 3
Kreu	r E u
mediave	m e dy~ a b e
merret	m e r
mundshme	nd~ S m e
njëri	T a r i
hyrë	h 3 r 3
pyetje	py~ o jw~ e
gjithnjë	gy~ i th~ nj~ 3
karantinë	k a r a n t i n E
krahasuar	k r a h a s u a r
partive	p e r t i v E
kryeministër	k r e m i n i S y r
ndërruar	nd~ 3 r a r
partitë	p e r t i t 3
Kush	S
hedhur	h e d u r
ekziston	e k a t o*
pyetur	py~ e t u r
ligj	l i g
takon	t a k o n
pjesa	ph~ 3 s a
ligjin	l i gy~ i n
zyrtar	z r t a r
radhë	r a d e
Turqisë	u r q i s 3
presin	p r e s i n
isha	i s a
radhës	r a d e
detaje	d e t a e
ndërkombëtar	nd~ 3 r m i b 3 a r
tetor	t e t o r
mjekësore	m h k e s o r e
opozita	L o k  a
Hoxha	o* h a
Ndryshe	d r e
merren	m e r
shtete	S t e t e
greke	g r e k e
Instagram	s t a g r a m
problemet	p l o b l a e m
zhvillohet	z h v i l l o h e t
pritur	p r i t u r
mjekësor	m h k e s o r
Lulzim	u l z i n h o
vota	v o t a
nivelin	n i v e l i n
spitalin	s p i t a l i n t u
pacientët	p a k y
dimë	d i m 3
marrëveshjen	m a* r 3 e S i
moshën	m o e n
mbarë	b a r 3
mbrojtje	mb~ r o h jw~ e
plan	p l a n k o
Ballkanit	a ly~ k a n i t
vdekjes	v d e k i
Serbi	e r b i E
Prej	r e y o
ulur	u l u r
vijë	v i y 3
dyshohet	o C o h e t
sjell	s a q "
pothuajse	p o t w a s e
Çdo	d o
përpjekje	a p i r ph~ Nw~ e
shëndetit	S 3 n d e t i
kalon	k a l o n
kishim	k i S i m
gjerman	gy~ e r m a n
detyruar	d e t r u a r
bizneseve	b i z n e s a i v e
fundi	f u n d i
Partia	i t i a
dënuar	d 3 n u a r
forta	f o r t e
procesi	p r o k e s i
qëndron	q 3 n d r o n
gatshëm	g a C e m
mbështetur	b e s t e t u r
testuar	t e s t u a r
vetem	f e t e m
ndjekur	n d h e k u r
konferencë	q o n i k f m i n C i 3
bie	b i e
shtatë	S t a t 3
takimin	t a k i m i n
ndërmjet	nd~ 3 r m
bazuar	b a z u a r
kërkesë	k 3 r k e s 3
rasti	r a s t i
anën	a n a n
rinjtë	r i nj~ t 3
Ja	a
datën	d a t e n
personi	p e r s o n i
siguri	s i g u r i
hapjen	h a p i
anëtare	a n 3 a r e
forcat	f o r k a t
dite	d i t e
humbje	h u mb~ e
Bardhë	a r d e
përgatitur	a p i r g a t i t u r
mënyra	m E 5 r a
rezultatet	r d u l t a t e
paralajmëruar	p a r a l a h m E r u a r
Evropë	v o p e
ekipin	r p i n
zonat	z o n a t
përgjegjësi	a p i r gy~ e gy~ e s i
vazhduar	v a z h d u a r
sistemi	s i s t e m i
njeriut	n o x e r i
fshatin	f S a t i n
kalojnë	k a l o x n E
ngjarjes	N m a x i
kompani	m i p a n i
vjetër	v h y r
nisi	n i s i
bindur	b i d u r
skuadra	s k u a d r a
Twitter	w i t t e r
Mirëpo	i r 3 p o
vijon	v i j o n
Kinë	i n E
goditur	g o d i t u r
italian	i t a l i a n
kombëtar	m i b 3 a r
mesazh	m e s a z
sapo	s a p o
Italisë	t a l i s 3
thellë	t h i L 3
gjerë	gy~ e r 3
premten	p r e m t e n
dashuri	d a S u r i
ndryshime	ndr$ y S i m e
qytet	qy~ e th~
morën	m o r e n
ua	u a
duart	d u a r
vijim	v i y i m
menduar	m e n d u a r
Artikulli	r t i k u l l i
klubit	k l u b i t
palët	p a l 3
ekipi	r p i
ndryshim	ndr$ y S i m
shërbimet	e b i r e  e
kontroll	k o nt~ r o l o
Sidoqoftë	d o x o f t 3
Ato	t o
Durrës	u r 3
Maqedonia	a q e d o n i y a
fizike	f i z i k e
Punëve	u n E v e
Sepse	a p s e
fitore	f i t o r e
trajneri	tr~ a x n e r i
zonë	z o n E
zona	z o n a
Greqia	r E g w i a
dispozicion	d i s p o  i o n
takimi	t a k i m i
hapura	h a p u r a
vetme	f e d m e
çështjen	e s th~ i
globale	g l o b a l e
familjet	b o m e L
zhvillimin	z h v i l l i m i n
cilës	i l 3
Europë	u r o p e
shteteve	S t e t e v e
vështira	v E n S t i r a
lëvizje	l 3 i z y a r a
shtëpisë	S t 3 p i s 3
vdekjeve	v d e k k u s k
momente	m o p i N t e
vajza	v a c a
shkojë	S k o x 3
Zaev	a e v
lajm	l a m
përballet	a p i r C i C l e t
dinë	d i
tutje	t u t j e
dialogut	d i a l o g u t
Kuvendi	u w e n d i
lindur	l i d u r
Krasniqi	r a s n i k i
vazhdimisht	v a z h d i m i sC~ t i
njeriu	n o x e r i u
drejtësisë	d r e h y s i s 3
muajt	m u a
Ndërkaq	d 3 a q
ndeshjet	n a m a k
Prokuroria	r o k u r o r i a
dialogun	d i a l o g u n
mësuar	m E t a r i
projekt	p t o n o x e k
simptoma	s i m p t o m a
Kuvend	u w
vjeçare	v  a r e
rolin	r o l i n
paratë	p a r a t 3
ligji	l i gy~ i
tërmeti	y s a y m 3 t i
Këshilli	e s i l l i
Mund	u n d
populli	p o p u l l i
Zoti	o t i
bota	b o t a
la	l a
marra	m a* r a
mbeten	mb~ e t e n
gjendet	gy~ e n d e t
Jashtme	a s k i m e
shton	S t o n
nxjerrë	! E r 3
Grenell	r e n "
fillojë	b i l 3
rajonin	r a x o n i n
veprim	f e p r i m a
drejtën	d r e h y n
Përveç	3 g a r 3
normale	n o r m a l e
ndryshimet	ndr$ y S i m e t
Ministrja	i n i s t r j a
bashkuar	b a S a kw~ a r i
kërkesa	k 3 r k 3 s a
respektuar	r E 8 p e n e k t u a r
historike	h i s t o r i k e
mbrojtjen	mb~ r o h th~ i
përqind	a p i r q i n d
skuadrës	s k u a d r e
kthehen	k th~ e h e n
Brendshme	r e n d S m e
ushtarake	u s k i a r a k e
mendon	m e n d o n
veta	f e t a
Shëndetit	h 3 n d e t i
hequr	h e k r
sektorin	s a q t o r i n
Para	a r a
punon	p u n o n
Kombëtare	b 3 a r e
presidentin	p r e s i d e n t i n
sezon	s e z o n
Përgjithshëm	3 r gy~ i t e m
falë	f a l 3
Prizrenit	r i z r e n i t
Mbrojtjes	b r o h th~ i
Financave	s a m a o
kufijtë	k u f i j t 3
paguar	p a x 3 r
vaksina	v a k s i n a
grupi	g k i n
zyrtarisht	z r t a r i sC~ t i
paraqitur	p a r a q i t u r
leje	j e
serioze	s e r i o z e
letër	l E y r
Kim	i m
ndërtuar	nd~ 3 r t u a r
turk	t u r
