de	d e
veiga	f e i g a
segunda	s e g u n d a
tiene	t i E n E
verbo	e r b o
chunto	w a n t o
obra	o b r a
troban	t r o b a n
tipo	t i p o l a
Ta	a
bell	b e l o
Actualment	k t u a l m E n t
rei	r e i
quasi	k a s i
zonas	z o n a s
Entre	t r e
cinta	T i t a
parolas	p e r o l a
arredol	m a n e d o l
conchunto	r o n ch~ u n t o
personas	p e r s o n a s
punto	p u n t o
color	k o l o r
especies	e s p E kh~ a m e* i e
este	e s t e
ixe	i S 3
puestos	p u e s t o s
dita	d i t a
día	d i a
estioron	e s t i o r o n
vegadas	f e g a d 3 s
común	k o m u n
partir	p e r t i r
Estió	s t i o
Quan	u a n
toponimo	t o p o n i m o
Las	a s
Santa	a n t a
primers	p r i *
val	v a l
conoixito	r o n o i S i t o
grupos	g r u p o s
man	m a n t a
uns	m i a
carrera	k a r e r a
tiempos	t i e m p o s
municipio	m u n i C i p i o i
Son	o n
Tien	i e n
ni	n i
textos	t e S o s
Asinas	s i n a s
proceso	p r o k e s o
quantas	k a nt~ a s
esta	e s t a
garra	g a r a
palabras	p a l a b a s
prencipal	p m i n C i i p a l
familia	f a m i l i a
gosan	g o s a n
segundo	s e g u n d o
significa	s i g  k a
ciudatz	i u d a c
principal	p r i n k i p a l
unas	u n a s
vegada	f e g a d a
considera	k o s i d e r a
hue	h u e
pp	p p
De	e
debant	d e b a nt~ a y
importants	i m p o r t a n c
anyadas	5 a d 3 s
isla	i s l a
siempre	s i 3 mp~
fuoron	f w o k u
popular	p o p u l a r
vegatas	f e g a t a s
qualsiquier	k a l s i k i e r
bella	b e l a
li	l i
presenta	p r e s e nt~ a
trobar	t r o b a r
porque	p o r kw~ i
presencia	p r e s i n C i w a
The	e
actual	a k t u a l
función	f u n C i w o n
habió	h a b i o
prencipals	p m i n C i i p a d
posición	p o s i i o n
muerte	m u e r t e
nuevo	n u u s o
unidatz	u n i d a c
catalán	k a t a l a n
causa	k a u s a
cuerpo	kw~ e r p o
denominación	d e n o m i n a g a o n
especie	e s p E kh~ a m e* i e
fendo	f e n d o
miembros	m i e mb~ r o s
primeras	p r i * a s
total	t a t a l
María	a r i a
chenero	C e n e r o
localidat	l o k a l i d a t
tierra	t i e r a
muller	l l e r
diferent	d i f e r e n t
obras	o b a s
serie	s e r i e
altaria	a l t a r i a
amás	a m a
anyo	a n y o
cal	k a l
gubierno	g u b i E a n o
p	p
propia	p r o p i a
va	v a
cintas	T i t o s
orichen	u r i E N
poco	p o k o
quatre	k a t r e
central	C E n tr~ a l
millor	m i l l o r
movimiento	m o v i m i e n t o
qual	k a l
alemán	a l 3 m a n
istos	i s t o s
materials	m a t e r i a l
natural	n a t u r a l
qualques	k a l s o X
treballo	t r e b a l o
antigo	a n t i g o
chent	C e n t
cultura	k u l t u r a
pueblos	p u e b l o s
Republica	e p u b l i k a
todas	t o d a s
zaguers	z a g e r
Francia	r a n C i w a
conoixita	r o n o i S i t a
cuenta	kw~ e nt~ a
epoca	a p o k a
sufixo	s u f i S o
tradicional	i t r i w C i w r o n a l
aragonesa	a r a g o n 3 s a
campo	k a m p o
medieval	m e d i e b E l
nuclio	n u k l i o
seu	s e u
km	k m
Amás	m a
atra	a t r a
occidental	T i d e n t a l
provincia	p r o v i n C i w a
actualment	a k t u a l m E n t
animals	a n i m a l
relación	r e l a i o n
destacar	d e s t a k a r
fillo	b i l l o
final	f i n a l
manimenos	n i m E n o s
mar	m a r
construcción	k o s t r u C a i o n
linia	l i n i a
presonas	p r e s o n a s
anque	a* k E
casas	k a s a s
politica	p o l i t i k a
Mientres	i e n t r e
an	a n
anglés	a N l e
fin	f i n
oficial	o f i h i a l
elementos	l E l E m E n t o s
hai	h a i
material	m a t e r i a l
palabra	p a l a b r a
teneban	t e n e b a n
atro	a t r o
naixito	n a i S i t o
reino	r e i n o
Teruel	e r
referencia	r e f e r e n C i w a
veyer	e w u r
cantidat	k a n t i d a t
da	d a
luz	% i s
colla	k o ly~ a
les	l e
oriental	u r i n t a l
Tierra	i e r a
cosa	k o s a
ixas	i S o s
libro	b r o
local	l o k a l
posible	p o s i b l e
present	p r o w o
uno	u n o
Seguntes	e g u n t e
alavez	a l a v e z
orichinal	u r i C i n a l
sierra	s i e r a
tenió	o
resta	r e s t a
zaguer	c a G i a
Casa	a s a
castiello	k a s t i 3 l o
dialecto	d i a l e k t o
es	m 3 s
guaire	g u a i r
nombres	n o mb~ r e
territorios	t e r i t o r i o s
Unius	n i u s
Yera	e r a
feba	f e b a
ixa	i S a
sola	s o l a
Pero	e r o
Universidat	n i v e r i d a t
decir	d e l
tierras	t i e r a s
Si	i
días	d i 3 s
evolución	e v o b e l i o n
interior	i n t E r i o r
medievals	m e d i e v a l
muga	m u g a
plantas	p l a y i t o s
president	p r e s i d e n t
antigos	a n t i g o s
cinco	i nC~ o
estructura	e s t r u k t u r a
redolada	r e d o l a d a
situación	s i t u a i o n
solo	s o l o
Estaus	s t a u s
capacidat	k a p a k i d a t
istas	i s t a s
sieglos	s i e g l o s
dialectos	d i a l e k t o s
importancia	i m p o r s i k a n C i w a
lexico	l E n  o
propio	p r o p i o
Editorial	d i t o r i a l
Mapa	a p a
San	a n
base	b a s e
pueblo	p u e b l o
nacional	n a g a o n a l
producción	p r o C u k i o n
rechions	r E c  o* s
siga	s i g a
significau	s i g  k a u
situato	s i t u a t o
superior	s u p e r i o r
planta	p l a y i nt~ a
ser	s e r
costa	k o s t a
dicen	d i k e n
miembro	m i e mb~ r o
sino	s i n o
Europa	u r o p a
camín	k a m l e
chicota	c " i k o t a
clima	k l i m a
existe	" i s t e
griego	g r i e g o
menor	m E n o r
nueva	n u e v a
pasau	p a s a u
dreito	d r e i t o
edición	p i e d w C i w r o n
pocos	p o k o s
charra	C a r a
km²	k m a
Nacional	a c i o n a l
baixa	b a i x a
caracteristicas	k a r a k t E r i s t i k a s
dezaga	d e z a g a
municipios	m u n i C i p i o s
nunca	n u C a
toponimos	t o p o n i m o s
usos	u s o s
variedat	v a r i e d a t
antiga	a n t i g a
desembolique	d e s e m b o l i k E
social	s o k i a l
zaguera	z a g e r a
Este	s t e
Sindembargo	i n d e m b a l i m a g o
Titán	i t E n
actuals	a k t u a d
adintro	a d i t r o
conoixiu	r o n o i n u
islas	i s l a
musica	s i k a
tipos	t e p o s
totas	t a t o s
variant	v a r i a nt~
forman	f o r m a n
meya	m e y a
podría	p o ndr$ i a
villa	v i l l a
Consello	o* s e l o
amán	a m a n
antis	a n t i s
construyíu	k o s t r u y i u
dicir	d i k i r
ell	E l o
equipe	e k i p e
latina	l a t i n a
meses	S e
variants	v a r i a n c
versión	e r b o n
Antiparte	t e p i t e
José	o s e
chicotz	c " i k o c
feban	f e b a n
formación	f o r m a c i o n
igual	i g u a l
premios	p r e m i o s
presentan	p r e s e n t a n
recibe	r E c i b e
romances	r o m a n C i m 3 s
alta	a l t a
canta	k a nt~ a
comarca	k o m a r k a
ells	i L
parla	p a l a
termins	t E r m i n
tota	t o t a
tracta	tr~ a k t a
trobamos	t r o b a m o s
cabo	k a b o
deriva	d e r e
dreita	d r e i t a
espacio	e s p a i o
influencia	i n f n i n C i w a
mayo	m a y o
paso	p a s o
prencipió	p m i n C i w k o
realidat	r e a l i d a t
Ha	a
Imperio	p e r i o
Nueva	k i k " v a
creyar	k r e y a r
mullers	l l e r
Isto	s t o
autor	a u t o r
buena	b u e n a
condato	r o n d a t o
formato	f o r m a t o
idioma	d i o m a
televisión	t e l e i s i o n
van	v a n
Barcelona	a r k e l o n a
Fue	u e
Reino	e i n o
autors	a u t o r
batalla	b a t a ly~ a
conoixida	r o n o i S i d a
francesa	f r a n C i 3 s a
internacional	i n t E r n a g a o n a l
libel	b e l
nº	n
pas	p a s
recibió	r E c i b i o
representa	r e p r e s e nt~ a
temperatura	t e N p e r a t u r a
tornó	t o r n o
Bells	i L
conoix	r o n o i S
desambigación	d e s a m b i g a i o n
ella	m u S
temporada	t e m p o r a d a
facioron	f a i o r o n
fuent	f u e n t
italián	i t a l i n a n
piedra	p i e d r a
prencipalment	p m i n C i i p a l m E n t
quatro	k a t r o
cultural	k u l t u r a l
heban	h 3 b a n
planeta	p l a y i n e t a
plegar	p l e 7 a r
Gubierno	u b i E a n o
Historia	i s t o r i a
auguas	a u g u a s
chicot	c " i k o t
condicions	r o n d i i o* s
fillos	b i l l o s
haber	h a b e r
laco	l a  o
persona	p e r s o n a
poblacions	p o b l a n k i o* s
practica	p r a k t i k a
relativament	r e l a t i w a* m E n t
siguient	s i g i n t
tropas	t r o p a s
Gran	r a
Val	a l
chicotas	c " i k o t o s
clase	k l a s e
consideran	k o s i d e r i
disco	d i s k o
escrito	e s k r i t o
sociedat	s o k i e d a t
sía	s i a
vegata	f e g a t a
Ilesia	l e s i a
Per	e r
aC	a
diferencia	d i f e r e n C i w a
dirección	d i r E C i o n
escuela	e s k u e l a
especial	e s p E kh~ a m e* i a l
estilo	e s t i l o
lista	l i s t a
locals	l o k a d
naturals	n a t u r a d
plural	p l u r a l
sería	s e r i a
tercera	t E r u r a
tradición	i t r i w C i w r o n
Guerra	u e r a
arias	a ry~ a s
colors	k o l o r
comunidat	k o m u n i d a t
envueltas	e n e l t 3 s
fueras	f u e r a s
letra	l E t r a
millors	m i l l o r
nau	n a u
ríos	r i o s
teoría	t e o r i a
toda	t o d o a
vico	v i k o
Alto	l t o
Fa	a
beluns	b e l u n
cantas	k a nt~ a s
caracter	k a r a k t e r
districto	d i s t r i C t o
formar	f o r m a r
publico	p u b l i k o
quals	k a d
sistemas	s i s t e m a s
Chuan	w a n
Espanya	s p a 5 a
Navarra	a b a r a
especialment	e s p E kh~ a m e* i a l m E n t
hombres	h o mb~ r e
mida	m i d a
pasa	p a s a
relacions	r e l a i o* s
sentiu	s e n t i u
solament	s o l a m E n t
the	th~ e
Aragonesa	r a g o n 3 s a
Chuegos	h u i e g o s
Istos	s t o s
alemans	a l 3 m a n
anterior	a n t E r i o r
antes	a n c i
campos	k a m p o s
canto	k a nt~ o
chulio	C o t o
creyó	k a a
datos	d a t o s
dreitos	d r e i t o s
fuents	f u e n c
fácil	f a ky~ o i l
permite	p e r m i t e
plaza	p l a y i c a
presona	p r e s o n a
servicios	s e r i i o s
Fernando	E a n a n d o
Juan	u a n
Muitos	k i t o s
Pa	a
Sobrarbe	o b r a r b e
caracteristica	k a r a k t E r i s t i k a
conoixe	r o n o i S 3
división	d i v i s i o n
existencia	" i s t i n C i w a
fútbol	f a t b o l
lur	l u r
muita	m u i t a
musulmans	s u l m o n
tan	t a n
Istas	s t a s
aragoneses	a r a g o n e e
aria	a r i a
chinero	C i n e r o
disenyo	d i s a n y o
feitos	f e i t o s
mans	n
nuevas	n u e b E s
puntos	p u n t o s
royo	r o y o
seis	s e i s
Esta	s t a
Instituto	s t i t u t o
Roma	o m a
augua	a u g u a
control	r o n t r o l
cristians	k r i s t i a*
departamento	d e p i t a m e n t o
enerchía	i n i l l i a
literatura	t E r a t u r a
luengache	l u g a C e
mai	m a i
montanya	m o* t a 5 a
ninos	n i n o s
organización	u r g a n i r o i o n
papel	p a
politico	p o l i t  o
representación	r e p r e s e n t a q i o n
torre	t o r
chuga	C u g a
club	k l u b "
comuns	k o m m i a
edificio	  i o
existen	" i s t e i n
largo	l a r g o
leis	L e i s
quala	k a l a
romana	r o m a n a
tién	t i e n
tornar	t o r n a r
trazas	tr~ l a s
uso	u s o
apareixe	a p a r a i S 3
dencima	d e n C i i m a
diversas	d i e r s a s
elemento	l E l E m E n t o
huei	h u i e i
melitar	m e l i t a r
razón	r a z o n
romans	r o m a n
situau	s i t u a u
traducción	tr~ a d u k i o n
Hue	u e
blanca	b l a n k o a
comercial	k o * r i a l
cuenca	kw~ e n k a
decada	d e k a d a
estatos	e s t a t o s
estudio	e s t u d i o
fuerza	f u e r c a
humans	h u
maxima	m a x i m a
medio	m e d i o
modelo	m o d e l o
orden	u r d e n
prene	p r e n e
propiedat	p r o p i e d a t
siet	s i e t
simbolo	s i m b o l o
Cal	a l
Estudios	s t u d i o s
Norte	u r t e
anteriors	a n t E r i o r
antigas	a n t i x a s
categoría	k a t e g o r i a
clasificación	k l a s  k a i o n
dentro	d e n t r o
ermita	e r m i t a
espanyola	e s p a 5 o l a
idiomas	d i o m a s
indica	i n d i k a
isto	i s t o
numeros	n u m e r o s
parque	p i kw~ i
provién	p r o v i e n
radiz	r a d i z
sector	s e k t o r
setiembre	s e t i e mb~ r e
siguients	s i g i n c
simple	s i m p l e
situata	s i t u a t a
su	s u
unidat	u n i d a t
vista	v i s t a
zagueras	c a G  a s
Carlos	a r l o s
Rusia	u s i a
conchugación	r o n ch~ u g a i o n
convirtió	r o n v i r t i o
crovates	k r o v a i
dreitament	d r e i t a m E n t
economía	e k o n o m i a
espanyol	e s p a 5 o l
etc	e t
gracias	b o ch~ i 3 s
humana	h u m a n a
ideya	d e y a
lis	l i s
mugas	m u x a s
partiu	p e r t i u
produce	p r o C u k e
provincias	p r o v i n C i w 3 s
queda	k e d a
tradicionals	i t r i w C i w r o n a l
títol	t t o l
Libro	i b r o
Unión	n i o n
actividat	a k t i v i d a t
agora	a g o r a
equipes	e k i n a p e 7 e s
estudios	e s t u d i o s
exito	" i t o
grau	g r a u
imachen	i m a E N
inte	i n t e
libros	b r o s
metat	e
musical	s i k a l
naturaleza	n a t u r a l E z E
obchecto	o b C e k t o
ormino	o r m i n o
pasó	p a s o
prochecto	p r o C e k t o
programa	p r o g r a m a
publica	p u b l i k a
simplament	s i m p l a m E n t
tercer	t E r 5 i r a t
toponimia	t o p o n i m i a
vía	v i a
actividatz	a k t i v i d a c
contina	r o n t i n a
ditos	d i t o s
dominio	b i n i o
fase	f a s e
filla	b i l l a
fonetica	f o n e t i k a
occidentals	T i d e n t a l
populars	p o p u l a r
puerta	p u e r t e
puerto	p u e r t o
velocidat	v e l o v e l o i d a t
viven	v i v e n
Alemanya	l E m a 5 a
Cruz	r u
Internacional	t E r n a g a o n a l
arabe	a r a b e
barranco	b a r a*  o
carreras	k a r  a s
conserva	r o n e r v a
corrient	k o r
creiximiento	k r a i S i m i e n t o
edificios	  i o s
emperador	3 mp~ e r a d o r
fuerte	f u e r t e
largaria	l a r N a r i a
lei	l e i
partito	p e r t i t o
pasar	p a s a r
posteriors	p o s t E r i o r
rechimen	r E c  m e n
remató	r E m a t o
tenemos	t e n i m o s
terreno	t e r
torna	t o r n a
transporte	i t r i s p o r t e
China	h i n a
Institución	s t i t u i o n
Polonia	o l o n i y a
Totz	t o nk~
adverbios	a d e r b i E o s
codigo	k o d i g o
contacto	r o n t a  t o
emplego	3 mp~ l e g o
formau	f o r m a u
kilometros	k i l 3 e t r o s
leva	l e v a
marzo	m a r o
mesmos	m e s m o s
obchectos	o b C e k t o s
partis	p e r t i s
piet	p y E t
problemas	p l o b l 3 m a s
propios	p r o p i o s
suelo	s u e l o
Cada	a d a
Mundial	u n d i a l
Uesca	e s k a
altros	a l t r o s
carretera	k a r e t e r a
considerato	k o s i d e r a t o
creyación	k r e y a i o n
cucha	k u C a
ecetra	e T E t r a
estos	e s t o s
febrero	f e b r e r o
fins	f i n
fuellas	f u e y a
neerlandés	n e r xy~ E kw~ a nd~ e
prebas	p r e b a s
prener	p r 3 n 3 q
principals	p r i n k i p a d
situada	s i t u a d a
socials	s o k i a l
tema	t e m a
Catalunya	a t a l u 5 a
concepto	r o n C i e p t o
diversos	d i e r s o s
estas	e s t o s
feita	f e i t a
griegos	g r i g o s
independencia	i n d e p e n d e n C i w a
localidatz	l o k a l i d a c
mantener	m a n t 3 n 3 q
monesterio	m o* t a 5 3 S t E r i o
prencipio	p m i n C i w p i o i
presión	p r e s i o n
producto	p r o C u k t o
Miguel	i g
Muitas	k i t a s
Premio	r E m i o
al	a l
cheneralment	C e n e r a l m E n t
creye	k r e y e
et	e t
haiga	h a i g a
inferior	i n f e r i o r
información	i n h i o n
manera	m a n e r a
ocupa	o k u p a
peninsula	p e d i s u l a
podeban	p o d e b a n
presents	p r e s E nt~ u
probablement	p l o b a b l E m E n t
productos	p r o C u k t o s
propiedatz	p r o p i e d a c
ruso	r u s o
texto	t e S o
Atros	t r o s
Dica	i k a
composición	k o m p o s i i o n
districtos	d i s t r i C t o s
exterior	e S e r i o r
ganó	g a n o
griega	g r i e g a
incluye	i n k l u y e
mont	m o n t a 5 a
parabra	p a r a b r a
plega	p l e g a
plegó	p l e g o
relichión	r e l i C i o n
servicio	s e r i i o
sí	s i
talment	t a l m E n t
temas	t e m a s
Ana	n a
amplo	a m p l o
culturals	k u l t u r a d
debaixo	d e b a i S o
deciba	d e 7 i b a
ditas	d i t a s
independient	i n d e p e n d i e n t
marguin	m a* r g i n
masa	s m a s a
metal	m e t a l
movimientos	m o v i m i e n t o s
parlants	p a l a n c
plana	p l a n a
poquet	p o k e t
reis	r e i s
variedatz	v a r i e d a c
vecins	s k a* b nsw$ i
Antonio	t o o
Bosnia	o s n i a
Católico	a t o l i k o
Olimpicos	l i m p i k o s
Sierra	i e r a
cine	T i n e
competición	k o m p e t i i o n
comunidatz	k o m u n i d a c
cosas	k o s a s
emplegar	3 mp~ l e 7 a r
equivalent	e k i w a l e n t
estándar	e s t a nd~ a r
fuerzas	f u e r c~ 3 s
futuro	f u t u r o
infinitivo	i n f i n i t i b o
inicial	i n i C y a l
interpresa	i n t E r p r e s a
libre	b r e
nivel	n i v e l
occitán	T k i t E n
oficialment	o f i h i a l m E n t
pareix	p a r e i
participio	p e r t i i p i o i
preba	p r e b a
protección	p r o t e k i o n
pueda	p u e d a
resultau	r e s u l t 3
rete	r e t e
sigue	s i g w e
subchecto	s u b C e k t o
treballos	t r e b a l l o s
unica	u n i k a
verano	e r o
Atras	a s
Madrit	a d r e
altas	a l t 3 s
ampla	a m p l a
articlos	i t i k l o s
banda	b a n d a
carga	k a r g a
chunio	w a n i o
claro	k l a r o
cm	k m
cocina	k o k i n a
contino	r o n t i n o
continó	r o n t i n o
distancia	d i s t a n C i w a
estación	e s t a k i o n
freqüent	f r e k a t o
historica	h i s t o r i k a
honor	h o n o r
mena	m e n a
montanyas	m o* t a 5 a s
mundial	nd~ i a l
par	p a r
partes	p e r t e
podemos	p o d e m o s
representan	r e p r e s e n t a n
reyal	r e y a l
scientificos	S e e n t i f i k o s
selección	s e l e k i o n
sentito	s e n t i t o
serbos	s e r b o s
vechetación	f e 5  i o n
Castiella	a s t i 3 L a
Parque	a r kw~ i
Virchen	i r x e n
accions	a k i o* s
batería	b a t e r i a
cambra	k a mb~ r a
capa	k a p a
categorías	k a t e g o r i 3 s
charran	C a r
chelo	C e l o
corresponde	k o r e s p o nd~ e
dan	d a n
dar	d a r
diez	d i e z
dinastía	d i n a s t i a
divide	d i v i d e
ellas	e y a
grandaria	g r a n e a
indican	i n d i k a n
mos	n o S
politicas	p o l i t i k a s
prenió	p r e n i o
rematar	r E m a t a r
resistencia	r e s i s t i n C i w a
sonito	s o n i t o
tal	t a l
temperaturas	t e N p e r a t u r a s
unatra	u n a t r a
unión	u n i o n
veye	f e y e
vicos	v i k o s
álbum	a l b u m
Baixo	i S o
Edat	d a t
Martín	i t i
Revista	e i s t a
blanco	b l a*  o
calendata	k a l e n d a t a
cambeo	k a m b e o
clases	k l a e
comunicación	k o m u n i C i i o n
consiguió	k o s i g i o
costau	k o s t a u
distribución	d i s t r e i o n
industrial	u z i a l
ixos	i S o s
liga	l i g a
marca	m a* r k a
mica	m i C a
noviembre	n o v i e mb~ r e
oficials	o f i h i a d
pietz	p y E t
ran	r a
respecto	r e s p E kh~ a m e* t o
rusos	r u s o s
sobretot	s o o*  a t
terminación	t E r m i n a g a o n
trobaba	t r o b a b a e
valle	v a l
versions	e r b o* s
vocal	v o k a l
vocals	v o k a d
Ciudat	i u d a t
París	a r i
Santo	a n t o
Sud	u d
anyatas	5 a t a s
cambio	k a m b i o
chodigos	C o d i g o s
chuego	C u e g o
corona	k o r o n a
difuera	d i f u e r a
fuera	f u e r a
funcions	f u n C i w o* s
fusta	f u s t a
interpresas	i n t E r p r e s a s
linias	l i n i a s
només	n o m u
parlas	p a l a
parroquia	p e r o k i a
pico	p i k o
pocas	p o k a s
podeba	p o d e b a
preposición	p r e p o s i i o n
proviene	p r o v i e n e
remata	r E m a t a
salut	s a l u t
voz	v o
Francisco	r a n C i s k i s  o
Real	e a l
adchectivos	a d C e k t i v o s
and	a n d
baverán	b a b e r a n
cabeza	k a b e z a
cargo	k 3 y
consiste	k o ns~ i s t e
debito	d e b i t o
densidat	d e s i d a t
dificil	d i f i k i l
edat	e d a t
estructuras	e s t r u k t u r a s
formata	f o r m a t a
habitual	h a b i t u a l
horas	h o r a s
interna	i n t E r n a
levar	l e v a r
nuclios	n u k l i o s
personaches	p e r s o n a d m 3 s
prencipia	p m i n C i i p i a
primero	p r i *
problema	p l o b l 3 m a
restas	r e s t o s
roca	r o k a
rocas	r o k a s
rural	r u r a l
sección	s e k i o n
será	s e r a
ueito	u e i t o
von	v o n
Reyal	e y a l
University	n i v e r s i t
Valencia	a l e n C i w a
acción	a k i o n
aintro	i t r o
amuestra	a m u e s t r a
aspecto	a 8 p e n e k t o
aus	a u s
ciudadans	i u d a d a
clamau	k l a m a u
comercials	k o * r i a l
conseqüencia	k o s a q 3 i n C i w a
considerau	k o s i d e r a u
cursa	k u r s a
derivau	d e r i v a u
destaca	d e s t a k a
enantes	e n a n t e
escuelas	e s k u e l a
femenín	f a m E n i
franceses	f r a n C E e
numerosos	n u m e r o s o s
otomans	o t e
particular	p e r t i k u l a r
procesos	p r o k e s o s
produció	p r o C u i o
refiere	r e f i e r e
reina	r e i n a
sciencia	S e i n C i w a
series	s e r i
singular	s i n g u l a r
sol	s o l
tecnica	t e k n i k a
unatro	u n a t r o
vasco	v a s k o
victoria	v i k t o r i a
Cortz	u r c
Existen	S i s t e i n
John	o h E 5
New	e w a
Partito	i t i t o
bandera	b a n d e r a
canal	k a n a l
car	k a r
clamata	k l a m a t a
comarcas	k o m a l a s a
compuestos	k o m p u e s t o s
construccions	k o s t r u C a i o* s
diametro	d i m E t r o
director	d i r E C t o r
economica	e k o n o m i k a
europeu	u o p e u
fiestas	f i e s t o s
flors	f l o r
frent	f r e n t
lingüistica	l i N 3 i s t i k a
modelos	m o d e l o s
monedas	m o n e d 3 s
nueu	n u e u
orichinalment	u r i C i n a l m E n t
orientals	u r i n t a l
pais	p a i s
palacio	p a l a i o
posterior	p o s t E r i o r
premio	p r e m i o
presa	p r e s a
pronombre	p r o n o mb~ r e
román	r o m a n
roya	r o y a
to	t o
treballadors	t r e b a ly~ a d o r
vals	v a l
Campo	a m p o
Central	e n t r a l
Cheneral	h e n e r a l
Diccionario	i k i o n a r i o
Qualques	w E l d a s o X
activo	a k t i b o
aragonesas	a r a g o n e s a s
cambios	k a m b i o s
cara	k a r a
celulas	C E l u l a
conoixitos	r o n o i S i t o s
denguna	i s u r u n a
dios	d i o s
efecto	e f e k t o
escape	e s k a p e
estaus	e s t a u s
estausunidense	e s t a u s u n i d e s e
estrela	3 S t r e l a
