va	v a
hamma	h a m a
Muhammad	a a m d i b
hayot	h a y o t
kunda	k u n d a
lozim	l o z i n h o
qayd	q a y d
asarlar	a s a l a r
kimyo	k i m y o
barpo	b a r p o
oʻsimlik	o 7 X a b u C o
zamonaviy	z a m o n a b i
kuni	k u n i
qora	q o r a
Xitoy	i t o y
tegishli	t e g i S l i
Biroq	i r o q
kurash	k u r a S
ketadi	k e t a d i
yashaydi	y a S a y d i
joylarda	j o y  d a
paytda	p a i t d a
ishlar	i s L a r
Janubiy	a n u b i
bunday	b u n d a y
oʻrganish	o 7 r g a n i S
beriladi	b e r i l a d i
yagona	y a g o n a
yosh	y o S
atalgan	a t a l g a n
joy	j o y
oltin	o l t i n
sport	s p o r
jarayonida	h a r a y u n i d a
osti	o s t i
boʻylab	b o 7 u y a b "
talab	t a l a b
transport	i t r i s p o r
erkin	e r k i n
shunday	S u nd~ a y
boshlagan	s L a g a n
oʻrtasidagi	o 7 r t a s i d a g i
kashf	k a s f
ziyod	z i y o d
metall	m e t o l
qismini	g w i h s m i n i
guruh	g
hal	h a l
atrofida	a t r o f i d a
darajada	d a r a j a d a
maydoni	m a y d o n i
yengil	y e N i l
Oliy	l i
bevosita	b e v o s i t a
qisqa	g w i h s N g a
usuli	u s u l i
ketgan	k e t g a n
nomli	n i z d a
Gʻarbiy	7 a r b i E
ijod	i j d
oʻtadi	o 7 t a d i
rivojlanishi	r i v o h l a n i S i
keskin	k e s k i n
borgan	b o r g a n
dastlab	d a s L a b
universiteti	u n i v e r s i t e t i
Shuning	h u n i N
imkon	i m u N 7 o n
xususiy	S u s u s i
Xalq	a l
jamoa	c a m o k a
moʻljallangan	m o 7 lx~ a l l a N a n
Sharqiy	h a r q i
xom	S o m
biror	b 3 r o r
maktab	k t a b "
namoyon	n a m o y o n
amaliy	a m a l i
topilgan	t o p i l g a n
yon	y o n
adabiy	a d a b i
past	p s d a
shaklida	S a k l i d a
yaratgan	y a r a t g a n
Agar	g a r
Amir	m i*
faoliyatini	f a o l i y a t i n i
tuzilishi	t u z i l i S i
oʻsha	o 7 a
baland	b a l a n d
oz	z
texnika	t e S n i k a
vaqtida	v a q t i d a
yoʻq	y o 7
qiladigan	q i l a d i g a n
yozilgan	y o  l g a n
Xalqaro	a q a r o
oldin	o l d i n
yoʻllari	y o 7 y a r i
Mas	a s
Unda	n d a
mamlakatlarda	m a m l a k a tL~ a X n a d a
Hindiston	i n d i s t o n
toʻgʻrisida	t o 7 g 7 r i s i d a
vakillari	v a k i l l a r i
Amerika	m e r i k a
Fransiya	r a s i y a
Qishloq	i S l o q
boshlangan	s L a N a n
teatri	t e a t r i
ularga	b e r g a
Turkiston	u r k i s t o n
Quyosh	u y o S
boʻladigan	b o 7 l a d i g a n
tarjima	t a l j i m a
asar	a s a r
hayoti	h a y o t i
shakli	S a k l i
oq	a
til	t i l
rol	r o l
Fanlar	a n l a r
koʻpgina	k o 7 p g i n a
taklif	t a k l i f
Oʻzbek	7 z k
bilim	b i l i m
madaniyati	d a n i y a t i
nerv	n e r v
urushi	u r u S i
yillar	y i l l a r
Fargʻona	a r g 7 o n a
Osiyoda	s i y o d a
kiritilgan	k i r i t i l g a n
tayyorlash	d a t a y o r p i S
Eron	r o n
miloddan	l o d
sohasida	s o h a s i d a
viloyat	v i l o y a t
Bosh	o S
Xorazm	o r a z m
tuman	t u m a n
birgalikda	b 3 r g a l i k d a
lot	l o t
mineral	m i n e r a l
pul	p u l
Ilmiy	l m i
tuproq	t u p r o q
magnit	m a h n i t
olim	o l i m
rangli	r a N l i
nazariyasi	n a z a r i y a s i
mm	m m
organik	u r g a n i k
tarzda	t a L d a
turkiy	t u r t i n i
bitta	b i t t a
tugatgan	t u g a t g a n
doimiy	d o m i
ikkita	i k n e n
tadqiqot	t a d g w i k o t o
bagʻishlangan	b o g i S l a N a n
hollarda	h o l l a r d a
dunyo	d u n y o
rasmiy	r a s m i
tayyorlanadi	d a t a y o r l a n a d i
yuksak	y u k s a k
Shahar	h a h a r
kirib	k i r i
aloqa	a l o x a
saqlanib	s a q a nz~ Ch~ o
tarkibi	t a r k i b i
ulardan	b e r d a n
roʻy	r o 7
yetib	y e t i
ogʻir	o g i i r
harakati	h a r a k a t i
uz	u
arbobi	a r b o b i
konlari	q o n i k l a r i
asari	a s a r i
muvofiq	m u b o f i
ingliz	i N l i z
koʻrsatish	k o 7 s a t i S
adabiyoti	a d a b i y o t i
jarayoni	h a r a o n i
daryo	d a r y o
asr	a s r
ibn	i b n
taxminan	t a x m i n a n
tosh	t o S
elektron	e l e k tr~ u n
kelishi	k e l i S i
moddiy	m o d i
qoʻllanadi	q o 7 y a n a d i
yanada	y a n a d a
qisman	g w i h s m a n
boshlandi	s a nz~ i d i
kasallik	k a s a ly~ i k
Temur	e m u r
ilgari	i l N a r i
singari	s i N a r i
solingan	s o l i N a n
usullari	u s u y a r i
fizik	f i
oshirish	o s i r i S
soʻz	s o 7
Abu	b u
guruhi	g i
Germaniya	e r m a n i y a
hatto	h a t t o
yun	y u n
hisoblangan	h i s o b l a a N a n
sistemasi	s i s t e m i s i
tillari	t i l l a r i
ajratib	c r a t i
hukumat	h u k u m a t
nazorat	n a z o r a t
qilishga	q i l i S g a
qoplangan	q o p l a N a n
Katta	a t t a
asarlarida	a s a l a r i d a
majbur	C w u N g i
Shimoliy	h i m o l i
boshqarish	b o S k  a r i S
boʻlish	b o 7 l i S
modda	m o d a 7
ijodiy	i j o d i
orasidagi	o r a s i d a g i
qoʻyilgan	q o 7 i l g a n
hissa	h i s s a
kirgan	l g a n
oshiriladi	o s i r i l a d i
respublika	r e s p u b l i k a
lar	l a r
muzeyi	m u z e y i
raisi	r a i s i
vositalari	v o s i t a l a r i
xususan	S u s u s a n
adabiyot	a d a b i y o t
beradigan	b E r a d i g a n
energiya	e n e r g i y a
kitob	k i t o b
qazib	q a z i
sut	s u t
ishga	i S g a
jamiyat	y a m i y a t
mexanik	m e S a n i k
oʻgʻli	o 7 g 7 l i
qonun	q o n u n
saqlash	s a q  s o
sharqiy	S a r q i
tomon	t o m o n
boriladi	b o r i l a d i
issiqlik	i s s i k b u C o
joriy	j o r e
binoan	b i n o a n
materiallari	m a t e r i a l l a r i
qarang	q a r a N
sm	s m
zavodi	z a v o d i
jinsiy	h i s i
qaror	q a r o r
yuk	y u k
asrlarda	a s r  d a
kislota	k i s l o t a
odamlar	o d a m l a r
teri	t e r i
xususiyatlari	S u s u s i y a L a r i
Britaniya	r i t a n i y a
aniqlash	a n i k p i S
belgilangan	b e l g i l a N a n
institutida	s t i t u t i d a
daryosi	d a r o s i
tadqiqotlar	t a d g w i k o L a r
toʻliq	t o 7 l i q
Moskva	o s k v a
axborot	a x b o r o t
ekiladi	e k i l a d i
korxona	k o r S o n a
oldini	o l d i n i
borib	b o r i b a
ovoz	o v o
Respublika	e s p u b l i k a
davlati	d a b l a t i
oʻta	o 7 t a
ustida	u s t i d a
buyumlar	b u y u m l a r
fransuz	f r i s u
yashagan	y a S a k a n
avval	a b w a l
shaxs	S a x
Natijada	a t i j a d a
ishlangan	i s L a N a n
oy	o 8 a
Andijon	n t i j o n
mos	n o S
tan	t a n
urush	S
ijodi	u j i i
issiq	i s s i
narsa	n a r
shaxsiy	S a x s i
yerga	y e r g a
Islom	s l o m
oʻrtalari	o 7 r t a l a r i
oʻzini	o 7 5
qoldi	q o l d i
boshlarida	s L a r i d a
islom	i s l o m
saqlab	s a q l a b "
yaratish	y a r a t i S
Umumiy	m u m i
bayon	b a y u n
ishlagan	i S l a g a n
ishlov	i S l o N
ishlaydi	i S l a y d i
mashinasozlik	S i n a s o z b u C o
ommaviy	o m m a v i
topdi	t o p d i
Keyingi	b b i N i
boʻlimi	b o 7 l i m i
davolash	d a b u p i S
jamiyati	y a m i y a t i
organlari	u r g a n l a r i
oʻtib	o 7 t i
professor	p r o f e s  r
qizil	q i z i l
Respublikasining	e s p u b l k a s i n i N
mahsulot	m a 7 s u l o t
mingdan	m i N d a n
oʻxshash	o 7 S a S
baliq	b a l i q
tutadi	t u t a d i
bola	b o l a
kuzatiladi	k u z a t i l a d i
vafot	b a h
Suv	u
Tuman	u m a n
belgilanadi	b e l g i l a n a d i
mamlakatlar	m a m l a k a L a r
namoyish	n a m o y i S
foydali	f o i 8 a l i
tadqiq	t a d g w i
temperatura	t e N p e r a t u r a
terma	t E r m a
xoʻjalik	S o 7 q
Asosan	s o s a n
shoir	S o i r
toʻla	t o 7 l a
xillari	S i l l a r i
bogʻlangan	b o N 7 l a N a n
hukumati	h u k u m a t i
quyi	q u y i
tayyorlangan	d a t a y o r l a N a n
yorugʻlik	y o r u g 7 b u C o
Dastlab	a s t l a b
asarida	a s a r i d a
yozib	y o
Ayrim	y r i m a
hajmi	h a h m i
hisobga	h i s o b g a
mudiri	m u d i r i
qilishda	q i l i S d a
Jahon	a h o n
olimlar	o l i m l a r
qoʻl	q o 7
toʻgʻrisidagi	t o 7 g 7 r i s i d a g i
Misr	i s r
ekanligini	e k a n l i g i n i
gʻarbiy	g 7 a r b i E
tarkibidagi	t a r k i b i d a g i
aylangan	a y l a N a n
haqiqiy	h a q t a m u a
sud	s u d
tiliga	t i l i g a
ustidan	u s t i d a n
uzunligi	u z u n l i g i
million	m i l l i o n
nafas	n a f a s
qadimgi	q a d i m g i
tibbiy	t i b i k a
uzun	u z u n
boʻlishiga	b o 7 l i S i g a
mashina	S i n a
metallurgiya	m e t a l u r g i y a
qilishi	q i l i S i
temperaturasi	t e N p e r a t u r a s i
egallaydi	g a l y o w d i
qismlari	g w i h s m l a r i
shundan	S u nd~ a n
Odatda	d a t d a
boʻlmaydi	b o 7 l m o w d i
janubiy	h a n u b i
soat	s u
vazifasini	v a z i f a s i n
viloyatining	v i l o y a t i n i N
Afrika	f r i k a
qulay	q u l a y
mamlakatning	m a m l a k a t n i N
mazkur	m a z k u r u
qadimdan	q a d i m d a n
qaramay	q a r a m a
aylandi	a y l a n d i
darajasi	d a r a s i
hayvon	h a y v o n
jihatidan	h i h a t i d a n
nazariy	n a z a r i
xorijiy	S o r i j i
kishidan	k i S i d a n
materiallar	m a t e r i a y a r
maydon	m a y d o n
yulduz	y u l d u
bilish	b i l i S
mumtoz	m u m t o
yillarida	y i l l a r i d a
miqdorda	m i k d o r d a
oʻrmon	o 7 r m o n
oʻtkazish	o 7 t kh~ a z i S
paytida	p a i t i d a
rahbari	r a h bh~ a r i
xalqlar	S a q
Rim	i m
bozor	b o z o r
bunda	b u n d a
hisobiga	h i s o b i g a
joyi	j o y i
qadimiy	q a d i m i
sazovor	s a z o v o r
bordi	b o r d i
fors	f o r
hamkorlikda	h a m k o r l i k d a
Ibn	b n
Ikki	k k i
kasalliklar	k a s a ly~ i k a r
nom	n o m
oʻzida	o 7 z i d a
qoʻlga	q o 7 l g a
zamon	z a m o n
orqa	u r q a
oʻrniga	o 7 r n i g a
turdagi	t u r d a g i
Mac	a k
ishlatiladigan	i S l a t i l a d i g a n
nomlangan	n o m l a N a n
tarzida	t a L i d a
aylanadi	a y l a n a d i
mamlakatlarida	m a m l a k a L a r i d a
mis	m i
oʻtkaziladi	o 7 t kh~ a z i l a d i
oʻzgarishi	o 7 z N a r i S i
yaqinida	y a q i n i d a
Italiya	t a l i y a
Yaponiya	a p o n i y a
tovush	t o w u S
berib	b E r i b a
butunlay	b u t u n l a y
majmui	m a h m u i
rivojlanish	r i v o h l a n i S
saqlangan	s a q l a N a n
shimoliy	S i m o l i
Ayni	y n i
Oʻsha	7 a
davlatlar	d a b l a L a r
elementlar	l E l E m E n a r
fanlar	f a n l a r
huquq	h u k
muallifi	m u a l l i f i
yadro	y a d r o
Sovet	o p e t
biologik	b i o l o g i k
hamkorlik	h a m k o r b u C o
jamoat	c a m o k a t
miya	m i y a
muntazam	m u n t a z a m
oxiri	o S i r i
oyida	o y i d a
oʻzgarishlar	o 7 z N a r i S l a r
soʻnggi	s o 7 N g i
suvda	s u b d a
Shunday	h u nd~ a y
foydalanib	f o i 8 a l a n i
oxirida	o S i r i d a
suyuq	s u y u
turibdi	t u r i b d i
zarar	z a r a r
egallagan	g a l l a g a n
sovuq	s o b u
buyuk	b u y u k
hududi	h u d u d i
musulmon	s u l m o n
ixtisoslashgan	i S s o s l a S g a n
joyda	j o y d a
qatorda	q a t o r d a
texnik	t e S n i k
ayol	a y o l
kishilar	k i S i l a r
korxonalar	k o r S o n a l a r
muhit	m u h i t
oqibatida	o m g w i b a t i d a
tartibga	t a r t i b g a
jami	y a m i
qaratilgan	q a r a t i l g a n
quruq	q u r u k
tarmogʻi	t a r m a m i
tushgan	t u S g a n
Yirik	i r i k
ayni	a y n i
boʻlgani	b o 7 l g a n i
direktori	d i r e k t o r i
fanlari	f a n l a r i
li	l i
tabiat	t a b i a t
universitet	u n i v e r s i t e
yashab	y a S a b
zavodlari	z a v o d l a r i
shakllangan	S a k y a N a n
tarmoqlari	t a r m o q
uy	u y
asosini	a s o s i n i
drama	d r a m a
huquqiy	h u k m u a
korxonasi	k o r S o n a s i
mahsulotlar	m a 7 s u l o L a r
oldingi	o l d i N i
qoʻshma	q o 7 S m a
bosim	s i m
ishlarini	i s L a r i n i
mamlakatda	m a m l a k a t d a
millat	m i l l a t
xoʻjaligida	S o 7 j a l i g i d a
Buning	u n i N
Yil	i l
ijodida	i j o d i d a
jamoasi	c a m o k a s i
keladigan	k e l a d i g a n
tok	t o k
yaratildi	y a r a t i l d i
amal	a m a l
birikmalar	b i r i k m a l a r
jang	y a N
keltirilgan	k e l t i r i l g a n
muassasalari	m u a s t a c a r a r i
oʻrnatilgan	o 7 r n a t i l g a n
oʻzgarib	o 7 z a r i b a
shakllari	S a k y a r i
shaxslar	S a x w a r
xalqlari	S a q
Ayniqsa	y n i k s a
Toshkentda	o S k e nt~ d a
boshligʻi	s l i g i
samarali	m a r a l i
Mazkur	a z k u r u
Qora	o r a
fikr	f i k r
hokimiyat	h o k i m i y a t
toʻplami	t o 7 p l a m i
Xiva	i v a
akademik	a k a d e m i k
boshlanadi	s a nz~ i a d i
holat	h o l a t
oʻralgan	o 7 r a l g a n
tillarida	t i l l a r i d a
turk	t u r
Boshqa	o S k
dagi	d o g i
optik	a t i k
qaysi	q a y s i
uyushmasi	u y u S m i s i
Qozogʻiston	o z o g i t o*
Turkiya	u r  y a
aholining	a h o l i n i N
geografik	g e o g r a f i k
kompaniyasi	m i p a n i y a s i
natijada	n a t i j a d a
nemis	n e m i s
tasvirlangan	t a s p i t e n l a N a n
tovar	t o w a r
vositasi	v o s i t a s i
yashil	y a s i l
ahamiyati	a h a m i y a t i
eksport	e k s p o r
i	i
navbatida	n a b b a t i d a
yaratdi	y a r a t d i
Kavkaz	a b kh~ a z
Koʻp	o 7 p
Namangan	a m a N a n
Tashqi	n a N t a N i r a
ashyo	a s y o
bundan	b u n d a n
etilishi	e t i l i S i
geologik	g e o l o g i k
jinslari	h i s l a r i
ozod	o z o d
soʻngra	s o 7 r a h a
turadigan	t u r a d i g a n
xon	S o n
yozma	y o z m a
yurti	y u r t i
aniqlanadi	a n i k l a n a d i
balandligi	b a l a nd~ l i g i
ekinlari	r l a r i
holati	h o l a t i
kg	k
usul	u s u l
Alisher	l i S e r
masalalari	m a s a l a l a r i
olishga	o l i S g a
rahbarlik	r a h bh~ a r b u C o
tillar	t i l l a r
atom	a t o m
bino	b i n o
doim	d o i m a
iqlim	i k l i m
jinslar	h i s l a r
kumush	k u m u s
manbai	n b a i
metallar	m e t a y a r
meva	m e v a
mobaynida	m o b a y n i d a
oʻtkir	o 7 t k i r
tumanida	t u m a n i d a
tumanidagi	t u m a n i d a g i
ulushi	u l u S i
xizmati	S i z m a t i
hukmronligi	h u k m r o n l i g i
jarayonlar	h a r a y o n l a r
mukofoti	m u k o f o t i
ona	o n a
shakl	S a q
tekshirish	t a k S i r i S
tilga	t i l g a
usulda	u s u l d a
yoʻlga	y o 7 l g a
jarayon	h a r a y u n
kasb	k a s
nafar	n a f a r
qoʻshib	q o 7 S i
sotib	s o t i
umuman	u m u m a n
viloyatida	v i l o y a t i d a
Oʻzbekistonning	7 z n t u mb~ i s t o n n i N
Yerning	E a n i N
boʻla	b o 7 l a
hokimiyatni	h o k i m i y a t n i
musiqiy	s t a m u a
qoʻshin	q o 7 S i n
qurilishi	q u r i l i S i
sohasidagi	s o h a s i d a g i
tayyorlashda	d a t a y o r l a S d a
Mehnat	e h n a t
Yuqori	b o r i
energiyasi	e n e r g i y a s i
holatda	h o l a t d a
ishi	i S i
jalb	y a l
mln	l
oshiradi	o s i r a d i
tugʻilgan	t u x i l g a n
beri	b e r i
ketishi	k e t i S i
kosmik	k o s m i k
ot	o t
rivojlanishiga	r i v o h l a n i S i g a
ruhiy	r u h i
taraqqiy	t a r a k " o i y a
bemor	b e m o r
birligi	b 3 r l i g i
boshida	s i d a
kengashi	k e n g a s i
sharoitida	S a r o i t i d a
shugʻullanadi	S u g 7 u y a n a d i
turmush	t u r S
yunon	y u n o n
Miloddan	i l o d
jismoniy	h i s m o n i y a
oʻtkazilgan	o 7 t kh~ a z i l g a n
qurish	q u r i S
sarfi	s a r f i
suratga	s u r a t g a
tanilgan	t a n i l g a n
tarkib	t a r k i
boshlaydi	s L a y d i
koʻrish	k o 7 r i S
ozodlik	o z o d b u C o
oʻt	o 7
qiymati	q i m a t i
qoʻy	q o 7
saqlanadi	s a q l a n a d i
xususiyati	S u s u s i y a t i
belgilari	b e l g i l a r i
ipak	i p a k
javob	y a v o b
kutubxona	k u t u b S o n a
olinadigan	o l i n a d i g a n
taqdim	t a q d i m a
tarkibiy	t a r k i b i
tasvir	t a s k w 3 L i
yuzasi	y u z a s i
Turli	u r l i
asboblar	a s b o p l a r
belgilab	b e l g i l a b
boʻyi	b o 7 i
doktori	d o k t o r i
falsafiy	f a l s a f i
hikoya	h i k o y a
mamlakatlari	m a m l a k a L a r i
oila	o i l a
olindi	o l i n d i
oqimi	o m g w i m i
pastki	p a s t k i
qaraganda	q a r a g a n d a
rivojlandi	r i v o h l a n d i
talqin	t a l m u a n
yilning	y i l n i N
bunyod	b u 5 o d
etishga	e t i S g a
mustahkam	s t a k a m
oqib	o m g w i
sabzavot	s a b z a v o t
tomondan	t o m o* d a n
tozalash	t o z p i S
tur	t u r
ularda	b e r d a
vazifasi	v a z i f a s i
yurak	y u r a
Avstraliya	v s t r a l i y a
ana	a n a
ogʻzaki	o g i 7 z a k i
oladigan	o l a d i g a n
opera	o p e r a
oʻng	o 7 N
poytaxti	p o i t a x t i
vodorod	v o d o r o d
yiliga	y i l i g a
ayollar	a y o y a r
devor	d e v o r
etishi	e t i S i
koʻz	k o 7
murojaat	r o x a t
olishda	o l i S d a
organizmlar	u r g a n i z m l a r
sanoatida	s a n o a t i d a
tasviriy	t a s v i r i
tushib	t u s i b
tuxum	t u X u m
ulkan	u l u m
vaziri	v a z i r i
xalqining	S a q i n i N
Qoraqalpogʻiston	o r a q a l p o g i t o*
atrofidagi	a t r o f i d a g i
bekor	b e k o r
matematik	m a t e m a t i k
