ha	s i
hesa	h e s a
hetáva	h e t a v a
ijapytépe	u j a p 3 t e p e
ipuku	i p u k u
jepokuaa	h e p o k u a
mbeguekatúpe	mb~ e g e k h a u p e
mbói	mb~ a N
militar	m i l i t a r
motenondehára	o r e n d e h a r a
ni	n i
ohendu	h e n d u
ojeguerekóva	o x e g e r e k o v a
ojehai	o q a i
ojuehe	b e e
ovecha	o p e m u C a
oñemoĩva	w e m o i* v a
peteĩteĩ	p e t e i S e e i*
porãite	p o r a* i t e
poyvi	p o y v i
pueblo	p u e b l o
rague	r a a
rasy	r a s
reducción	r e d u k i o n
rembiasakue	r E m o  a s a k u e
rérape	r e r a p e
tembiapópe	t e by~ a p o p e
tembiasa	t e by~ a s a
túva	t u v a
yvyramáta	3 b 3 r a m e t a
Ñandejára	a n d e h a g a
Ñu	u
ápe	a p e
área	g e a
ñemitỹ	5 r e p e  q
Academia	k a d e m i a
Barrios	m a n i o s
Blas	l a
Decoud	e T a u d
Díaz	i a z
Editorial	d i t o r i a l
Franco	r a n C i o
Gral	r a l
John	o h E 5
Ku	u
Léi	e i
Ministerio	i n i S t E r i o
Mitã	i t a*
Mora	o r a
Ohasa	h a s a
Ojekuaa	h e u
Parque	a r kw~ i
Partido	i t i d o
Pág	a g
Pérez	y e z
Ru	u
Sociedad	T i e d a d
Tapichakuéra	a p i C a k u e r a
Umíva	m i v a
chuguikuéra	C u g u i  e r a
colonial	k o l o n i a l
español	e s p a 5 o l
festival	f e S t i w a l
haku	h a k u
ijapytepekuéra	u j a p 3 t e p e k u e r a
ijehegui	g i y e d h e g u i
indígena	i n d i g e n a
ipehẽngue	i p e h e* Nw~ a
ipoguýpe	p o g p e
ipu	i p u
ipyahúva	i p y a h u v a
jere	h e r e
jerovia	h e r o v i a
kokue	k o k u e
korapy	k o r a p y
kuatiáre	k u a t i g e
kuñataĩ	k u 5 a t a i*
membykua	m e m by~ u
moĩmbaha	m o e m b a h a
oikoha	o i k o h a
oikundaha	o i k u n d a h a
ojapókuri	c a p o k u r i
ojere	o x e r e
omanóva	a m i a s a o v a
ore	u r e
orekóvo	o r e k o v o
oñangarekóva	w a N a r e k o v a
oñehenói	w e h e r a N
oñeñangareko	w y u* k a* a N a r e k o
oĩgui	o i* g u i
oĩkuri	o i* k u r i
petỹ	p e t q
porundy	p o r u nd~
potĩ	p o t i*
presidente	p r e s i d e n t e
resfrío	r e s f r i o
sãmbyhyhára	s a* b 3 h 3 h a r a
tasyo	t a s y o
tembiasakue	t e by~ a s a k u e
tete	t e t e
tropa	t r o p a
tuguy	t u g u i
upéa	u p e a
ypa	3 p a
ysyrykuéra	y a ry~ k u e r a
yvyrágui	3 b 3 r a g u i
ñemoarandu	d a m a y a r a n d u
Ararova	r a r o v a
Avakuéra	v a k u e r a
Bertoni	e r t o n i
Casa	a s a
Club	l u b "
Cultural	u l t u r a l
Estancia	s t a n C i w a
Hákatu	a k a t u
Ipahápe	p a h a p e
Lorenzo	o r e n z o
Maíz	a i
Montoya	o n t o y a
Municipal	u n i C i p a l
Ojehecha	h e h e C a
Ojejuhu	h e h u h u
Rafael	a f a e l
Rivarola	i v a r o l a
Rosa	o s a
Santo	a n t o
Techapyrã	e T a py~ r a*
akã	a b 3*
angirũ	a N i r u*
apañuái	a p a 5 u a i
apohára	a p o h a r a
centro	C E n t r o
civil	i v i l
comandante	k o m a n d a n t e
cultural	k u l t u r a l
da	d a
disco	d i s k o
do	d o
educación	e d u k a i o n
estancia	e s t a n C i w a
guasuete	g u a s u e t e
hapichakuéra	h a p i C a k u e r a
herava	h e r a v a
hetyma	h e t i m a
hũngy	h u* N
ijyvate	g i y y v a t e
ipire	p i r
itujavéva	i t u h a v e v a
iñarandu	i 5 a r a n d u
iñemoarandu	i 5 e y a r a n d u
ja	y a
jaha	y a h a
jehasa	h e h a s a
joaju	j o s u
maymáva	m a y N v a
mbyky	mb~ a q
musical	s i k a l
ndoguerekói	d o g e r e k o i
neporãva	n e p o r a* v a
oguahẽvo	o g a h e* v o
ohenói	h e r a N
oimeraẽ	o i * a e*
ojejuhúva	o q xy~ h u v a
ojoavy	o x o a b
omanda	o m a n d a
omboguata	c o g u a t a
omoañetéva	o y a 5 E n v a
omoinge	o m o i N a
omoñepyrũva	w e p 3 r u v a
omyakã	a m i y a b 3*
omyasãi	a m i y a s a* i
orquesta	u r q u e s t a
osë	o s 3
oñandu	w a n d u
oñemoarandúva	w e y a r a nd~ u v a
programa	p r o g r a m a
rapicha	r a  C a
rapykuere	r a py~ k u e r e
tava	t a v a
tavaguasúpe	t a v a g u a s u p e
tavarandu	t a b a r a n d u
tendárupi	t a n s a m i
tenonde	t e n d e
tetãmegua	t e t a* e g u a
vaiete	v a i e t e
Añetehápe	5 e t e h a p e
Bernardino	E a n a r Z u
Blás	u
Bolaños	o l a 5 o s
Ciencias	i n C i w 3 s
Este	s t e
Hete	e t e
Jasy	a s
Militar	i l i t a r
Mokõi	o k o i k
Omotenonde	o r e n d e
Opavave	p a v a b e
Orden	r d e n
Paraná	a r a n a
Patria	a t r i a
Pindorama	i d o r a m a
Rabia	a b i a
Ramón	a m o n
Región	g i o n
Sosa	o s a
Villarrica	i l l a r i cy~ a
Virgen	i r g 3 n
Vocabulario	o k a b u l a r i o
Vyretáña	y r e t a 5 a
Yma	m a
Yvate	v a t e
arandupy	a r a nd~ u p y
artesanía	i t e s a n i y a a
asýva	a s v a
chipa	C i p a
guaraníme	g u a r a n S e
guejyha	g e hy~ a
guitarra	g i t a r a
hekoha	h e k o h a
ija	i y a N u
iména	i m u n a
internacional	i n t E r n a g a o n a l
ipo	i p o l a
iporãitereíva	p o r a* i t e r a i v a
iñakã	i N a d e b 3*
jehechakuaa	h e h e C i 5 u
jeporu	h e p o r u
juehegua	x u e h e g u a
juky	y u k E
kg	k
koty	k o t
kurusu	k u r u s u
mburuvi	m b u r u b i
muanduhe	m u a e
ohupity	h u p i t
ohupytýva	h u p 3 t v a
oikohague	o i k o h a x 3
oiporúva	o i p o r u v a
ojapyhy	c a p i t
ojeguerohory	o q a  h o r
ojehechauka	o x e h e C a u k a
ojejapoha	o q j a p o h a
ojekuaavéva	o q a kw~ a r a v e v a
ojeporavo	o x e p o r a v o
ojerereko	o x e r e r e k o
ojeréva	o x e r e v a
okambúva	o k a m b u v a
ombyai	d o mb~ y a i
omohechauka	h e C a u k a
omoheñóikuri	h e ny~ o i k u r i
omoheñóiva	h e ny~ o i v a
omoirũva	o m o i r u v a
oveve	o p e m u v e
oï	o 3
oñembohasa	w e mb~ o h a s a
peteĩme	p e t e e m e
pohãnohára	p o h a* n o h a r a
pukukuépe	p u k u k e p e
puraheihára	p u r a h e i h a r a
purory	p u r o r
puru	p u r u
público	p u bl~ i k o
reike	r e i k e
ru	r u
social	s o k i a l
sãso	s a* s o
tai	t a i
tapére	t a p y e
tasyópe	t a s 3 o p e
techaukarã	t e C a u k a r a*
tupãópe	t u k o p e
tĩ	t i*
uperire	u p e r
ñangareko	y a* N a r e k o
ñemano	d a m a
ñembyasy	d a m a mb~ y a s
Ache	C e
Andrés	ndr$ e
Artes	r t e
Colonia	o l o n i y a
Estadística	s t a a s t i k a
Európa	u r o p a
Gramática	r a m e t i k a
Grande	r a nd~ e
Guerrero	u e r e r o
Guyra	u y r a
Haimete	a i m e t e
Hetaiterei	e t a i t e r e i
Histórico	i s t o i cy~ o
Ipoty	p o t
Ipype	p 3 p e
Irala	r a l a
Jesús	e s u
Joaju	a r k u
Joaquín	o a k l e
Jorge	u r g e
Junta	u n t a
Loma	o m a
Maria	a r i a
Mbohapy	b o h a p y
Música	a s i k a
Oike	i k e
Oscar	s k a r
Peteĩha	e t e i* a
Primera	r i *
Rojas	c a s
Roque	o k E
Sur	u r
Tapicha	a p i T a
Techapyrãrõ	e T a py~ r i o*
Tesoro	e s o r o
Tomás	o m a q a
Upehaguére	p e h a g e r e
Villeta	i l l e t a
Yegros	g r o s
Yvyra	v y r a
Yvyty	v y ty ~
apo	a p o
aramirõ	a r a m i X o*
atyguataha	t u s g u a t a h a
ave	a b e
carrera	k a r e r a
central	C E n tr~ a l
ejército	j y k i t o
estudio	e s t u d i o
grado	g r a d o
guara	g u a r a
guaraní	g u a r a n i
hembiasa	h e by~ a s a
heseve	h e s a i v e
hetãme	h e t a*
ijyvatéva	g i y y v a t E v a
ikatúma	i k a t u m a
ipy	i py~
ipópe	i p o p e
ituichakue	b i t u i C a k u e
jarýi	h a r i
karape	k a r a p e
karugua	k a r u g u a
katuetei	k a t u e t e i
korapýpe	k o r a p p e
mbyja	mb~ i L a
mi	m i
miembro	m i e mb~ r o
mokõivéva	m o k o i k v e v a
métro	m u t r o
norte	n o r t e
ohupi	h u p i
ohupytývo	h u p 3 t v o
ojeikuaáva	o q i k u a a v a
ojejoko	o q j o k o
ojesareko	o x e s a r e k o
ojoguáva	o x o g a v a
oke	o k e
omaña	t a 5 a
omboguapy	c o g u a p y
ombohasa	o mb~ o h a s a
omboyke	c o y k e
ombyatýva	d o mb~ y a t v a
omoherakuã	h e r a
omoirũ	o m o i r u*
onohẽ	n o h e*
oñembojoaju	w e e c u s u
oñemotenondéva	w e m o t e n d e v a
oñepyrũma	w e p 3 r u m a
paje	p a h e
periodista	p e r i o d i s t a
pindo	p i d o
porãnguéra	p o r a* g a e r a
primera	p r i *
pytu	p 3 t u
revolución	r E f o b e l i o n
santo	s a n t o
tapiaite	t a p i a i t e
tekohápe	t a k o h a p e
tetãyguakuéra	t e t a* y g u a k u e r a
tres	w a m i
tuichave	t u i C a b e
tyeguasu	t e g u a s u
upehaguére	u p e h a g e r e
upéicharõ	u p e i C a r o*
