te	t e
Kura	u r a
etahi	e t a h i
Na	a
moana	m o a n a
ture	t u r e
ora	o r a
nuinga	n u i Ng~ a
konei	k o n e i
rite	r i t e
matou	m a t o u
tata	t a t a
no	n o
Makino	a k i n o
rau	r a u
Tiriti	i r i t i
rātau	r a t a u
pānui	p a n u i
tini	t i n i
whakamārama	wh~ E k a m a r a m a
taumata	t a u m a t a
mutu	m u t u
papa	p a p a
pērā	l u a N r
whānui	w h a n u i
tuhi	i
kāinga	l i Ng~ a
Pākehā	a k e h a
tamaiti	t a m a i t i
or	o r
anake	a N k e
tuhinga	i Ng~ a
tipu	t e p u
manu	m a n u
raua	r a u a
hapori	h a p o r i
titiro	t i t i r o
ika	i k a
pa	p a
Ehara	h a r a
Kōrero	o r e r o
huri	h u r i
hui	h u y i
āwhina	a w h i n a
Kātahi	a t a h i
Nau	a u
marae	r a e
mātauranga	m a t a u r a Ng~ a
kino	k i n a t
rapu	r a p u
whakarite	wh~ E k a r i t e
rongo	r o n g o
kī	k i
āna	nj~ 3
Hoki	o k i
motu	m o t u
pouako	p o u a k o
rangi	r a n g i
tono	t o n o
pātai	p a t a i
rerekē	r e r e k a N
kainga	k a i Ng~ a
kaiako	k a i a k o
whakamahia	wh~ E k a m a h i a
Engari	ng~ a d i
waho	w a h o
heke	h e k e
uru	u r u
wahi	w a 7 i
rahi	r a h i
tatou	m a t o u
pēhea	l u a N h e a
tinana	t i n a n a
Tai	a i
oti	o t i
whakatau	wh~ E k a t a u
ngaro	N a r o
pōti	p o t i
ahakoa	a h a k a
hau	h a u
rangahau	r a N a h a u
tukuna	m o v a s a
piki	p i k i
kaimahi	k a i m a h i
pae	p a e
tohunga	t o h u N a
Whare	h a r e
rākau	r a k a u
tuarua	t u a r u a
tīmata	t i m a t a
ranei	r a n e i
putanga	p u t a Ng~ a
whiwhi	wh~ E i w
moni	m o n i
ahi	a h i
tera	t E r a
tāna	m a n a
ata	a t a
wātea	w a t e a
akoranga	a k o r a Ng~ a
tere	t e r e
Ahakoa	h a k a
wiki	w i k i
pēnei	l u a N n e i
awa	a w a
kāwanatanga	l w a n a t a n g a
waenganui	gw~ a 3 N a n u i
Waitangi	i t a n g i
enei	e n e i
mohio	o* h i o
ērā	a N r
mihi	m i 7 i
tu	t u
whārangi	w h a r a N i
Heoi	e o i
hoko	h o k o
pakeke	p a k e k e
ona	o n a
toi	t o i
rima	l i m a
hononga	h o n o n g a
riro	r i r o
pānga	p a Ng~ a
pakanga	p a k a n g a
ōrau	o r a u
motuhake	m o t u h a k e
whā	w h a
eke	e k e
kau	k a u
kātahi	k a a t a h i
ōrite	o r i t e
tiaki	t i a k i
hia	h i a
taiao	t a i a o
whāinga	w h a i Ng~ a
mārama	m a r a m a
ringa	r i Ng~ a
aroha	a r o h a
neke	n e k e
whakaae	wh~ E k a e m a
Mēnā	a N n
waahi	w a a h i
Koia	o i a
raruraru	r a r u r a r u
haka	h a k a
oranga	o r a Ng~ a
hauora	h a w o r a
mahere	w i*
karakia	k a r a k i a
pūrākau	p u r a k a u
tirohia	t u r o h i a
uri	u r i
tena	t e n a
ngä	N
rautaki	r a u t a k i
whanau	wh~ E a n a u
kawe	k a w e
Kaore	a o r e
tuhia	i a
koia	k o i a
Tuhia	a i a
Katahi	a t a h i
māmā	m a m
patu	p a t u
whakautu	wh~ E k a u t u
whakarongo	wh~ E k a r o n g o
mutunga	m u t u N a
aku	a k u
aro	a r o
kapa	k a p a
huanga	w a n g a
mēnā	m a N n *
Tokerau	o k e r a u
Waikato	a i n a 7 a t o
Week	e k "
pirihimana	p i r i h i m a n a
tirotiro	t u r o t i r o
Mākino	a k i n o
akomanga	a k o m a n g a
tangi	t a n g i
ina	i n a
rerenga	r e r e n g a
ahua	a w a
tohutohu	t o h u t o h u
waahanga	w a a h a Ng~ a
whakataetae	wh~ E k a t a e t a e
hōtaka	h o t a k a
No	o
pūrongo	p u r o n g o
whakauru	wh~ E k a u r u
ratonga	r a t o n g a
mātua	m a t u a
wairua	w a i r u a
kīia	k i i a
tētehi	t a N t e h i
Kaupapa	a u p a p a
uaua	u a u a
hea	h e a
tama	t a m a
Tau	a u
whakaputa	wh~ E k a p u t a
waihanga	w a i h a Ng~ a
kaua	k a u a
pū	p u
whakaako	wh~ E k a k o
kimi	k i m i
karanga	k a r a Ng~ a
rakau	r a k a u
Mai	a i
tango	t a n g o
Niu	i u
riri	r i r i
waenga	gw~ a 3 N a
mahinga	m a h i n g a
Ao	o
raupapa	r a u p a p a
ke	k e
hangaia	h a N a i a
maunga	m a u N a
āhei	a h e i
Ture	u r e
whakawhiti	wh~ E k a wh~ E i t i
Matua	a t u a
whakaritea	wh~ E k a r i t e a
Whenua	h e n u a
ope	o p e
pepa	p e p a
painga	p a i Ng~ a
atua	a t u a
tirohanga	t u r o h a Ng~ a
whawhai	wh~ E a l a i
whakanui	wh~ E k a n u i
whakaaturanga	wh~ E k a a t u r a Ng~ a
To	o
takoto	t a k o t o
tukutuku	n k u t u k u
takiwā	t a k i a
poto	p o t o
whakaaturia	wh~ E k a a t u r i a
haerenga	h a e r e n g a
wānanga	w nj~ 3 n g a
moe	m o e
whiriwhiri	wh~ E i r i wh~ E i r i
Mō	o
po	p o
mata	m a t a
mema	m e m a
Tari	a r i
whakapono	wh~ E k a p o n o
kanohi	k a n o h i
huinga	w i Ng~ a
waiho	w a i h o
whakamutunga	wh~ E k a m u t u N a
Marautanga	a r a u t a Ng~ a
raraunga	r a r a u N a
Nga	g a
awhina	a w h i n a
whakaari	wh~ E a k a d i
pou	p o u
pupuri	p u p u r i
mahia	m a i a
mehemea	m e h e m i a
ono	o n o
The	e
pikitia	p i k i t i a
pūkenga	p u k e n g a
tupu	t u p u
whakaoti	wh~ E k a o t i
Arā	r
tua	t u a
tatau	t a t a u
tawhiti	t a wh~ E i t i
whakaritenga	wh~ E k a r i r e n g a
here	h e r e
kii	k i
tukua	t i k i a
Haere	a e r e
in	i n
tūtohu	t u t o h u
Karauna	a r a u n a
hono	h o n o
Kāwanatanga	a w a n a t a n g a
taitara	t a i t a r a
Ingarangi	N a r a N i
mātau	m a t a u
hoatu	h o a t u
tai	t a i
ahu	a h u
hangarau	h a N a r a u
ipurangi	C u r a N i
kā	l
tukanga	n a a Ng~ a
whakatakoto	wh~ E k a t a k o t o
Tautoko	a u t o k o
mano	n o
hapū	h a p u
marautanga	r a u t a Ng~ a
Tirohia	i r o h i a
ataata	a t a t a
aromatawai	a r o m a t a w a i
ārahi	a r a h i
kōwae	k o w a e
haumaru	h a u m a r u
ahiahi	nt~ a h i
Kaunihera	a u n i h e r a
pakihi	k i 7 i
tuhituhi	t u h i t u h i
Tireni	i r e n i
ehara	e h a r a
whakaata	wh~ E k a a t a
Ara	r a
Koinei	o i n e i
Tuatahi	u a t a h i
pūtea	p u t e a
waewae	gw~ a 3 a e
tapu	t a p u
toku	t o k u
āu	a u
pō	p o
Papa	a p a
kauwhata	k a u w a t a
Tauranga	a u r a Ng~ a
taputapu	t a p u t a p u
mōhiotia	m o u h a o t i a
tangohia	t a N o h i a
tīmatanga	t i m a t a n g a
ahurea	a h u r e a
hinga	h i n g a
whakapapa	wh~ E a k u t " u t " u
matau	m a t a u
ii	i
taone	t a o n e
Wānanga	nj~ 3 n g a
uta	u t a
Taumata	a u m a t a
rīpene	r o e n e
waea	w a e a
Taki	a k i
whakairo	wh~ E k a i r o
waru	w a r u
taka	t a k a
tapaina	t a p a i n a
tāpiri	m a p i r i
tōku	h  u
ārai	a r a i
Rangi	a n g i
koa	k o
timata	t i m a t a
tūranga	t u r a Ng~ a
katahi	k a t a h i
Ina	n a
Māui	a u i
Rōpū	o p u
Anei	n e i
tutuki	t u t u k i
ratau	r a t a u
tawhito	t a wh~ E i t o
Mehemea	e h e m i a
tākaro	m a k a r o
Tērā	a N r
arotake	a r o t a k e
mōhiohio	m o u h a o h i o
whakaaetia	wh~ E k a e t i a
Ngāi	g a i
horopaki	h o r o p a k i
pūnaha	p u n a h a
whakamahinga	wh~ E k a m a h i n g a
Pāremata	a r e m a t a
kararehe	k a r a r e e
kāri	k a r i
Kotahi	o t a h i
Matariki	a t a r i k i
niho	n i h o
uara	u a r a
hiahiatia	h i nt~ a t i a
kiri	k i r i
pouaka	p o o a k a
wehe	w e h e
Ma	a
ngahere	N a h e r e
pito	p i t o
tokomaha	t o k o m a h a
tūturu	t u t u r u
Rau	a u
Taranaki	a r a n a k i
Toi	o i
taenga	t a e n g a
whakatūria	wh~ E k a t u r i a
Tohu	o h u
kawea	k a w e a
mahara	m a h a r a
kohinga	k o h i n g a
tūhura	t u u r a
Manu	a n u
Tahu	a h u
miriona	m i r i o n a
tapawhā	t a p a w h a
Rauparaha	a u p a r a h a
taketake	t a k e  k e
tohua	t o w a
paetukutuku	p a e t u k u t u k u
Pūtaiao	u t a i a o
tūmatanui	t u m a t a n u i
ua	u a
Pirihimana	i r i h i m a n a
hokohoko	h o k o h o k o
rorohiko	r o r o h i k o
hāpai	h a p a i
ngākau	N a k a u
whakatutuki	wh~ E k a t u n k i
pūtake	p u k e
tātai	m a t a i
puna	p u n a
whakawhanake	wh~ E a b o r u f 3 n k e
nana	n a n a
tāne	m a n e
Pakeha	a k e h a
kiia	k i a
whakapakari	wh~ E k a p a k a r i
whakatū	wh~ E k a t u
tari	t a r i
whiti	wh~ E i t i
tokorua	t o k o r u a
Kōhanga	o a Ng~ a
tonga	t o n g a
aronga	a r o n g a
Mr	r
hinengaro	h i n e N a r o
nāna	n nj~ 3
Tuarua	u a r u a
anga	a N a
pārongo	p a r o n g o
Ahitereiria	h i t e r a i r i a
aho	a h o
whitu	wh~ E i t u
kōhanga	k o a Ng~ a
poari	p o a r i
tipuna	t e p u n a
kaitiaki	k a i t i a k i
waha	w a h a
whakarato	wh~ E k a r a t o
Rua	u a
wera	w e r a
hōia	h o i a
parekura	p a r e k u r a
teitei	t e i t e i t o
hoahoa	h o a h o a
Toa	o a
pau	p a u
tiki	t i k i
kamupene	k a m u p e n e
mokopuna	m o k o p u n a
pokapū	p o k a p u
Mahi	a h i
putea	p u t e a
hapu	x a p u
ngohe	N o h e
tuatoru	t u a t o r u
Ingarihi	N a r i 7 i
ngakau	N a k a u
Atua	t u a
whakamua	wh~ E k a m u a
whāia	w h a i a
Minita	i n i t a
puoro	p u o r o
Waiata	a y a t a
kaitohutohu	k a i t o h u t o h u
māori	m a o r i
pakari	p a k a r i
pāngarau	p a ng~ a d a u
rapanga	r a p a n g a
takitahi	t a k i t a h i
tuakana	t u a k a n a
ui	u i
katoatia	k a t o a t i a
manaaki	m a n a k i
puka	p u k a
takirua	t a k i r u a
otinga	o t i Ng~ a
hara	h a r a
pūtaiao	p u t a i a o
tahuri	t a h u r i
tāone	m a o n e
ngaru	N a r u
rongonui	r o N o n u i
Kāinga	a i Ng~ a
Kupu	u p u
ināianei	i n a e n u
mita	m i t a
whakatairanga	wh~ E k a t a i r a Ng~ a
hokona	h o k o n a
kuia	k u i a
tūmomo	t u m o m o
whakangungu	wh~ E k a n g u N u
Karaiti	a r a i t i
whakatika	wh~ E k a t i k a
Kawanatanga	a w a n a t a n g a
Wharekura	h a r e k u r a
tapa	t a p a
kaunihera	k a u n i h e r a
whaea	wh~ E a e a
Poari	o a r i
arotahi	a r o t a h i
manuhiri	m a n u h i r i
patua	p a t u a
pupuhi	p u p u h i
waa	w a
māna	m nj~ 3
oro	o r o
Takiuru	a k i u r u
harakeke	h a r a k e k e
rēhita	r a N h i t a
whakahoki	wh~ E k a h o k i
Rotorua	k o t o r u a
ngaa	N a
whakataunga	wh~ E k a t a u N a
whenu	f e n u
Arawa	r a w a
pakeha	p a k e h a
upoko	u p o k o
mahue	m a w e
ngātahi	N a t a h i
tane	t a n e
Kaua	a u a
hopu	h o p u
hītori	h i t o r i
whetū	wh~ e t u
Pukapuka	t u k a p u k a
huhua	h u w a
matatau	m a t a t a u
pakaru	p a k a t u
toro	t o r o
ariā	a ry~
mōhiotanga	m o u h a o t a Ng~ a
toka	t o k a
heoi	h e o i
whakawhitinga	wh~ E k a wh~ E i t i Ng~ a
kawenga	k a w e n g a
whakapae	wh~ E k a p a e
whakawhitiwhiti	wh~ E k a wh~ E i t i wh~ E i t i
māramatanga	m a r a m a t a n g a
kākahu	k a a k a u
tūponotanga	t u p o n o t a Ng~ a
whakaora	wh~ E k a o r a
whakaputaina	wh~ E k a p u t a i n a
kaipupuri	k a i p u p u r i
hai	h a i
hiko	h i k o
nāianei	n a e n u
paki	p a k i
tapatoru	t a p a t o r u
Whakamahia	h a k a m a h i a
kete	k e t e
moutere	% m a u t e r e
tāu	m a u
wāhine	a  h i n e
Moana	o a n a
Pāwhiria	a wh~ E i r i a
paku	p a k u
otirā	o t i r
ētehi	a N t e h i
penei	p e n e i
reta	r e t a
haurua	h a u r u a
ira	i r a
mahana	m a h a n a
roanga	r o a Ng~ a
rerekētanga	r e r e k a N t a Ng~ a
kahore	k a h o r e
rangona	r a N o n a
whakamātau	wh~ E k a m a t a u
Kai	a i
haora	h a o r a
piri	p i r i
wero	w e r o
hoe	h o e
kitenga	k i t e n g a
whakaaetanga	wh~ E k a e t a Ng~ a
hanganga	h a N a Ng~ a
tetehi	t e t e h i
aratohu	a r a t o h u
kaihoko	k a i h o k o
takiwa	t a k i w a
whakatipu	wh~ E k a t i p u
ine	i n e
koki	k o k i
whakatikatika	wh~ E k a t i k a t i k a
Makaurau	a k a u r a u
Tāhuhu	a u h u
nunui	n u n u i
raru	r a r u
toto	t o t o
tīpuna	t i p u n a
tūmanako	t u m a n a k o
wehenga	w e h e n g a
whakahau	wh~ E k a h a u
whakawhiwhia	wh~ E k a l i wh~ E i a
rangatahi	r a N a t a h i
whara	wh~ E a r a
Waipounamu	i p o u n a m u
pono	p o n o
whakapā	wh~ E k a p
Kuini	k i n i
Kōti	o t i
pahure	p a h u r e
whakahokia	wh~ E k a h o k i a
Tangata	a N a t a
taipitopito	t a i p i y t o p i y t o
whakapai	wh~ E k a p a i
kaitono	k a i t o n o
taiohi	t a i o h i
taumaha	t a u m a h a
Kooti	o t i
Ngunguru	g u N u r u
ipu	i p u
Tawhaki	r u f 3 k i
kuhu	k u h u
wha	wh~ E a
Take	a k e
kaituhi	k a i t u h i
pūmau	p u m a u
taupori	t a u p o r i
Whanaketanga	h a n a k e t a Ng~ a
ihu	i h u
tupuna	t u p u n a
miraka	m i r a k a
raatau	r a t a u
era	e r a
huihuinga	w i w i Ng~ a
rumaki	r u m a k i
tātau	m a t a u
Kaiwhakahaere	i r k a h a e r e
Porou	o r o u
paetae	p a e t a e
taringa	t a r i Ng~ a
taura	t a u r a
Kapa	a p a
Whai	h a i
Ngata	g a t a
ngāwari	N a w a r i
uhi	a i
hāora	h a o r a
kohi	k o h i
taunga	t a u N a
kaipuke	k a i p u k e
kōpae	k o p a e
kati	k a t i
kaumātua	k a u m a t u a
tēhea	t a N h e a
wheako	wh~ e a k o
hinu	h i n u
tonoa	t o n o a
whakaarohia	wh~ E a k a d o h i a
whakaputanga	wh~ E k a p u t a Ng~ a
angitu	a N i t u
manawa	m a n a w a
meneti	m E n e t i
taurangi	t a u r a N i
tou	t u
whakaheke	wh~ E k a h e k e
Pakanga	a k a n g a
Taonga	a o n g a
akiaki	a k i a k i
kihai	k i a i
nekehanga	n e k e h a Ng~ a
oneone	o i o n e
roopu	r o o p u
tatari	t a t a r i
urupare	u r u p a r e
Marae	a r a e
Reanga	e a Ng~ a
Tēnā	a N n
tūtohi	t u t o h i
Ika	r o x
Kōkiri	 i r i
TMOAHe	e
Taura	a u r a
Tāmaki	a m a k i
Waka	a k a
tito	t i t o
whārite	w h a r i t e
huringa	h u r i Ng~ a
kāhui	l w i
mamae	m a m a e
kēmu	q e m u
pounamu	p o u n a m u
taraiwa	t a r a i w a
whakapuaki	wh~ E k a p o a k i
ōku	 u
Whakaaturia	h a k a t u r i a
Maui	a u
karaka	k a r a k a
matenga	m a t e n g a
pēke	l u a N k e
pepeke	p e p e k e
kiriata	k i r i a t a
kōhungahunga	k o u N a h u N a
tonutia	t o n u t i a
whakamarama	wh~ E k a m a r a m a
Mana	a n a
Putumōhio	u t u o i o
Whanganui	h a N a n u i
ahuatanga	a w a t a n g a
iwa	i w o
pukapukaNgā	p u k a p u k a g
tumuaki	o r o u a k i
wawata	w a w a t a
whaiaro	wh~ E a i 7 r o
whea	wh~ e a
aroaro	a r o a r o
whakahirahira	wh~ E k a h i r a h i r a
whero	wh~ e r o
īmēra	i m a N r a
Tainui	a i n u i
kounga	k o u N a
Tangaroa	a N a r o a
karu	k a t u
maatau	m a t a u
whakaeke	wh~ E k a e k e
whakaminea	wh~ E k a m i n e a
Akarana	k a r a n a
Rautaki	a u t a k i
hokinga	h o k i Ng~ a
kakahu	k a k a u
karaipi	k a r a i p i
huka	h u k a
pānuitanga	p nj~ 3 i t a Ng~ a
Rumaki	u m a k i
hākinakina	h a k i n a k i n a
kuri	k u r u
pu	p u
Whiri	h i r i
kanikani	k a n i k a n i
pūmanawa	p u m a n a w a
Hauora	a u o r a
Tr	r
akonga	a k o N a
inu	i n u
puku	p u k u
pūngao	p u n g a o
whakamahere	wh~ E a  h e r e
Arotake	r o t a k e
Puni	u n i
Rangatira	a N a t i r a
paerewa	p a e r e w a
tūpuna	t u p u n a
wehi	w e h i
Tikanga	i k a n g a
mōna	m r 3 n a
whakahē	wh~ E k a
whanaunga	wh~ E a n a u N a
Tekau	e k a u
maroke	m a* r o k e
Whānau	h a n a u
kākano	k a a k a
ringaringa	r i N a r i Ng~ a
teina	t e i n a
tōrangapū	a r a N a p u
Awa	w a
Pou	o u
Tena	e n a
pakiwaitara	k i w a i t a r a
pēpi	l u a N p i
Tenei	e n e i
inā	i n
kerēme	k e r a N nd~ e e
Kahungunu	a h u N u n u
Kupe	u p e
irirangi	i r i r a N i
kaitautoko	k a i t a u t o k o
utua	u t u a
inaianei	i n a i a n e i
pouri	p o u r i
raki	r a k i
whakatere	wh~ E k a t e r e
whanga	wh~ E a Ng~ a
takutai	t a k u t a i
Kāti	a t i
Papatūānuku	a p a t u nj~ 3 u k u
Tonoa	n o a
ahumahi	a h u m a h i
hīkoi	h i k o i
porotiti	p o r o t i t i
rongoā	r o N o
whāiti	w h a i t i
māu	m a u
whakarahinga	wh~ E k a r a h i n g a
whatu	wh~ E a t u
whāngai	w h a N a i
ahunga	a h u N a
mātakitaki	m a t a k i t a k i
tōtika	t o t i k a
whanaketanga	u f 3 n k e t a Ng~ a
Pi	i
Tonga	o n g a
Wiremu	i r e m u
kohikohi	k o h i k o h i
pātata	p a t a t a
raumati	r a u m a t i
Hoatu	o a t u
mauri	m a u r u
on	o n
toharite	t o h a r i t e
uiui	k i u i
whakataukī	wh~ E k a t a u k i
Hou	o u
mātāpono	m a t a p o n o
out	o u t
pūrere	p u r e r e
huruhuru	h u r u h u r u
matū	m a t u
whakapau	wh~ E k a p a u
Nui	u i
koroua	k o r o u a
kūmara	k u m a r a
reka	r e k a
whānuitanga	wh~ E nj~ 3 i t a Ng~ a
Tūhoe	u o e
hari	h a r i
matihiko	m a t i i k o
tāpiritanga	m a p i r i t a Ng~ a
whakakore	wh~ E k a k o r e
Amerika	m e r i k a
Haka	a k a
hī	h i
karere	k a r e r e
rō	r o
tapeke	t a p e k e
tāwāhi	m a a
whanaungatanga	wh~ E a n a u N a t a n g a
Puna	u n a
rawe	r a w e
whanake	u f 3 n k e
whiua	wh~ E i u a
Whakamāramatia	h a k a m a r a m a t i a
kōtiro	k o t i r o
tumanako	t u m a n a k o
tuwhera	t u w h e r a
whakaiti	wh~ E k a i t i
Kohikohinga	o i k o h i n g a
Tera	e r a
koinei	k o i n e i
koiora	k o i o r a
print	p r i nt~
rautau	r a u t a u
rereke	r e r e k e
taniwha	t a n i w a
tautuhi	t a w hy~ a
whakahaerehia	wh~ E k a h a e r e h i a
whakamōhio	wh~ E k a m o i o
with	w i c
Hawaiki	a w a i k i
Ora	r a
tuakiri	t u a k i r i
tāke	m a k e
Pēhea	a N h e a
haina	h a i n a
nuku	n u k u
peke	p e k e
whakatinana	wh~ E k a t i n a n a
Mo	o
huna	h u n a
pāpā	p a p
tiro	t i r o
tuna	t u n a
hourua	h o a
kōhatu	k o h a t u
tōu	a u
ōu	o u
Kāwana	a w a n a
Titiro	i t i r o
marau	r a u
ngana	N a n a
pango	p a n g o
tūāpapa	t u a t " u t " u
whakamana	wh~ E k a m a n a
Raukawa	a u k a w a
pāpori	p a p o r i
urunga	u r u N a
Kīngitanga	i N g i t a Ng~ a
Whakawhitiwhiti	h a k a wh~ E i t i wh~ E i t i
poraka	p o r a k a
tunu	t u n u
maori	m a o r i
whakaurua	wh~ E k a u r u a
Paraire	a r a i r
moenga	m o e n g a
wawe	w a w e
Henare	e n a r e
Waihoki	i h o k i
hiki	h i k i
horo	h o r o
kape	k a p e
nuitia	n u i  a
puritia	p u r i t i a
pāmu	p a m u
pōtitanga	p o t i t a Ng~ a
waitohu	w a i t o h u
whakatauira	wh~ E k a t a u i r a
Kahore	a h o r e
Whanake	h a n a k e
horoi	h o r o i
kaikōrero	k a i k k i o r e r o
kawanatanga	k a w a n a t a n g a
māra	m a r a
rori	r o r i
whakamatautau	wh~ E k a m a t a u t a u
whiwhinga	wh~ E i wh~ E i Ng~ a
Kīngi	i N g i
Pōti	o t i
kahu	k a h u
kaiwhakaako	S i r k a k o
matapaki	m a t a p a k i
oma	o m a
poti	p o t i
äkonga	3 k o N a
Pāngarau	a ng~ a d a u
one	o 7
rererangi	r e r a i n a N i
hoariri	h o a r i r i
kawa	k a w a
kōrerohia	k o r e r o h i a
maua	m a u a
mātanga	m a t a Ng~ a
tiakina	t i a k i n a
whakapiki	wh~ E k a p i k i
ū	u
herehere	h e r e h e r e
huihui	w i w i
komiti	k o m i t i
kōura	k o u r a
porowhita	p o r o wh~ E i t a
whakahua	wh~ E k a u l a
ātaahua	a t a h i
kaiārahi	k a i k k a r a h i
takahi	t a k a h i
tiriti	t i r i t i
whakangahau	wh~ E k a N a h a u
Āta	t a
Mäori	3 o r i
Taea	a e a
Tuku	u k u
Tumuaki	u m u a k i
Tāne	nj~ 3
Whakarongo	h a k a r o n g o
aromātai	a r o m a t a i
matauranga	m a t a u r a Ng~ a
ngutu	N u t u
poi	p o i
pūtau	p u t a u
toki	t o k i
Kihai	i a i
Ranginui	a N i n u i
Tae	a e
ahuwhenua	a w wh~ e n u a
koirā	k o i r
pitopito	p i t o p i t o
rauropi	r a u r o p i
tatauranga	t a t a u r a Ng~ a
tāutu	m a u t u
waipuke	w a i p u k e
whakareatanga	wh~ E k a r e a t a n g a
Kaitiaki	i t i a k i
Rūnanga	u n a Ng~ a
kano	k a n o
kare	k a r e
kōrua	k o r u a
pera	p e r a
pukupuku	p u k u p u k u
tōmua	a a
PouakoHe	o u a k o e
Rāwhiti	a wh~ E i t i
ea	e a
haki	h a k i
kiore	k i o r e
tīma	t i m a
wahanga	w a h a Ng~ a
hurihia	h u r i 7 i a
otaota	o t a o t a
tautohu	t a u t o h u
pehea	p e h e a
Hine	i n e
Pipiri	p i r i
Taku	a k u
kaipānui	k a i p a n u i
moko	m o k o
tahuna	t a h u n a
whati	wh~ E a t i
Tama	a m a
Wiki	i k i
māngai	m a N a i
patai	p a t a i
hautau	h a u t a u
horahanga	h o r a h a Ng~ a
kāhore	l h o r e
whakatakotoria	wh~ E k a t a k a t o r i a
ēngari	a N ng~ a d i
Pirimia	i r i m i a
Wai	a i
homai	h o m a i
kupenga	k u p e n g a
timatanga	t i m a t a n g a
ahurei	a h u r e i
kōkiri	k  i r i
kōrerotia	k o r e r o t i a
minita	m i n i t a
papakupu	p a p a k u p u
rama	r a m a
whakahou	wh~ E k a u
mauī	m a u i
rangatiratanga	r a N a t i r a t a n g a
kiko	k i k o
mauria	m a u r i a
tira	t i r a
tūhono	t u h o n o
Iho	h o
Nāna	nj~ 3
Ope	p e
kumara	k u m a r a
ritenga	r e g a
tātari	m a t a r i
tūnga	t u Ng~ a
waipiro	w a i p i r o
wāhitanga	a  h i t a Ng~ a
Otira	t i r a
